,temp,sentid,word,tag
0,0,1,1,B-NEN
1,1,1,.,O
2,2,1,rAjanIwi,B-NETE
3,3,1,SAswramu,I-NETE
4,4,1,BAvAlu,O
5,5,1,",",O
6,6,1,sixXAMwAlu,O
7,7,1,",",O
8,8,1,saMsWalu,B-NETE
9,9,1,aXyAyamu,O
10,10,1,.,O
11,11,1,1,B-NEN
12,12,1,paricayamu,O
13,13,1,1,B-NEN
14,14,1,.,O
15,15,1,rAjanIwi,O
16,16,1,SAswrasvaBAvAnni,O
17,17,1,",",O
18,18,1,xAni,O
19,19,1,aBivqxXini,O
20,20,1,vivariMpumu,O
21,21,1,.,O
22,22,2,rAjanIwiSAswramu,B-NETE
23,23,2,praXAnaMgA,O
24,24,2,rAjya,O
25,25,2,",",O
26,26,2,praBuwvAla,O
27,27,2,guriMci,O
28,28,2,aXyayanaM,O
29,29,2,ceswuMxi,O
30,30,2,.,O
31,31,3,rAjanIwiSAswramu,B-NETE
32,32,3,prAcIna,O
33,33,3,grIkunagara,B-NEL
34,34,3,rAjyAlalo,I-NEL
35,35,3,uxBaviMciMxi,O
36,36,3,.,O
37,37,4,prAcIna,O
38,38,4,grIkulu,B-NEL
39,39,4,nagara,O
40,40,4,rAjyAlalo,O
41,41,4,nivasiMcevAru,O
42,42,4,.,O
43,43,5,atti,O
44,44,5,nagara,O
45,45,5,rAjyAla,O
46,46,5,nirmANaM,O
47,47,5,",",O
48,48,5,nagara,O
49,49,5,rAjyamulaloni,O
50,50,5,praBuwva,O
51,51,5,svarUpamu,O
52,52,5,",",O
53,53,5,aMxali,O
54,54,5,rAjakIya,B-NETE
55,55,5,saMsWalu,I-NETE
56,56,5,",",O
57,57,5,vAti,O
58,58,5,viXulanu,O
59,59,5,guriMci,O
60,60,5,aXyayanaM,O
61,61,5,ceyu,O
62,62,5,SAswrAnni,O
63,63,5,"""",O
64,64,5,rAjanIwiSAswraM,B-NETE
65,65,5,"""",O
66,66,5,gA,O
67,67,5,vAru,O
68,68,5,pilavadaM,O
