Sentence Length,Object Number,Subject Number,Tree Depth
0.20857142857142857,0.7894736842105263,0.625,0.12857142857142856
0.19714285714285715,0.7631578947368421,0.65,0.12571428571428572
0.22,0.7631578947368421,0.675,0.14285714285714285
0.2257142857142857,0.7631578947368421,0.675,0.12
0.24857142857142858,0.7894736842105263,0.6875,0.12571428571428572
0.26857142857142857,0.7631578947368421,0.675,0.14285714285714285
0.23142857142857143,0.6842105263157895,0.625,0.1657142857142857
0.25142857142857145,0.6842105263157895,0.6,0.1457142857142857
0.2257142857142857,0.7105263157894737,0.6125,0.11714285714285715
0.2342857142857143,0.7894736842105263,0.6625,0.12
0.26,0.6842105263157895,0.6125,0.1
0.28285714285714286,0.631578947368421,0.6,0.13714285714285715
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.18285714285714286,0.7368421052631579,0.6125,0.09714285714285714
0.21142857142857144,0.7368421052631579,0.625,0.12
0.24,0.7894736842105263,0.6,0.11142857142857143
0.2342857142857143,0.7631578947368421,0.65,0.11714285714285715
0.22857142857142856,0.7105263157894737,0.65,0.11428571428571428
0.23142857142857143,0.7105263157894737,0.6625,0.14
0.2342857142857143,0.631578947368421,0.6375,0.12
0.2257142857142857,0.6578947368421053,0.575,0.11428571428571428
0.2342857142857143,0.7368421052631579,0.55,0.11714285714285715
0.2571428571428571,0.6842105263157895,0.575,0.1
0.2742857142857143,0.6578947368421053,0.625,0.09714285714285714
0.22285714285714286,0.6842105263157895,0.6625,0.10285714285714286
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.21142857142857144,0.7368421052631579,0.575,0.10571428571428572
0.23142857142857143,0.7368421052631579,0.6375,0.11714285714285715
0.23714285714285716,0.6578947368421053,0.5625,0.1
0.28285714285714286,0.631578947368421,0.6125,0.12857142857142856
0.25142857142857145,0.7105263157894737,0.6625,0.10857142857142857
0.26571428571428574,0.7105263157894737,0.65,0.12571428571428572
0.2257142857142857,0.6578947368421053,0.6375,0.12857142857142856
0.24285714285714285,0.631578947368421,0.6375,0.12285714285714286
0.25142857142857145,0.6578947368421053,0.6,0.12571428571428572
0.26571428571428574,0.7105263157894737,0.625,0.13142857142857142
0.2542857142857143,0.6842105263157895,0.6,0.10571428571428572
0.25142857142857145,0.7631578947368421,0.65,0.10571428571428572
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.24285714285714285,0.8157894736842105,0.6375,0.12857142857142856
0.24571428571428572,0.8421052631578947,0.6375,0.1457142857142857
0.2571428571428571,0.8157894736842105,0.65,0.1457142857142857
0.25142857142857145,0.8157894736842105,0.6625,0.12571428571428572
0.26,0.868421052631579,0.6875,0.1457142857142857
0.24285714285714285,0.8421052631578947,0.6875,0.16285714285714287
0.22285714285714286,0.7368421052631579,0.575,0.14857142857142858
0.24285714285714285,0.7105263157894737,0.5375,0.14857142857142858
0.21714285714285714,0.6842105263157895,0.6125,0.15714285714285714
0.22,0.7368421052631579,0.575,0.16
0.24,0.7105263157894737,0.6,0.12285714285714286
0.23142857142857143,0.7105263157894737,0.5625,0.12571428571428572
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.21714285714285714,0.7631578947368421,0.6125,0.12285714285714286
0.22857142857142856,0.7631578947368421,0.675,0.14
0.21714285714285714,0.7631578947368421,0.65,0.12285714285714286
0.24285714285714285,0.7631578947368421,0.6625,0.12285714285714286
0.26285714285714284,0.7631578947368421,0.7,0.12571428571428572
0.24285714285714285,0.7631578947368421,0.6625,0.14
0.25142857142857145,0.6842105263157895,0.6125,0.14857142857142858
0.26,0.6842105263157895,0.65,0.11428571428571428
0.21714285714285714,0.7105263157894737,0.65,0.15142857142857144
0.22285714285714286,0.6842105263157895,0.65,0.14285714285714285
0.23714285714285716,0.6578947368421053,0.6625,0.13428571428571429
0.21714285714285714,0.6578947368421053,0.6625,0.12571428571428572
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.22,0.7368421052631579,0.6375,0.12857142857142856
0.23142857142857143,0.7368421052631579,0.6625,0.14285714285714285
0.22857142857142856,0.7368421052631579,0.6625,0.12285714285714286
0.21428571428571427,0.7631578947368421,0.65,0.15714285714285714
0.2342857142857143,0.7631578947368421,0.6375,0.10285714285714286
0.24857142857142858,0.7631578947368421,0.6875,0.13428571428571429
0.2571428571428571,0.6842105263157895,0.6625,0.13714285714285715
0.2571428571428571,0.7105263157894737,0.65,0.12285714285714286
0.23142857142857143,0.6842105263157895,0.6875,0.15714285714285714
0.19714285714285715,0.6842105263157895,0.6625,0.12857142857142856
0.23142857142857143,0.7368421052631579,0.7,0.12285714285714286
0.22,0.7631578947368421,0.625,0.1457142857142857
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.22285714285714286,0.7631578947368421,0.6625,0.15428571428571428
0.2257142857142857,0.7631578947368421,0.6875,0.1457142857142857
0.21428571428571427,0.6578947368421053,0.675,0.14
0.24857142857142858,0.6842105263157895,0.7,0.14285714285714285
0.24571428571428572,0.7894736842105263,0.65,0.12857142857142856
0.2571428571428571,0.7368421052631579,0.6625,0.14285714285714285
0.24,0.7368421052631579,0.675,0.1457142857142857
0.22285714285714286,0.7631578947368421,0.6125,0.12285714285714286
0.24571428571428572,0.7105263157894737,0.6625,0.14285714285714285
0.22285714285714286,0.7105263157894737,0.6875,0.13142857142857142
0.2057142857142857,0.6578947368421053,0.6625,0.12285714285714286
0.22,0.7105263157894737,0.6125,0.1
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.2342857142857143,0.6578947368421053,0.6375,0.13714285714285715
0.22285714285714286,0.6842105263157895,0.65,0.12857142857142856
0.26,0.6578947368421053,0.625,0.11428571428571428
0.24285714285714285,0.6842105263157895,0.6125,0.11142857142857143
0.22857142857142856,0.7368421052631579,0.65,0.11428571428571428
0.24285714285714285,0.7105263157894737,0.6375,0.14285714285714285
0.23714285714285716,0.7368421052631579,0.6625,0.1457142857142857
0.2342857142857143,0.7105263157894737,0.65,0.14285714285714285
0.20857142857142857,0.6842105263157895,0.625,0.14285714285714285
0.21428571428571427,0.7368421052631579,0.6125,0.13714285714285715
0.26285714285714284,0.6842105263157895,0.6375,0.12571428571428572
0.2342857142857143,0.6842105263157895,0.65,0.12571428571428572
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.2342857142857143,0.7631578947368421,0.5875,0.13142857142857142
0.22857142857142856,0.7631578947368421,0.5625,0.15428571428571428
0.22857142857142856,0.7631578947368421,0.65,0.13142857142857142
0.24,0.7368421052631579,0.65,0.12
0.24571428571428572,0.7894736842105263,0.6125,0.13142857142857142
0.26285714285714284,0.7631578947368421,0.6375,0.14285714285714285
0.25142857142857145,0.7368421052631579,0.6625,0.14857142857142858
0.2257142857142857,0.7105263157894737,0.5875,0.15714285714285714
0.2257142857142857,0.7368421052631579,0.625,0.16285714285714287
0.20285714285714285,0.7631578947368421,0.65,0.13142857142857142
0.2257142857142857,0.7105263157894737,0.65,0.11428571428571428
0.23142857142857143,0.6578947368421053,0.65,0.09142857142857143
*,*,*,*
Sentence Length,Object Number,Subject Number,Tree Depth
0.23714285714285716,0.7105263157894737,0.675,0.12285714285714286
0.24571428571428572,0.7368421052631579,0.6875,0.11428571428571428
0.22857142857142856,0.7631578947368421,0.625,0.11142857142857143
0.24857142857142858,0.8157894736842105,0.575,0.10285714285714286
