treedepth,sentences
7,पर्यटन की दृष्टि से अप्रेल से जून तक का मौसम सुविधाजनक माना जाता है जबकि सर्दियों के मौसम में शिमला का बर्फ़ से ढका सौंदर्य देखने के लिए पर्यटकों की होड़ लगती है ।
6,समुद्रतल से 2036 मीटर की ऊँचाई पर स्थित डलहौजी को हिमाचल प्रदेश के एक अलग तरह के पर्यटन स्थल के रूप में जाना जाता है ।
3,डलहौजी में भीड़भाड़ के स्थान पर शांत माहौल है ।
4,लंबी छुट्टियाँ गुजारने वाले एकांतपसंद लोग डलहौजी बड़ी संख्या में आते हैं ।
5,लेकिन चंबा जाने वाला हर सैलानी डलहौजी को पहला स्थान देता है ।
3,पंजाब के समीप होने के कारण पंजाबी परिवार साल भर यहाँ घूमते मिलते हैं ।
3,1853 में अंगरेजों ने चंबा का यह खूबसूरत इलाका यहाँ के राजा से खरीदा था ।
5,उस वक्त के अंगरेज शासक लार्ड डलहौजी के नाम पर इसका नाम ’ डलहौजी ’ रख दिया गया ।
4,नजदीक शहर पठानकोट से सिर्फ 3 घंटे के सफर यानी सिर्फ 88 किलोमीटर के बाद डलहौजी आ जाता है ।
5,डलहौजी उस धौलाधार पर्वतमाला के सामने पड़ता है जो साल भर बर्फ़ की नई नई परतें ओढ़ती है ।
7,धौलाधार पर्वत शिखर गहरी ढ़लानों और खुले आसमान को छूते पर्वतों को देखने के लिए अच्छी जगह है ।
3,धौलाधार पर्वत शिखर के पास ही सुभाष चंद्र बोस की प्रतिमा लगी है ।
2,सुभाष चंद्र बोस कुछ दिन यहाँ आ कर रहे थे ।
4,रेलिंग के सहारे खड़े हो कर यहाँ से पंजाब का मैदानी इलाका भी देखा जा सकता है ।
5,"गाँधी चौक और सुभाष चौक को जो 2 रास्ते जोड़ते हैं , उन्हें ’ ठंडी सड़क ’ और ’ गरम सड़क ’ कहते हैं ।"
5,धूप में निकलना हो तो गरम सड़क है और छाँव में निकलना हो तो ठंडी सड़क है ।
2,गर्मियों में ठंडी सड़क सब को लुभाती है ।
4,पेड़ो से घिरी यह ठंडी सड़क डलहौजी की माल रोड भी कहलाती है ।
5,डलहौजी में बर्फ़ से ढकी पर्वत श्रृंखलाओं को देखने के लिए व्यू प्वाइंट बने हैं ।
3,दोनों सड़कों पर तिब्बती बौद्धों द्वारा चट्टानों पर थंका शैली के चित्र अनोखे रूप में उकेरे गए हैं ।
2,कभी पंजपुला से धर्मशाला की ओर एक पैदल मार्ग जाता था ।
2,पंजपुला एक सैरगाह है ।
4,डलहौजी में शहीद भगत सिंह के चाचा की समाधि भी है ।
