,number,sentences
0,sg,ಉಣ್ಣೆಯ ಉಡುಪು ಮತ್ತು ಒಣ ಹಣ್ಣುಗಳು ಮಾತ್ರ ಸ್ಥಳೀಯ ವಸ್ತುಗಳಲ್ಲಿ ಮಹತ್ವಪೂರ್ಣ ಆಗಿದೆ .
1,sg,ಮೇ - ಜೂನಿನಲ್ಲಿ ಹವಾಮಾನ ಹಾಗೂ ಮಾರ್ಗ ಕಿನ್ನೌರಿಗೆ ಹೋಗಲಿಕ್ಕಾಗಿ ಅಧಿಕ ಅನುಕೂಲ ಇದೆ .
2,sg,ಬಿಡುವಿನ ಸಮಯದಲ್ಲಿ ನಿಲ್ಲುವ ಜನ ಸೆಪ್ಟೆಂಬರಿಂದ ಮಧ್ಯ ಅಕ್ಟೋಬರವರೆಗೆ ಕೂಡ ಹೋಗುತ್ತಾರೆ .
3,sg,ಮಳೆಯ ಸಮಯದಲ್ಲಿ ಶಿಮ್ಲಾ ಹಾಗೂ ಕಿನ್ನೌರ್ ಹಾಗೂ ಸ್ಪಿತಿಯ ನಡುವಿನ ಮಾರ್ಗ ಕೆಟ್ಟದಾಗಿ ವಿಭಜನೆ ಆಗುತ್ತದೆ .
4,sg,ಮನಾಲಿಯಿಂದ ಮುಂದೆ ರೋಹತಂಗ್ ಗಡಿಯ ಆಚೆ ಒಂದು ಹೊಸ ಜಗತ್ತು ಪ್ರಾರಂಭ ಆಗುತ್ತದೆ .
5,sg,ಪ್ರಕೃತಿಯ ಪುಸ್ತಕವು ತನ್ನ ಅತ್ಯಂತ ರೋಮಾಂಚಕ ಪುಟವನ್ನು ತೆರೆದಿಟ್ಟಂತೆ .
6,sg,"ಕುಲ್ಲು , ಚಂಬಾ , ಕಿನ್ನೌರ್ ಜಮ್ಮು - ಕಾಶ್ಮೀರ ರಾಜ್ಯದ ಲಡಾಖಿನ ಹತ್ತಿರ ಜೊತೆಯಲ್ಲಿಯೇ ಚೀನಾದ ಗಡಿಯನ್ನು ಸ್ಪರ್ಶಿಸುವ ಲಾಹುಲ್ ಸ್ಪಿತಿ ಹಿಮಾಚಲ ಪ್ರದೇಶದ ಅತ್ಯಂತ ವಿಭಿನ್ನ ರೀತಿಯ ಜಿಲ್ಲೆ ಆಗಿದೆ ."
7,,"ಭೌಗೋಳಿಕ ದೃಷ್ಟಿಯಿಂದ ಲಾಹುಲ್ ತಲುಪಲು ಕಿನ್ನೌರಿನ ಮಾರ್ಗ ಆಗಿ ಹೋಗುವುದು ಒಳ್ಳೆಯದು , ಮತ್ತು ಎರಡೂ ಪ್ರದೇಶ ಒಂದೇ ಬಾರಿ ನೋಡಬಹುದಾಗಿದೆ ."
8,sg,ಚಳಿಗಾಲದಲ್ಲಿ ರೋಹತಂಗ್ ಹಿಮದ ಕಾರಣ ಮುಚ್ಚಿರುತ್ತದೆ .
9,sg,ಆದ್ದರಿಂದ ಮೇನಿಂದ ಜೂನ್ ಮತ್ತು ಸೆಪ್ಟೆಂಬರಿನಿಂದ ಅಕ್ಟೋಬರವರೆಗೆ ಇಲ್ಲಿ ಹೋಗುವುದು ಉತ್ತಮ ಆಗಿದೆ .
10,,ಲಾಹುಲಿನ ಕೇಂದ್ರ ಕಚೇರಿ ಕೆಲಂಗ್ ಆಗಿದೆ ಮತ್ತು ಸ್ಪಿತಿಯ ಕೇಂದ್ರ ಕಚೇರಿ ಕಜಾ ಆಗಿದೆ .
11,sg,ಮನಾಲಿಯಿಂದ 5 - 6 ಗಂಟೆಯಲ್ಲಿ ಬಸ್ಸು ಮಾರ್ಗದಿಂದ ಕೆಲಂಗ್ ತಲುಪಲು ಅತ್ಯಂತ ರೋಮಾಂಚಕಾರಿ ಆಗಿದೆ .
