senlen,sentences
12,1895ರಲ್ಲಿ ಅಧಿಕಾರಕ್ಕೆ ಬಂದ ನಾಲ್ವಡಿ ಕೃಷ್ಣರಾಜ ಒಡೆಯರು ಕಾವೇರಿ ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ಅಣೆಕಟ್ಟು ಕಟ್ಟಿದರು .
10,ಶೈಕ್ಷಣಿಕ ಪ್ರವಾಸ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಆರಂಭದಿಂದಲೇ ಪ್ರವಾಸದ ಮಹತ್ವವನ್ನು ಅರಿಯಲು ಸುಲಭ ಸಾಧನ .
219,"ಕೊಡಗಿನ ಸೊಬಗು , ಕರಾವಳಿಯ ದೃಶ್ಯ , ಬಂಗಾರದ ಗಣಿ , ಹಂಪೆ , ಶ್ರವಣಬೆಳಗೊಳ , ಸೋಮನಾಥಪುರ , ಬೇಲೂರು , ಹಳೇಬೀಡು , ಪಟ್ಟದಕಲ್ಲು , ಉಡುಪಿ , ಧರ್ಮಸ್ಥಳ , ಶಿರಸಿ , ಪ್ರವಾಸಿಗರ ಬೀಡಾದ ಮೈಸೂರು , ಸಕ್ಕರೆ ಬೆಲ್ಲಗಳನ್ನು ಈಯುವ ಮಂಡ್ಯ , ಶ್ರೀರಂಗನಾಥನ ದರ್ಶನಕ್ಕೆ ಶ್ರೀರಂಗನಪಟ್ಟಣ , ಜನರಿಂದ ಕಿಕ್ಕಿರಿದು ತುಂಬಿರುವ ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿನ ವಿಧಾನಸೌಧ , ಹೈಕೋರ್ಟ್ , ಕಬ್ಬನ್ , ಲಾಲ್ಬಾಗ್ , ದೋಣಿ ವಿಹಾರಕ್ಕೆ ಅಲಸೂರು , ಮಲ್ಲೇಶ್ವರದ ಕೆರೆಗಳು , ಬೆಂಗಳೂರಿನ ಸಂಸ್ಥಾಪಕ ಆದ ಕೆಂಪೇಗೌಡರ ಪ್ರತಿಮೆ , ಟಿಪ್ಪೂ ಅರಮನೆ , ದೂರದ ಶಿವಗಂಗೆ , ಸಾವನದುರ್ಗಗಳ ಕಡಿದಾದ ಬೆಟ್ಟಗಳು , ವಿದ್ಯಾ ಸಾನಿಧ್ಯಕ್ಕೆ ಸಿದ್ದಗಂಗೆ , ನಾಗ ದೋಷದಿಂದ ಮುಕ್ತರಾಗಲು ವಿದುರಾಶ್ವತ್ಥ ಹಾಗೂ ಕುಕ್ಕೆ ಸುಬ್ರಮಣ್ಯ , ಹಿಂದೆ ಶತ್ರುಗಳಿಗೆ ಅಭೇದ್ಯ ಇದ್ದು ಇಂದು ಶಿಥಿಲಗೊಳ್ಳುತ್ತಾ ಇರುವ ಏಳು ಸುತ್ತಿನ ಕೋಟೆಯನ್ನು ಕಾಪಾಡಿದ ಧರ್ಮಪ್ರಭು ಮದಕರಿನಾಯಕ ಹಾಗೂ ಒನಕೆ ಓಬವ್ವ ಅವರುಗಳ ಚಿತ್ರದುರ್ಗ , ಸರ್ಪ ಆಕಾರದ ದಾರಿಯಲ್ಲಿ ತುದಿಯನ್ನು ಸೇರುವ ನಂದೀದುರ್ಗ , ಕನ್ನಂಬಾಡಿ , ಶರಾವತಿ , ಮಲಪ್ರಭ - ಘಟಪ್ರಭಾ , ತುಂಗಭದ್ರಾ ಅಣೆಕಟ್ಟುಗಳು , ಮೇಕೆದಾಟು , ಮೀನಿನ ರುಚಿ ನೋಡಬಯಸುವವರಿಗೆ ಶಿವಮೊಗ್ಗ - ಚಿಕ್ಕಮಗಳೂರು , ಪಶ್ಚಿಮ ಘಟ್ಟಗಳ ಗಿರಿ ಸಾಲುಗಳಲ್ಲಿನ ಪ್ರವಾಸಿ ಮಂದಿರಗಳು , ಕಲೆ ಸಂಗೀತಗಳಲ್ಲಿ ಆಸಕ್ತಿ ಇರುವವರಿಗೆ ಶಿವಮೊಗ್ಗ , ಮ್ಯೆಸೂರು , ಆಟದ ವಸ್ತುಗಳಿಗೆ ಚನ್ನಪಟ್ಟಣ , ಸೀರೆ , ವಸ್ತ್ರಗಳಿಗೆ ಇಳಕಲ್ , ಮೊಳಕಾಲ್ಮೂರು , ದಾವಣಗೆರೆ ; ನಾಲಿಗೆ ಚಪಲ ತೀರಿಸಿಕೊಳ್ಳಲು ಧಾರವಾಡದ ಪೇಡಾ , ಗೋಕಾಕದ ಕರದಂಟು , ಬಿಜಾಪುರ ಅಫೂಸ್ ಮಾವಿನ ಹಣ್ಣು ಮತ್ತು ದ್ರಾಕ್ಷಿ ; ಧಾರವಾಡ ಮತ್ತು ರಾಯಚೂರುಗಳ ಸಪೋಟ , ಬಳ್ಳಾರಿಯ ಅಂಜೂರ - ದಾಳಿಂಬೆ , ಕೊಡಗಿನ ಜೇನುತುಪ್ಪ , ಪಪ್ಪಾಯ ಹಾಗೂ ಕಿತ್ತಳೆಗಳು , ಮೈಸೂರು ಮಲ್ಲಿಗೆ , ವೀಳ್ಯೆದೆಲೆ ನಂಜನಗೂಡಿನ ಆರಾಧ್ಯ ನಂಜುಂಡೇಶ್ವರ ಹಾಗೂ ರಸಬಾಳೆ , ಬೇಸಿಗೆಯಲ್ಲಿ ದಣಿವು ನಿವಾರಿಸಲು ಮಂಡ್ಯದ ಕಾವೇರಿ ದಂಡೆಯ ಕಲ್ಲಂಗಡಿ ಹಣ್ಣು ಹೀಗೆ ಹೇಳುತ್ತಾ ಹೋದರೆ ಕೊನೆಯೇ ಇಲ್ಲ ."
19,ದಟ್ಟ ಅರಣ್ಯದಲ್ಲಿ ಸಿಗುವ ಬೆಟ್ಟ ಗುಡ್ಡಗಳಲ್ಲಿ ದೊಡ್ಡ ದೊಡ್ಡ ಬಂಡೆಗಳನ್ನು ಹತ್ತಿ ಇಳಿಯುವ ಹವ್ಯಾಸ ಇದ್ದವರು ವಿಹಾರದ ವೇಳೆ ಟ್ರೆಕ್ಕಿಂಗ್ ಅನುಭವವನ್ನು ಸಹ ಪಡೆಯಬಹುದು .
10,ಮಾಗಡಿಯಲ್ಲಿ ಕೆಂಪೇಗೌಡ ಕಟ್ಟಿಸಿದುದು ಎಂದು ಹೇಳುವ ಒಂದು ಕೋಟೆ ಜೀರ್ಣಾವಸ್ಥೆಯಲ್ಲಿ ಇದೆ .
13,ಈ ಕ್ಷೇತ್ರದ ಕುರಿತು ಕಳಲೆಯ ನಂಜರಾಜ 18ನೆಯ ಶತಮಾನದಲ್ಲಿ ಕಕ್ಕೋದ್ಗಿರಿ ಮಹಾತ್ಮೆ ಎಂಬ ಗ್ರಂಥವನ್ನು ರಚಿಸಿದ್ದಾನೆ .
17,ಇದು ಅಲ್ಲದೆ 1980ರ ದಶಕದಲ್ಲಿ ಬೆಂಗಳೂರಿನಲ್ಲಿ ನಡೆದ ಸಾರ್ಕ್ ಶೃಂಗ ಸಭೆಯ ಸಮ್ಮೇಳನಕ್ಕೆ ಆಗಮಿಸಿದ ಅತೀ ಗಣ್ಯರು ಸಹ ನಂದಿಯಲ್ಲಿ ತಂಗಿದ್ದರು .
20,"ಇದರಿಂದ ಮನ ನೊಂದ ಬೆಸ್ತರ ರಂಗಮ್ಮ ತಲಕಾಡು ಮರಳು ಆಗಲಿ ಮಾಲಂಗಿ ಮಡು ಆಗಲಿ , ಮೈಸೂರು ಅರಸರಿಗೆ ಮಕ್ಕಳು ಆಗದಿರಲಿ ಎಂಬ ಶಾಪ ಕೊಟ್ಟಳು ."
12,' ಪರವಾಗಿಲ್ಲ ' ' ನಾವು ಇದ್ದೇವೆ ' ಎಂದು ಇತರೇ ವಿದ್ಯಾವಂತರು ಮುಂದಾದರು .
7,ಅಂಚೆ ಬಟವಾಡೆಯವನು ರಾತ್ರಿ ಶಾಲೆಯನ್ನು ನಡೆಸಲು ಮುಂದಾದನು .
8,' ಇನ್ನು ಮುಂದೆ ಮನಿಯಾರ್ಡರಿಗೆ ಹೆಬ್ಬೆಟ್ಟು ಒತ್ತುವುದನ್ನು ಸಹಿಸಲಾರೆ .
