dropped,sentences
ಕೃಷ್ಣರಾಜ ಕಾವೇರಿ ಅಡ್ಡಲಾಗಿ ನಾಲ್ವಡಿ ಅಣೆಕಟ್ಟು ಅಧಿಕಾರಕ್ಕೆ ಬಂದ ನದಿಗೆ 1895ರಲ್ಲಿ ಕಟ್ಟಿದರು ಒಡೆಯರು .,1895ರಲ್ಲಿ ಅಧಿಕಾರಕ್ಕೆ ಬಂದ ನಾಲ್ವಡಿ ಕೃಷ್ಣರಾಜ ಒಡೆಯರು ಕಾವೇರಿ ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ಅಣೆಕಟ್ಟು ಕಟ್ಟಿದರು .
ಸಾಧನ ಅರಿಯಲು ಆರಂಭದಿಂದಲೇ NULL . ಶೈಕ್ಷಣಿಕ ಪ್ರವಾಸದ ಪ್ರವಾಸ ಸುಲಭ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಮಹತ್ವವನ್ನು,ಶೈಕ್ಷಣಿಕ ಪ್ರವಾಸ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಆರಂಭದಿಂದಲೇ ಪ್ರವಾಸದ ಮಹತ್ವವನ್ನು ಅರಿಯಲು ಸುಲಭ ಸಾಧನ .
"ರಾಯಚೂರುಗಳ , ಕಾವೇರಿ ಕುಕ್ಕೆ ; ಸಕ್ಕರೆ ನಂದೀದುರ್ಗ ಈಯುವ ಮ್ಯೆಸೂರು ಸರ್ಪ ಪಶ್ಚಿಮ ಚನ್ನಪಟ್ಟಣ , ಧರ್ಮಪ್ರಭು ಆಸಕ್ತಿ ಹಾಗೂ , ಕಡಿದಾದ ಸೇರುವ ಹಂಪೆ ರುಚಿ ಜನರಿಂದ , , NULL ಶ್ರೀರಂಗನಪಟ್ಟಣ ಸಾಲುಗಳಲ್ಲಿನ ನಗರದಲ್ಲಿನ ಮಂಡ್ಯದ ಲಾಲ್ಬಾಗ್ ಒನಕೆ , , , , ಹೈಕೋರ್ಟ್ , ಧರ್ಮಸ್ಥಳ ಸಾನಿಧ್ಯಕ್ಕೆ ಕೊಡಗಿನ , , ಏಳು NULL NULL ದಂಡೆಯ ಪ್ರತಿಮೆ , ಪ್ರವಾಸಿಗರ NULL ಕರದಂಟು , ಮೈಸೂರು ಕಲ್ಲಂಗಡಿ - NULL , ವಿಹಾರಕ್ಕೆ . , NULL ಮತ್ತು ಶಿವಮೊಗ್ಗ ಕೆಂಪೇಗೌಡರ ಘಟ್ಟಗಳ ಅರಮನೆ ಇರುವವರಿಗೆ ದೃಶ್ಯ , ಉಡುಪಿ , NULL ಹಳೇಬೀಡು , - ಗಿರಿ ಶರಾವತಿ , ತುದಿಯನ್ನು ಧಾರವಾಡದ ಸೊಬಗು ಸುತ್ತಿನ NULL ನೋಡಬಯಸುವವರಿಗೆ ಮಾವಿನ , ಮಂಡ್ಯ ಬಂಗಾರದ ಕಿತ್ತಳೆಗಳು ನಿವಾರಿಸಲು ಹಾಗೂ , , ಕೊಡಗಿನ ನಂಜನಗೂಡಿನ ; - ಹಣ್ಣು ನಾಗ ಬಳ್ಳಾರಿಯ ಜೇನುತುಪ್ಪ ವಿಧಾನಸೌಧ ಅಭೇದ್ಯ ಕಿಕ್ಕಿರಿದು , ಕಬ್ಬನ್ ಆಕಾರದ ಬೀಡಾದ ಚಿತ್ರದುರ್ಗ ವೀಳ್ಯೆದೆಲೆ ದಾವಣಗೆರೆ NULL ತುಂಬಿರುವ ಧಾರವಾಡ ಕೆರೆಗಳು ಪ್ರವಾಸಿ ಬೆಂಗಳೂರು , ಶಿವಮೊಗ್ಗ ಶತ್ರುಗಳಿಗೆ ವಿದ್ಯಾ ಶಿವಗಂಗೆ ಸಂಸ್ಥಾಪಕ ಅವರುಗಳ ಬೆಂಗಳೂರಿನ ಪಟ್ಟದಕಲ್ಲು , ಆಟದ ಆದ ಅಂಜೂರ , ಹೀಗೆ ಗೋಕಾಕದ ಅಣೆಕಟ್ಟುಗಳು ಅಫೂಸ್ ಚಪಲ ಕನ್ನಂಬಾಡಿ ಮೇಕೆದಾಟು , ಮಲಪ್ರಭ ಬಿಜಾಪುರ ಘಟಪ್ರಭಾ ಶಿಥಿಲಗೊಳ್ಳುತ್ತಾ , ಇಳಕಲ್ ಕರಾವಳಿಯ ತುಂಗಭದ್ರಾ ಮುಕ್ತರಾಗಲು ದಾರಿಯಲ್ಲಿ ಮದಕರಿನಾಯಕ ಹಿಂದೆ , ಇಂದು , ಕಲೆ ಅಲಸೂರು ಕೊನೆಯೇ , , NULL NULL ನಾಲಿಗೆ ಮಲ್ಲಿಗೆ NULL , ಸಪೋಟ ಮೊಳಕಾಲ್ಮೂರು ಮಂದಿರಗಳು ಇಲ್ಲ ಕಾಪಾಡಿದ , , , ವಸ್ತ್ರಗಳಿಗೆ ಓಬವ್ವ ದಣಿವು ಬೇಲೂರು ಚಿಕ್ಕಮಗಳೂರು , NULL ಕೋಟೆಯನ್ನು ಮತ್ತು , ಆರಾಧ್ಯ NULL , , , , ಹಾಗೂ ಸಾವನದುರ್ಗಗಳ ಬೆಟ್ಟಗಳು NULL , ದಾಳಿಂಬೆ , NULL ದೋಣಿ ತೀರಿಸಿಕೊಳ್ಳಲು ಶ್ರವಣಬೆಳಗೊಳ ಇದ್ದು ವಸ್ತುಗಳಿಗೆ , NULL ಟಿಪ್ಪೂ NULL ಮೀನಿನ ನಂಜುಂಡೇಶ್ವರ ಶಿರಸಿ ಶ್ರೀರಂಗನಾಥನ ದರ್ಶನಕ್ಕೆ ದ್ರಾಕ್ಷಿ ಹೋದರೆ ಮಲ್ಲೇಶ್ವರದ NULL ದೋಷದಿಂದ ಹಣ್ಣು ಹೇಳುತ್ತಾ ಬೇಸಿಗೆಯಲ್ಲಿ ಗಣಿ NULL ಮೈಸೂರು ಸಂಗೀತಗಳಲ್ಲಿ ವಿದುರಾಶ್ವತ್ಥ NULL ದೂರದ ಹಾಗೂ ಸೋಮನಾಥಪುರ , ಪೇಡಾ , , , ರಸಬಾಳೆ ಇರುವ NULL ಬೆಲ್ಲಗಳನ್ನು NULL NULL ಪಪ್ಪಾಯ ಸೀರೆ ಸಿದ್ದಗಂಗೆ ಸುಬ್ರಮಣ್ಯ","ಕೊಡಗಿನ ಸೊಬಗು , ಕರಾವಳಿಯ ದೃಶ್ಯ , ಬಂಗಾರದ ಗಣಿ , ಹಂಪೆ , ಶ್ರವಣಬೆಳಗೊಳ , ಸೋಮನಾಥಪುರ , ಬೇಲೂರು , ಹಳೇಬೀಡು , ಪಟ್ಟದಕಲ್ಲು , ಉಡುಪಿ , ಧರ್ಮಸ್ಥಳ , ಶಿರಸಿ , ಪ್ರವಾಸಿಗರ ಬೀಡಾದ ಮೈಸೂರು , ಸಕ್ಕರೆ ಬೆಲ್ಲಗಳನ್ನು ಈಯುವ ಮಂಡ್ಯ , ಶ್ರೀರಂಗನಾಥನ ದರ್ಶನಕ್ಕೆ ಶ್ರೀರಂಗನಪಟ್ಟಣ , ಜನರಿಂದ ಕಿಕ್ಕಿರಿದು ತುಂಬಿರುವ ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿನ ವಿಧಾನಸೌಧ , ಹೈಕೋರ್ಟ್ , ಕಬ್ಬನ್ , ಲಾಲ್ಬಾಗ್ , ದೋಣಿ ವಿಹಾರಕ್ಕೆ ಅಲಸೂರು , ಮಲ್ಲೇಶ್ವರದ ಕೆರೆಗಳು , ಬೆಂಗಳೂರಿನ ಸಂಸ್ಥಾಪಕ ಆದ ಕೆಂಪೇಗೌಡರ ಪ್ರತಿಮೆ , ಟಿಪ್ಪೂ ಅರಮನೆ , ದೂರದ ಶಿವಗಂಗೆ , ಸಾವನದುರ್ಗಗಳ ಕಡಿದಾದ ಬೆಟ್ಟಗಳು , ವಿದ್ಯಾ ಸಾನಿಧ್ಯಕ್ಕೆ ಸಿದ್ದಗಂಗೆ , ನಾಗ ದೋಷದಿಂದ ಮುಕ್ತರಾಗಲು ವಿದುರಾಶ್ವತ್ಥ ಹಾಗೂ ಕುಕ್ಕೆ ಸುಬ್ರಮಣ್ಯ , ಹಿಂದೆ ಶತ್ರುಗಳಿಗೆ ಅಭೇದ್ಯ ಇದ್ದು ಇಂದು ಶಿಥಿಲಗೊಳ್ಳುತ್ತಾ ಇರುವ ಏಳು ಸುತ್ತಿನ ಕೋಟೆಯನ್ನು ಕಾಪಾಡಿದ ಧರ್ಮಪ್ರಭು ಮದಕರಿನಾಯಕ ಹಾಗೂ ಒನಕೆ ಓಬವ್ವ ಅವರುಗಳ ಚಿತ್ರದುರ್ಗ , ಸರ್ಪ ಆಕಾರದ ದಾರಿಯಲ್ಲಿ ತುದಿಯನ್ನು ಸೇರುವ ನಂದೀದುರ್ಗ , ಕನ್ನಂಬಾಡಿ , ಶರಾವತಿ , ಮಲಪ್ರಭ - ಘಟಪ್ರಭಾ , ತುಂಗಭದ್ರಾ ಅಣೆಕಟ್ಟುಗಳು , ಮೇಕೆದಾಟು , ಮೀನಿನ ರುಚಿ ನೋಡಬಯಸುವವರಿಗೆ ಶಿವಮೊಗ್ಗ - ಚಿಕ್ಕಮಗಳೂರು , ಪಶ್ಚಿಮ ಘಟ್ಟಗಳ ಗಿರಿ ಸಾಲುಗಳಲ್ಲಿನ ಪ್ರವಾಸಿ ಮಂದಿರಗಳು , ಕಲೆ ಸಂಗೀತಗಳಲ್ಲಿ ಆಸಕ್ತಿ ಇರುವವರಿಗೆ ಶಿವಮೊಗ್ಗ , ಮ್ಯೆಸೂರು , ಆಟದ ವಸ್ತುಗಳಿಗೆ ಚನ್ನಪಟ್ಟಣ , ಸೀರೆ , ವಸ್ತ್ರಗಳಿಗೆ ಇಳಕಲ್ , ಮೊಳಕಾಲ್ಮೂರು , ದಾವಣಗೆರೆ ; ನಾಲಿಗೆ ಚಪಲ ತೀರಿಸಿಕೊಳ್ಳಲು ಧಾರವಾಡದ ಪೇಡಾ , ಗೋಕಾಕದ ಕರದಂಟು , ಬಿಜಾಪುರ ಅಫೂಸ್ ಮಾವಿನ ಹಣ್ಣು ಮತ್ತು ದ್ರಾಕ್ಷಿ ; ಧಾರವಾಡ ಮತ್ತು ರಾಯಚೂರುಗಳ ಸಪೋಟ , ಬಳ್ಳಾರಿಯ ಅಂಜೂರ - ದಾಳಿಂಬೆ , ಕೊಡಗಿನ ಜೇನುತುಪ್ಪ , ಪಪ್ಪಾಯ ಹಾಗೂ ಕಿತ್ತಳೆಗಳು , ಮೈಸೂರು ಮಲ್ಲಿಗೆ , ವೀಳ್ಯೆದೆಲೆ ನಂಜನಗೂಡಿನ ಆರಾಧ್ಯ ನಂಜುಂಡೇಶ್ವರ ಹಾಗೂ ರಸಬಾಳೆ , ಬೇಸಿಗೆಯಲ್ಲಿ ದಣಿವು ನಿವಾರಿಸಲು ಮಂಡ್ಯದ ಕಾವೇರಿ ದಂಡೆಯ ಕಲ್ಲಂಗಡಿ ಹಣ್ಣು ಹೀಗೆ ಹೇಳುತ್ತಾ ಹೋದರೆ ಕೊನೆಯೇ ಇಲ್ಲ ."
ಹತ್ತಿ ದೊಡ್ಡ ಗುಡ್ಡಗಳಲ್ಲಿ ಪಡೆಯಬಹುದು ವೇಳೆ ಸಹ . ದಟ್ಟ ಟ್ರೆಕ್ಕಿಂಗ್ ಇಳಿಯುವ ಸಿಗುವ ಇದ್ದವರು ಅನುಭವವನ್ನು ಹವ್ಯಾಸ ಬೆಟ್ಟ ಅರಣ್ಯದಲ್ಲಿ ವಿಹಾರದ ಬಂಡೆಗಳನ್ನು ದೊಡ್ಡ,ದಟ್ಟ ಅರಣ್ಯದಲ್ಲಿ ಸಿಗುವ ಬೆಟ್ಟ ಗುಡ್ಡಗಳಲ್ಲಿ ದೊಡ್ಡ ದೊಡ್ಡ ಬಂಡೆಗಳನ್ನು ಹತ್ತಿ ಇಳಿಯುವ ಹವ್ಯಾಸ ಇದ್ದವರು ವಿಹಾರದ ವೇಳೆ ಟ್ರೆಕ್ಕಿಂಗ್ ಅನುಭವವನ್ನು ಸಹ ಪಡೆಯಬಹುದು .
ಜೀರ್ಣಾವಸ್ಥೆಯಲ್ಲಿ ಎಂದು ಮಾಗಡಿಯಲ್ಲಿ . ಹೇಳುವ ಇದೆ ಒಂದು ಕಟ್ಟಿಸಿದುದು ಕೋಟೆ ಕೆಂಪೇಗೌಡ,ಮಾಗಡಿಯಲ್ಲಿ ಕೆಂಪೇಗೌಡ ಕಟ್ಟಿಸಿದುದು ಎಂದು ಹೇಳುವ ಒಂದು ಕೋಟೆ ಜೀರ್ಣಾವಸ್ಥೆಯಲ್ಲಿ ಇದೆ .
ಕಕ್ಕೋದ್ಗಿರಿ ಕುರಿತು 18ನೆಯ ರಚಿಸಿದ್ದಾನೆ ಗ್ರಂಥವನ್ನು ಶತಮಾನದಲ್ಲಿ ಕ್ಷೇತ್ರದ ನಂಜರಾಜ ಎಂಬ ಮಹಾತ್ಮೆ ಕಳಲೆಯ . ಈ,ಈ ಕ್ಷೇತ್ರದ ಕುರಿತು ಕಳಲೆಯ ನಂಜರಾಜ 18ನೆಯ ಶತಮಾನದಲ್ಲಿ ಕಕ್ಕೋದ್ಗಿರಿ ಮಹಾತ್ಮೆ ಎಂಬ ಗ್ರಂಥವನ್ನು ರಚಿಸಿದ್ದಾನೆ .
ತಂಗಿದ್ದರು ಬೆಂಗಳೂರಿನಲ್ಲಿ ನಂದಿಯಲ್ಲಿ ನಡೆದ 1980ರ ಅಲ್ಲದೆ ಇದು ಆಗಮಿಸಿದ ಶೃಂಗ ದಶಕದಲ್ಲಿ ಸಾರ್ಕ್ ಅತೀ ಸಹ ಸಮ್ಮೇಳನಕ್ಕೆ ಗಣ್ಯರು ಸಭೆಯ .,ಇದು ಅಲ್ಲದೆ 1980ರ ದಶಕದಲ್ಲಿ ಬೆಂಗಳೂರಿನಲ್ಲಿ ನಡೆದ ಸಾರ್ಕ್ ಶೃಂಗ ಸಭೆಯ ಸಮ್ಮೇಳನಕ್ಕೆ ಆಗಮಿಸಿದ ಅತೀ ಗಣ್ಯರು ಸಹ ನಂದಿಯಲ್ಲಿ ತಂಗಿದ್ದರು .
"ನೊಂದ NULL . ಕೊಟ್ಟಳು ಅರಸರಿಗೆ ಮರಳು ರಂಗಮ್ಮ ಇದರಿಂದ ಮೈಸೂರು ಶಾಪ ಎಂಬ ಬೆಸ್ತರ , ಆಗಲಿ ಆಗಲಿ ಮಕ್ಕಳು ಮಡು ಆಗದಿರಲಿ ಮನ ತಲಕಾಡು ಮಾಲಂಗಿ","ಇದರಿಂದ ಮನ ನೊಂದ ಬೆಸ್ತರ ರಂಗಮ್ಮ ತಲಕಾಡು ಮರಳು ಆಗಲಿ ಮಾಲಂಗಿ ಮಡು ಆಗಲಿ , ಮೈಸೂರು ಅರಸರಿಗೆ ಮಕ್ಕಳು ಆಗದಿರಲಿ ಎಂಬ ಶಾಪ ಕೊಟ್ಟಳು ."
ಪರವಾಗಿಲ್ಲ ನಾವು ಇತರೇ ಇದ್ದೇವೆ ವಿದ್ಯಾವಂತರು ' ಎಂದು ಮುಂದಾದರು . ' ' ',' ಪರವಾಗಿಲ್ಲ ' ' ನಾವು ಇದ್ದೇವೆ ' ಎಂದು ಇತರೇ ವಿದ್ಯಾವಂತರು ಮುಂದಾದರು .
. ನಡೆಸಲು ಅಂಚೆ ಶಾಲೆಯನ್ನು ಮುಂದಾದನು ಬಟವಾಡೆಯವನು ರಾತ್ರಿ,ಅಂಚೆ ಬಟವಾಡೆಯವನು ರಾತ್ರಿ ಶಾಲೆಯನ್ನು ನಡೆಸಲು ಮುಂದಾದನು .
