wordcontent,sentences,index
ಅದರಲ್ಲಿ,ಅದರಲ್ಲಿ ಬಹುಭಾಗ ಸಿಬ್ಬಂದಿ ವೆಚ್ಚಕ್ಕೆ ವಿನಿಯೋಗ ಆಗಿದ್ದರೆ ಆಶ್ಚರ್ಯವೇನೂ ಇಲ್ಲ .,655
ಅದರಲ್ಲಿ,ನವರಂಗದ ಛಾವಣಿಯಲ್ಲಿ ಕೆಳಮುಖ ಮಾಡಿದ ಕಮಲವು ಲೋಲಕದಂತೆ ಇದ್ದು ಅದರಲ್ಲಿ ಹಲವಾರು ಸಸ್ಯ ನಕ್ಷೆಗಳನ್ನು ಕೆತ್ತಲಾಗಿದೆ .,2208
ಅದರಲ್ಲಿ,ಆದ್ದರಿಂದ ಅದರಲ್ಲಿ ಪ್ರತಿಪಾದಿತ ಆಗಿದ್ದ ' ಒಮ್ಮೆ ಸೃಷ್ಟಿ ಆದ ಸ್ವರೂಪದಲ್ಲೇ ಉಳಿದಿದೆ ಈ ಜೀವಲೋಕ ; ಒಂದೊಂದು ಜೀವಜಾತಿಯೂ ಪ್ರತ್ಯೇಕ ಆಗಿ ಸೃಷ್ಟಿ ' ಎಂಬ ಸಿದ್ಧಾಂತಕ್ಕೂ ಅವ್ಯಾಹತ ಪ್ರಚಾರ ದೊರಕಿತ್ತು .,2910
ಅದರಲ್ಲಿ,ವಾಸ್ತವವಾಗಿ ಚಿನ್ನದ ಪ್ರಮಿತಿಯ ಕಾರ್ಯಾಚರಣೆಯಿಂದ ಹಲವು ಪ್ರಯೋಜನಗಳು ದೊರಕುತ್ತವೆ ಆದರೂ ಅದರಲ್ಲಿ ಹಲವು ದುಷ್ಪ್ರಯೋಜನಗಳೂ ಇವೆ .,3676
ಅದರಲ್ಲಿ,ಅದರಲ್ಲಿ ಗೊಬ್ಬರ ಹಾಕಿದ ನಂತರ ತೆಳುವಾಗಿ ಮಣ್ಣನ್ನು ಹರಡಿ ಮುಚ್ಚಬೇಕು .,4826
ಅದರಲ್ಲಿ,"ಪುಸ್ತಕವನ್ನು ಓದಿ , ಅದರಲ್ಲಿ ಇರುವ ಲೋಪದೋಷಗಳನ್ನು ಸೂಚಿಸಿದಲ್ಲಿ , ಅಂತಹ ಓದುಗರಿಗೆ ಆಭಾರಿ ಆಗಿರುತ್ತೇನೆ .",5363
ಸಹಾಯಕ,"ಅವರಿಗೆ ಸಹಾಯಕ ಸಿಬ್ಬಂದಿ ಜಿಲ್ಲೆ , ತಾಲೂಕು ಮತ್ತು ಗ್ರಾಮ ಮಟ್ಟದಲ್ಲಿ ಇರುವರು .",262
ಸಹಾಯಕ,ನಿರಕ್ಷರಕುಕ್ಷಿ ಆಗಿ ಕೂಲಿ ಕೆಲಸದಿಂದ ಮೇಸ್ತ್ರಿ ಆಗಿ ಕೆಲಸ ಮಾಡುವ ಹಂತಕ್ಕೆ ಏರಲು ಓದುಬರೆಹ ಸಹಾಯಕ ಆಯಿತು .,450
ಸಹಾಯಕ,2 ) ಈ ಸಂಕೇತ ಭಾಷೆ ಪದಾರ್ಥಗಳನ್ನು ಗುರುತಿಸಲು ಸಹಾಯಕ ಆಗುತ್ತದೆ ಮತ್ತು ಸುಲಭ ಆಗುತ್ತದೆ .,2468
ಸಹಾಯಕ,3 ) ಪದಾರ್ಥಗಳನ್ನು ವ್ಯವಸ್ಥಿತವಾಗಿ ದಾಸ್ತಾನಿನಲ್ಲಿ ಇಡಲು ಸಹಾಯಕ ಆಗುತ್ತದೆ .,2469
ಸಹಾಯಕ,ಯಾವುದೇ ಸಂದರ್ಭದಲ್ಲಿ ಪದಾರ್ಥವನ್ನು ಸಂಕೇತದ ಮೂಲಕ ಗುರುತಿಸಲು ಕಷ್ಟ ಆದಾಗ ಕೂಡಲೆ ಈ ಸಿದ್ಧ ಉಲ್ಲೇಖ ಅಥವಾ ಪಟ್ಟಿಯನ್ನು ನೋಡಿ ನೆನಪು ಮಾಡಿಕೊಳ್ಳಲು ಸಹಾಯಕ ಆಗುತ್ತದೆ .,2505
ಸಹಾಯಕ,ಸರ್ವ ಪದಾರ್ಥ ನಿಯಂತ್ರಣ ದಾಖಲೆ ಪದಾರ್ಥಗಳ ಮೇಲೆ ಹತೋಟಿ ಇಟ್ಟುಕೊಳ್ಳಲು ಸಹಾಯಕ ಆಗುವುದರ ಜೊತೆಗೆ ಸಂಸ್ಥೆ ಆಗಿಂದಾಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಬೇಕಾಗುವ ವಿಷಯ ಏನೆಂದರೆ ಒಟ್ಟು ದಾಸ್ತಾನು ಪ್ರಮಾಣ ಮತ್ತು ಮೌಲ್ಯ .,2559
ಆದಾಯ,ಜನರಿಗೆ ಹೆಚ್ಚಿನ ಉದ್ಯೋಗಗಳು ದೊರೆತು ಕೈತುಂಬಾ ಆದಾಯ ಬರುತ್ತದೆ .,1135
ಆದಾಯ,ಇದರಿಂದ ರಾಷ್ಟ್ರದ ಆದಾಯ ಹೆಚ್ಚುತ್ತದೆ .,1197
ಆದಾಯ,ಜನರು ನಿರುದ್ಯೋಗಿಗಳು ಆದಂತೆ ಅವರ ಆದಾಯ ಕಡಿಮೆ ಆಗುತ್ತದೆ .,1209
ಆದಾಯ,ಆದಾಯ ಕಡಿಮೆ ಆದಂತೆ ಅವರಿಗೆ ವಸ್ತುಗಳನ್ನು ಕೊಳ್ಳುವ ಶಕ್ತಿ ಕಡಿಮೆ ಆಗುತ್ತದೆ .,1210
ಆದಾಯ,ಈ ರೀತಿ ಹಣದುಬ್ಬರದಿಂದ ಹಣದ ಮೌಲ್ಯ ಕುಗ್ಗುವುದು ಅಲ್ಲದೆ ಆದಾಯ ಮತ್ತು ವೆಚ್ಚಗಳ ಅಂತರ ಹೆಚ್ಚುತ್ತದೆ .,1254
ಆದಾಯ,ಇದರಿಂದ ಉದ್ಯೋಗ ಅವಕಾಶಗಳು ಕಡಿಮೆಯಾಗಿ ಜನರ ಆದಾಯ ಕಡಿಮೆ ಆಗುತ್ತದೆ .,1278
ಬಿಟ್ಟು,ಆದಕಾರಣ ಅನೇಕರು ಈ ವೃತ್ತಿಯನ್ನು ಬಿಟ್ಟು ಬೇರೆ ವೃತ್ತಿಯನ್ನು ಕೈಗೊಂಡಿರುವರು .,417
ಬಿಟ್ಟು,ವಾಹನವನ್ನು ಅಲ್ಲಿಯೇ ಬಿಟ್ಟು ಕಡಿದಾದ ಕಾಲುದಾರಿಯಲ್ಲಿ ( ಮಳೆಗಾಲದಲ್ಲಿ 3 ಕಿ. ಮೀ. ನಡೆದು ಹೋಗಬೇಕು ) ನಡೆದು ಹೋದರೆ ಜುಳು ಜುಳು ಸಾತೋಡು ಜಲಪಾತ ತೆರೆದುಕೊಳ್ಳುತ್ತದೆ .,1973
ಬಿಟ್ಟು,ದುರ್ಗಾ ದೇವಾಲಯವನ್ನು ಬಿಟ್ಟು ಮುಂದೆ ಹೋದರೆ ಕೊಂತೆ ಗುಡಿಗಳ ಗುಂಪು ಕಾಣಬರುತ್ತದೆ .,2267
ಬಿಟ್ಟು,ಇವುಗಳನ್ನು ಬಿಟ್ಟು ಜೈನಧರ್ಮಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಗುಡಿಗಳಲ್ಲಿ ಅತೀ ಮುಖ್ಯ ಆದುದು ಮೇಗುತಿ ದೇವಾಲಯ .,2281
ಬಿಟ್ಟು,ಗತಕಾಲದ ಪ್ರಾಣಿ ಒಂದು ಭೂಮಿಯಲ್ಲಿ ಬಿಟ್ಟು ಹೋಗಿರುವ ತನ್ನ ದೇಹದ ಶಿಲಾಮುದ್ರಿಕೆಯನ್ನು ಭೂಗರ್ಭದಿಂದ ಹುಡುಕಿ ತೆಗೆದು ಪರಿಶೀಲಿಸಿದನು .,2792
