dropped,sentences
ഹുസൈന്‍സാഗര്‍ നടുവില്‍ ആയി സ്ഥിതിചെയ്യുന്ന ബുദ്ധപ്രതിമ ഒറ്റ ഗ്രാനൈറ്റ് തീര്‍ത്ത ഏറ്റവും വലിയ ശില്‍പം ആണ് .,ഹൈദരാബാദിലെ ഹുസൈന്‍സാഗര്‍ നദിക്ക് നടുവില്‍ ആയി സ്ഥിതിചെയ്യുന്ന ബുദ്ധപ്രതിമ ഒറ്റ ഗ്രാനൈറ്റ് കല്ലില്‍ തീര്‍ത്ത ലോകത്തിലെ ഏറ്റവും വലിയ ശില്‍പം ആണ് .
350 ടണ്ണ് ആണ് ഭാരം .,350 ടണ്ണ് ആണ് പ്രതിമയുടെ ഭാരം .
200 രണ്ടു് വര്‍ഷം കൊണ്ട് ആണ് നിര്‍മാണം .,200 ശില്‍പികള്‍ രണ്ടു് വര്‍ഷം കൊണ്ട് ആണ് പ്രതിമയുടെ നിര്‍മാണം പൂര്‍ത്തിയാക്കിയത് .
1992 12ന് ആണ് പ്രതിമ .,1992 ഏപ്രില്‍ 12ന് ആണ് പ്രതിമ നദിക്ക് നടുവില്‍ സ്ഥാപിച്ചത് .
ലുംബിനി നിന്ന് ബോട്ടു് മാര്‍ഗ്ഗം ഇവിടെ എത്താം .,ലുംബിനി പാര്‍ക്കില്‍ നിന്ന് ബോട്ടു് മാര്‍ഗ്ഗം തീര്‍ഥാടകര്‍ക്ക് ഇവിടെ എത്താം .
ഇവിടെ ക്ലിക്ക് ചെയ്യുക .,വെര്ച്വല്ടൂര്ന് ഇവിടെ ക്ലിക്ക് ചെയ്യുക .
കോട്ടയം ജില്ലയില്‍ സ്ഥിതിചെയ്യുന്ന പുരാതനക്ഷേത്രം ആണ് തളികോട്ട മഹാദേവക്ഷേത്രം .,കേരളത്തിലെ കോട്ടയം ജില്ലയില്‍ താഴത്തങ്ങാടിയില്‍ സ്ഥിതിചെയ്യുന്ന പുരാതനക്ഷേത്രം ആണ് തളികോട്ട മഹാദേവക്ഷേത്രം .
പരശുരാമനാല്‍ പ്രതിഷ്ഠിക്കപ്പെട്ടു എന്ന് ഐതിഹ്യം ഉള്ള ക്ഷേത്രം കുലദൈവം ആയി പൂജിക്കപ്പെട്ടിരുന്നു .,പരശുരാമനാല്‍ പ്രതിഷ്ഠിക്കപ്പെട്ടു എന്ന് ഐതിഹ്യം ഉള്ള ക്ഷേത്രം തെക്കുംകൂര്‍രാജാക്കന്മാരുടെ കുലദൈവം ആയി പൂജിക്കപ്പെട്ടിരുന്നു .
"പുരാതന കേരളത്തിലെ 108 ശിവക്ഷേത്രങ്ങളില്‍ പറയുന്ന നാലു തളിക്ഷേത്രങ്ങളില്‍ ( തളിശിവക്ഷേത്രം കോഴിക്കോട് , NULL കടുത്തുരുത്തി തളിമഹാദേവക്ഷേത്രം , കീഴ്ത്തളി മഹാദേവക്ഷേത്രം കൊടുങ്ങല്ലൂര്‍ , തളികോട്ട മഹാദേവക്ഷേത്രം കോട്ടയം ) ഒരു തളി ആണ് ഈ മഹാദേവക്ഷേത്രം .","പുരാതന കേരളത്തിലെ 108 ശിവക്ഷേത്രങ്ങളില്‍ പറയുന്ന നാലു തളിക്ഷേത്രങ്ങളില്‍ ( തളിശിവക്ഷേത്രം കോഴിക്കോട് , കടുത്തുരുത്തി തളിമഹാദേവക്ഷേത്രം , കീഴ്ത്തളി മഹാദേവക്ഷേത്രം കൊടുങ്ങല്ലൂര്‍ , തളികോട്ട മഹാദേവക്ഷേത്രം കോട്ടയം ) ഒരു തളി ആണ് ഈ മഹാദേവക്ഷേത്രം ."
തളികോട്ട വെര്‍ച്ച്വര്‍ടൂര്‍ കാണാനായി ഇവിടെ ക്ലിക്ക് .,തളികോട്ട മഹാദേവക്ഷേത്രത്തിന്റെ വെര്‍ച്ച്വര്‍ടൂര്‍ കാണാനായി ഇവിടെ ക്ലിക്ക് ചെയ്യുക .
