dropped,sentences
ലോകത്തിലെ . ബുദ്ധപ്രതിമ ആണ് ഹൈദരാബാദിലെ ആയി ഹുസൈന്‍സാഗര്‍ ഗ്രാനൈറ്റ് ഏറ്റവും കല്ലില്‍ ഒറ്റ നദിക്ക് ശില്‍പം നടുവില്‍ വലിയ തീര്‍ത്ത സ്ഥിതിചെയ്യുന്ന,ഹൈദരാബാദിലെ ഹുസൈന്‍സാഗര്‍ നദിക്ക് നടുവില്‍ ആയി സ്ഥിതിചെയ്യുന്ന ബുദ്ധപ്രതിമ ഒറ്റ ഗ്രാനൈറ്റ് കല്ലില്‍ തീര്‍ത്ത ലോകത്തിലെ ഏറ്റവും വലിയ ശില്‍പം ആണ് .
ടണ്ണ് പ്രതിമയുടെ 350 ആണ് . ഭാരം,350 ടണ്ണ് ആണ് പ്രതിമയുടെ ഭാരം .
. രണ്ടു് ആണ് 200 കൊണ്ട് ശില്‍പികള്‍ പൂര്‍ത്തിയാക്കിയത് പ്രതിമയുടെ നിര്‍മാണം വര്‍ഷം,200 ശില്‍പികള്‍ രണ്ടു് വര്‍ഷം കൊണ്ട് ആണ് പ്രതിമയുടെ നിര്‍മാണം പൂര്‍ത്തിയാക്കിയത് .
12ന് നടുവില്‍ ആണ് നദിക്ക് സ്ഥാപിച്ചത് . പ്രതിമ ഏപ്രില്‍ 1992,1992 ഏപ്രില്‍ 12ന് ആണ് പ്രതിമ നദിക്ക് നടുവില്‍ സ്ഥാപിച്ചത് .
ബോട്ടു് തീര്‍ഥാടകര്‍ക്ക് എത്താം . ഇവിടെ പാര്‍ക്കില്‍ നിന്ന് ലുംബിനി മാര്‍ഗ്ഗം,ലുംബിനി പാര്‍ക്കില്‍ നിന്ന് ബോട്ടു് മാര്‍ഗ്ഗം തീര്‍ഥാടകര്‍ക്ക് ഇവിടെ എത്താം .
വെര്ച്വല്ടൂര്ന് ചെയ്യുക ക്ലിക്ക് ഇവിടെ .,വെര്ച്വല്ടൂര്ന് ഇവിടെ ക്ലിക്ക് ചെയ്യുക .
സ്ഥിതിചെയ്യുന്ന പുരാതനക്ഷേത്രം . ആണ് തളികോട്ട കോട്ടയം ജില്ലയില്‍ കേരളത്തിലെ താഴത്തങ്ങാടിയില്‍ മഹാദേവക്ഷേത്രം,കേരളത്തിലെ കോട്ടയം ജില്ലയില്‍ താഴത്തങ്ങാടിയില്‍ സ്ഥിതിചെയ്യുന്ന പുരാതനക്ഷേത്രം ആണ് തളികോട്ട മഹാദേവക്ഷേത്രം .
പ്രതിഷ്ഠിക്കപ്പെട്ടു പരശുരാമനാല്‍ ഐതിഹ്യം തെക്കുംകൂര്‍രാജാക്കന്മാരുടെ കുലദൈവം എന്ന് പൂജിക്കപ്പെട്ടിരുന്നു ക്ഷേത്രം ആയി ഉള്ള .,പരശുരാമനാല്‍ പ്രതിഷ്ഠിക്കപ്പെട്ടു എന്ന് ഐതിഹ്യം ഉള്ള ക്ഷേത്രം തെക്കുംകൂര്‍രാജാക്കന്മാരുടെ കുലദൈവം ആയി പൂജിക്കപ്പെട്ടിരുന്നു .
"പറയുന്ന ശിവക്ഷേത്രങ്ങളില്‍ പുരാതന ആണ് , ( കൊടുങ്ങല്ലൂര്‍ തളിമഹാദേവക്ഷേത്രം , 108 കേരളത്തിലെ മഹാദേവക്ഷേത്രം . ഈ ) മഹാദേവക്ഷേത്രം തളി തളികോട്ട മഹാദേവക്ഷേത്രം നാലു കോട്ടയം ഒരു കോഴിക്കോട് കീഴ്ത്തളി തളിക്ഷേത്രങ്ങളില്‍ കടുത്തുരുത്തി , തളിശിവക്ഷേത്രം NULL","പുരാതന കേരളത്തിലെ 108 ശിവക്ഷേത്രങ്ങളില്‍ പറയുന്ന നാലു തളിക്ഷേത്രങ്ങളില്‍ ( തളിശിവക്ഷേത്രം കോഴിക്കോട് , കടുത്തുരുത്തി തളിമഹാദേവക്ഷേത്രം , കീഴ്ത്തളി മഹാദേവക്ഷേത്രം കൊടുങ്ങല്ലൂര്‍ , തളികോട്ട മഹാദേവക്ഷേത്രം കോട്ടയം ) ഒരു തളി ആണ് ഈ മഹാദേവക്ഷേത്രം ."
ക്ലിക്ക് കാണാനായി മഹാദേവക്ഷേത്രത്തിന്റെ ചെയ്യുക . തളികോട്ട വെര്‍ച്ച്വര്‍ടൂര്‍ ഇവിടെ,തളികോട്ട മഹാദേവക്ഷേത്രത്തിന്റെ വെര്‍ച്ച്വര്‍ടൂര്‍ കാണാനായി ഇവിടെ ക്ലിക്ക് ചെയ്യുക .
. NULL എന്നപോലെ മയക്കുമരുന്നിനോടും ആയിക്കൊണ്ടിരിക്കുന്നു മദ്യത്തിനോടും ഇന്ന് അഡിക്ഷന്‍ സെല്‍ഫിയും,മദ്യത്തിനോടും മയക്കുമരുന്നിനോടും എന്നപോലെ സെല്‍ഫിയും ഇന്ന് അഡിക്ഷന്‍ ആയിക്കൊണ്ടിരിക്കുന്നു .
അഡിക്ഷന്‍ . സെല്‍ഫി ചിരിച്ചുതള്ളേണ്ട എങ്ങനെ എന്ന് ആകുന്നത് പറഞ്ഞ്,സെല്‍ഫി അഡിക്ഷന്‍ ആകുന്നത് എങ്ങനെ എന്ന് പറഞ്ഞ് ചിരിച്ചുതള്ളേണ്ട .
വളര്‍ന്നുവരുന്നുണ്ട് ജീവിതം സെല്‍ഫി എന്നു കിട്ടിയാല്‍ . വലിയ എടുത്ത് ആളുകള്‍ പക്ഷം ധന്യം ലൈക്കും അതിന് ഒരു നമുക്ക് ആയി കരുതുന്ന സ്വന്തം ചെയ്ത് കൂടി ഷെയര്‍ ഇടയില്‍ കുറച്ച് സോഷ്യല്‍മീഡിയയില്‍,സ്വന്തം സെല്‍ഫി എടുത്ത് സോഷ്യല്‍മീഡിയയില്‍ ഷെയര്‍ ചെയ്ത് അതിന് കുറച്ച് ലൈക്കും കൂടി കിട്ടിയാല്‍ ജീവിതം ധന്യം ആയി എന്നു കരുതുന്ന ഒരു വലിയ പക്ഷം ആളുകള്‍ നമുക്ക് ഇടയില്‍ വളര്‍ന്നുവരുന്നുണ്ട് .
മറ്റു . അസ്വസ്ഥതകളെ അമിത സെല്‍ഫിയോട് ആയ ഒരു പോലെ ആവശ്യം എന്ന് സ്‌നേഹം മാനസികപ്രശ്‌നം മാനസിക ആണ് ചികിത്സ ഈ ഉളള തിരിച്ചറിയണം,സെല്‍ഫിയോട് ഉളള ഈ അമിത സ്‌നേഹം മറ്റു മാനസിക അസ്വസ്ഥതകളെ പോലെ ചികിത്സ ആവശ്യം ആയ ഒരു മാനസികപ്രശ്‌നം ആണ് എന്ന് തിരിച്ചറിയണം .
ചിലരെ കുറച്ചു് ആയ കഴിഞ്ഞ നാം സെല്‍ഫിയില്‍ ദിവസങ്ങളില്‍ കണ്ടു വാര്‍ത്തകളില്‍ . രക്തസാക്ഷികള്,കഴിഞ്ഞ കുറച്ചു് ദിവസങ്ങളില്‍ സെല്‍ഫിയില്‍ രക്തസാക്ഷികള് ആയ ചിലരെ നാം വാര്‍ത്തകളില്‍ കണ്ടു .
"ആദ്യം റിപ്പോര്‍ട്ട് . നമ്മുടെ കൂടിവരികയാണ് ചെയ്യപ്പെടുന്നത് , മരണങ്ങള്‍ വിദേശത്തും ആയിട്ട് നാട്ടിലും അത് സെല്‍ഫി അല്ല എങ്കിലും NULL","സെല്‍ഫി മരണങ്ങള്‍ ആദ്യം ആയിട്ട് അല്ല റിപ്പോര്‍ട്ട് ചെയ്യപ്പെടുന്നത് എങ്കിലും , അത് വിദേശത്തും നമ്മുടെ നാട്ടിലും കൂടിവരികയാണ് ."
