treedepth,sentences
6,കള്ള് ഉണ്ടാക്കാന്‍ ആയി തെങ്ങിന്‍പൂക്കുല ചെത്തിയെടുക്കുന്ന പൂക്കുലസത്ത് തന്നെ ആണ് നീര .
5,"എന്നാല്‍ , പുളിക്കാന് അനുവദിക്കാതെ നീര സംസ്‌കരിക്കേണ്ടത് കൊണ്ട് കൂടുതല്‍ ശ്രദ്ധയും വൈദഗ്ധ്യവും ചെത്തുന്നവര്‍ക്ക് വേണം ."
5,"ഉപഭോക്താവിന്റെ കൈകളില്‍ എത്തുന്നത് സംസ്‌കരിക്കപ്പെട്ട നീര ആണ് , യഥാര്‍ഥ നീര അല്ല ."
4,കേരള കാര്‍ഷിക സര്‍വകലാശാല പുറത്തിറക്കുന്ന നീരപാനീയം ' കേരാമൃതം ' എന്ന് ആണ് അറിയപ്പെടുന്നത് .
8,"നീരയില്‍ നിന്ന് ഉത്പാദിപ്പിക്കാവുന്ന ചക്കര , പഞ്ചസാര മുതലായവയ്‌ക്ക് ഒക്കെ വിപണിയില്‍ വന്‍ പ്രിയം ഉണ്ടാകും എന്ന് പ്രതീക്ഷിക്കുന്നു ."
2,ഒരു തെങ്ങില്‍ നിന്ന് ഒരു ദിവസം രണ്ട് ലിറ്റര്‍ നീര ലഭിക്കും .
4,"എന്നാല്‍ , നല്ല പരിചരണം ലഭിക്കുന്ന ആരോഗ്യം ഉള്ള തെങ്ങില്‍ നിന്ന് അഞ്ച് ലിറ്റര്‍ വരെ നീര ലഭിക്കും എന്ന് കണക്കാക്കപ്പെട്ടിട്ടുണ്ട് ."
4,* നീര എടുക്കുന്ന ഒരു തെങ്ങ് വര്‍ഷത്തില്‍ 1200 രൂപയില് അധികം അറ്റാദായം നല്‍കും .
5,നീര എടുക്കുന്ന തെങ്ങില്‍ പിന്നീട് നാളികേരഉത്പാദനവര്‍ധന ഉണ്ടാകും എന്ന് പഠനങ്ങള്‍ രേഖപ്പെടുത്തിയിട്ടുണ്ട് .
5,"* ഇതില്‍ ആല്‍ക്കഹോളിന്റെ അളവ് തീരേ ഇല്ല എന്നാല്‍ , ശേഖരിച്ച് കഴിഞ്ഞത് മുതല്‍ പുളിക്കാന്‍ തുടങ്ങും ."
4,അതുകൊണ്ട് നീര ദുരുപയോഗപ്പെടുത്താന്‍ സാധ്യത ഉണ്ട് .
3,അതിനാല്‍ ഉത്പാദനവും സംസ്‌കരണവും കര്‍ശനമായ നിയമ മേല്നോട്ടത്തില്‍ ആയിരിക്കും .
4,* സംസ്‌കരിച്ച നീര ഒരു വര്‍ഷത്തോളം കേട് കൂടാതെ സൂക്ഷിച്ചുവെക്കാന്‍ സാധിക്കും .
4,* ജലസേചനം ഉള്ള തെങ്ങുകളില്‍ കൂടുതല്‍ നീര ലഭിക്കും .
2,വരള്‍ച്ച മാസങ്ങളില്‍ കുറയും .
2,* കുള്ളന്‍ ഇനങ്ങളേക്കാള്‍ നെടിയ ഇനങ്ങളില്‍ നിന്ന് കൂടുതല്‍ നീര ലഭിക്കും .
5,"എന്നാല്‍ , തെങ്ങിന്റെ അധികോത്പാദനശേഷിയും കുറഞ്ഞ പ്രായവും നല്ല പരിചരണവും കൂടുതല്‍ നീര ലഭ്യം ആക്കും ."
4,* ഒരു മാസം കൊണ്ട് ഒരു പൂക്കുലയില്‍ നിന്ന് 50 ലിറ്റര്‍ നീര ലഭിക്കും എന്ന് കണക്കാക്കിയിട്ടുണ്ട് .
4,* നാളികേര കര്‍ഷകരുടെ കൂട്ടായ്മകള്‍ക്ക് നീരയുടെ ഉത്പാദനത്തിലും സംസ്‌കരണത്തിലും വിപണനത്തിലും കൂടുതല്‍ നേട്ടങ്ങള്‍ ഉണ്ടാക്കാന്‍ സാധിക്കും .
4,"* ഐസ്‌ക്രീം , ബിസ്‌കറ്റ് , ചോക്കലേറ്റ് തുടങ്ങിയ മൂല്യവര്‍ധിത ഉത്പന്നങ്ങളും നീരയില്‍ നിന്ന് ഉത്പാദിപ്പിക്കാം ."
6,* ലഹരി തീരേ ഇല്ലാത്ത ഈ സമ്പൂര്‍ണ ആരോഗ്യപാനീയം കേരളത്തിന്റെ സാമ്പത്തിക ആരോഗ്യത്തിനും വന്‍ നേട്ടങ്ങള്‍ ഉണ്ടാക്കും എന്ന് ആണ് പ്രതീക്ഷിക്കുന്നത് .
4,റബ്ബര്‍കൃഷി തുടങ്ങുമ്പോള്‍ പല കാര്യങ്ങളും ശ്രദ്ധിക്കേണ്ടത് ഉണ്ട് .
3,ഏറ്റവും പ്രധാനം നല്ല ഇനം കൃഷി ചെയ്യുക എന്നുള്ളത് ആണ് .
6,പരമ്പരാഗതമായി റബ്ബര്‍കൃഷി ചെയ്യുന്ന പ്രദേശങ്ങളിലേക്ക് റബ്ബര്‍ബോര്‍ഡ് അംഗീകരിച്ച റബ്ബര്‍ഇനങ്ങളുടെ പട്ടികയില്‍ ഒന്നാമത്തെ വിഭാഗത്തില്‍ ഒന്നാമത്തേത് ആയി ഈ വര്‍ഷവും ഉള്‍പ്പെടുത്തിയിരിക്കുന്നത് ആര്‍ . ആര്‍. . ഐ . ഐ . 105 ( R . R . I . I . 105 ) എന്ന ഇനം ആണ് .
7,നമ്മുടെ മണ്ണിനും കാലാവസ്ഥയ്ക്കും വളരെ യോജിച്ച ഇനം ആണ് 105 എന്ന് ആണ് റബ്ബര്‍ബോര്‍ഡ് പറയുന്നത് .
6,പോളിത്തീന്‍കൂടകളില്‍ വളര്‍ത്തിയ തൈകള്‍ ആണ് നടുന്നത് എങ്കില്‍ അവയുടെ ഏറ്റവും അഗ്രഭാഗത്ത് ഉള്ള ഒരുതട്ട് ഇലകള്‍ വളര്‍ച്ച മുറ്റിയിട്ടുള്ളത് ആയിരിക്കണം .
11,ഇങ്ങനെ വളര്‍ച്ച മുറ്റിയിട്ടില്ലാത്ത ഇലകളോടു കൂടിയ തൈകള്‍ കുറച്ചു കാലം കൂടി നഴ്‌സറിയില്‌‌ ‍തന്നെ നിര്‍ത്തി അവയുടെ ഇലകള്‍ക്ക് വേണ്ടത്ര വളര്‍ച്ച എത്തിയ ശേഷം വേണം തോട്ടത്തിലേക്ക് മാറ്റി നടാന്‍ .
