wordcontent,sentences,index
ആക്കാന്‍,അത് വരെ അതീവ ക്ലേശകരം ആയിരുന്ന ഹജ്ജ്യാത്ര സുഗമം ആക്കാന്‍ അവര്‍ക്ക് സാധിക്കുകയും ചെയ്തു .,240
ആക്കാന്‍,വൈകാരികമായ മുന്വിധികളില് നിന്നും കാലഹരണപ്പെട്ട സങ്കല്പങ്ങളില് അധിഷ്ഠിതം ആയ വിമര്ശനങ്ങളില് നിന്നും ടൂരിസത്തെ പൂര്‍ണ്ണമായി കുറ്റവിമുക്തം ആക്കാന്‍ കഴിയുകയില്ല .,645
ആക്കാന്‍,മെച്ചപ്പെട്ട ഹോട്ടല്നിരക്കുകളും അനേകം സംഘങ്ങളെ തുടര്ച്ചയായി ഒരേ സ്ഥലത്തേയ്ക്ക് അയക്കുമ്പോള്‍ ടൂര്‍ഓപ്പറേറ്റര്‍ക്ക് ലഭ്യമാവുന്ന മറ്റ ആനുകൂല്യങ്ങളും ഒരു പരിധി വരെ യാത്ര ആദായകരം ആക്കാന്‍ സഹായിക്കുന്നു .,755
ആക്കാന്‍,നമ്മുടെ ടൂറിസംവിപണനം കുറേക്കൂടി അനായാസവും സുഗമവും ആക്കാന്‍ ഈ ഹോട്ടലുകളുടെ സാന്നിദ്ധ്യം സഹായകം ആകുന്നു .,907
ആക്കാന്‍,ഈ തൊഴിലവസരങ്ങള്‍ ഉപയോഗപ്പെടുത്തുന്നതിന് അവരെ പ്രാപ്തര് ആക്കാന്‍ ഉള്ള അനേകം ഇന്സ്റ്റിറ്റൂട്ടുകള്‍ സ്വകാര്യമേഖലയിലും സര്ക്കാര്ഉടമയിലും നിലവില് വന്നു .,937
ആക്കാന്‍,ശാസ്ത്രീയമായ സമീപനം കൊണ്ടും വിപുലമായ സാംപ്ലിങ് കൊണ്ടും മാത്രമേ കണക്കുകള്‍ കൃത്യം ആക്കാന്‍ സാധിക്കുക ഉള്ളൂ .,974
കാണുന്ന,' ടൂറിസ്റ്റ് കഥകളിയെയും ' കലാപ്രകടനങ്ങളെയും വിമര്ശന ബുദ്ധിയോടെ മാത്രം കാണുന്ന സാംസ്കാരിക തീവ്രവാദികള്‍ എല്ലായിടത്തും ഉണ്ട് .,369
കാണുന്ന,സാഹസികവഴികളിലൂടെ സഞ്ചരിച്ച് മാനിമലയുടെ മുകളില്‍ എത്തിയാല്‍ കാണുന്ന മനോഹരദൃശ്യങ്ങള്‍ തേടിയാണ് സഞ്ചാരികളില്‍ ഭൂരിഭാഗവും എത്തുന്നത് .,469
കാണുന്ന,ഇരുപതുകള്‍ കഴിയാത്ത യുവതീയുവാക്കള്‍ ആകട്ടെ കംപ്യൂട്ടറിന്റെ വേഗതയില അല്ലാതെ മറ്റൊരു തരത്തില്‍ ഉള്ള പ്രവര്‍ത്തനം ഉണ്ട് എന്ന് അറിയുന്നത് ഒരു ചരിത്രാതീതജീവിയെ കാണുന്ന കൗതുകത്തോടെയും അതിന്റെ കാലതാമസം അനുഭവിക്കുന്നത് തികഞ്ഞ ക്ഷമകേടോടെയും ആയിരിക്കും .,599
കാണുന്ന,"കടപ്പുറത്തു നാം കാണുന്ന ആ വിദേശീയര് വലിയ ഒരു പ്രസ്ഥാനത്തിന്റെ , വിപുലമായ ഒരു വ്യവസായത്തിന്റെ ഭാഗം ആയി നമ്മുടെ നാട്ടില് എത്തപ്പെട്ടവര് ആണ് ।",1050
കാണുന്ന,തൊഴിലവസരങ്ങളും ദേശീയവരുമാനവും വര്‍‍‍‍‍‍‍ദ്ധിപ്പിക്കുക എന്നത് ആണ് അല്ലോ പല അവികസിതരാജ്യങ്ങളും ടൂറിസത്തില്‍‍‍ കാണുന്ന പ്രയോജനം .,1554
കാണുന്ന,"കവി പ്രൊഫ കെ അയ്യപ്പപണിക്കര്‍ ‘ കാട് എവിടെ മക്കളെ , കൂട് എവിടെ മക്കളെ ? ' എന്ന് ആണ് പാടിയത് എങ്കില്‍ , ഇന്ന് അത് ‘ നദി എവിടെ മക്കളേ , കുളം എവിടെ മക്കളേ , തൊടികളില്‍ കാണുന്ന കിണറ് എവിടെ മക്കളേ ' എന്ന് ആയി മാറിയിട്ടുണ്ട് എന്ന് അദ്ദേഹം നിരീക്ഷിച്ചു .",2259
ഇഷ്ടം,ഒരു ഗ്രൂപ്പിന്റെ ഭാഗം ആയി നയിക്കപ്പെടാന് ആഗ്രഹിക്കാത്ത തന്നിഷ്ടം പോലെ യാത്ര ചെയ്യാനും ഇഷ്ടം ഉള്ള കാഴ്ചകള്‍ കാണാനും ആഗ്രഹിക്കുന്ന നല്ലൊരു വിഭാഗം യാത്രക്കാര്‍ മാസ്സ്ടൂറിസത്തിന്റെ കണക്കുകൂട്ടലുകളെ ചോദ്യം ചെയ്തുതുടങ്ങിയിരിക്കുന്നു .,765
ഇഷ്ടം,വകുപ്പുകള്‍ നഗരകാര്യവും ജലവിതരണവും ആകുമ്പോള്‍ സംസാരിക്കാന്‍ വിഷയങ്ങള്‍ ഇഷ്ടം പോലെ .,2241
ഇഷ്ടം,അമിതമായി നിര്‍ബന്ധിച്ച് പഠിപ്പിക്കുന്നത് ഒഴിവാക്കണം എങ്കിലും കുട്ടികളെ പഠിക്കാന്‍ കാര്യമായി പ്രേരിപ്പിക്കണം എന്ന നിലപാട് ആണ് എനിക്ക് ഉള്ളത് ( അല്ലാതെ അവരുടെ ഇഷ്ടം പോലെ പഠിക്കുകയോ പഠിക്കാതെയോ ഇരിക്കട്ടെ എന്ന നിലപാട് വ്യക്തികള്‍ക്കും സമൂഹത്തിനും ദോഷം വരുത്താന് ഇട ഉണ്ട് ) .,2595
ഇഷ്ടം,അവന്റെ സ്വരത്തിലെ ദൃഢനിശ്ചയം എനിക്ക് ഇഷ്ടം ആയി .,2709
