dropped,sentences
"जनहित या प्रतिवादी शक्‍य नाही , असेही नमूद आले आहे .","जनहित याचिकेत या सर्वांना प्रतिवादी करणे शक्‍य नाही , असेही नमूद करण्यात आले आहे ."
सहभागी बेस्टच्या आले .,संपात सहभागी झालेल्या बेस्टच्या कर्मचाऱ्यांना कामावर घेण्यात आले नव्हते .
त्यांच्या १८०० आज नाही .,कामगार न्यायालयाने त्यांच्या बाजूने निकाल देऊनही कर्मचारी संघटनेच्या १८०० कामगारांना आज कामावर घेतले नाही .
"त्यामुळे त्यांचे पुन्हा काय , याबाबतीत कायम ; मात्र बेस्टचे उत्तम यांनी या उद्यापासून बिनशर्त जाहीर .","त्यामुळे त्यांचे पुन्हा काय होणार , याबाबतीत संभ्रम कायम होता ; मात्र बेस्टचे महाव्यवस्थापक उत्तम खोब्रागडे यांनी संध्याकाळी पत्रकार परिषद बोलावून या कामगारांना उद्यापासून बिनशर्त कामावर घेत असल्याचे जाहीर केले ."
अचानक अनेक येत आहेत .,महाव्यवस्थापकांनी अचानक नरमाईचे धोरण घेतलेले पाहून अनेक तर्कवितर्क लढविण्यात येत आहेत .
बेस्टमधील आला .,बेस्टमधील कर्मचाऱ्यांनी बुधवारी संप पुकारल्यानंतर शुक्रवारी समितीने दिलेल्या आश्‍वासनांवर संप मागे घेण्यात आला .
"त्यात कोसळणार नाही , याचीही आली ; मात्र दुसऱ्या रुजू ३५०० विविध आले नाही .","त्यात कामगारांवर कारवाईची कुऱ्हाड कोसळणार नाही , याचीही शाश्‍वती देण्यात आली होती ; मात्र दुसऱ्या दिवशी कामावर रुजू होण्यासाठी गेलेल्या ३५०० विविध कर्मचारी संघटनेच्या प्रतिनिधींना कामच देण्यात आले नाही ."
त्यामुळे .,त्यामुळे कर्मचारी युनियनने न्यायालयात धाव घेतली होती .
"बिनशर्त , असा आज १८०० आले .","न्यायालयाने कामगारांना बिनशर्त कामावर घ्यावे , असा आदेश दिल्यावरही आज पुनर्नेमणुकीच्या अर्जावर सही करण्यासाठी १८०० कामगारांना प्रशासनाकडून सांगण्यात आले ."
या आजही आले .,सही करण्यास नकार दिल्यामुळे या कामगारांना आजही काम देण्यात आले नव्हते .
त्यामुळे दुटप्पी प्रचंड .,त्यामुळे प्रशासनाच्या दुटप्पी भूमिकेबाबत कामगारांत प्रचंड चीड निर्माण झाली होती .
"मात्र अचानक आपण सर्व बिनशर्त , असे जाहीर .","मात्र संध्याकाळी अचानक बेस्टच्या महाव्यवस्थापकांनी पत्रकार परिषद बोलावून आपण सर्व कामगारांना बिनशर्त कामावर घेत आहोत , असे जाहीर केले ."
बेस्ट या मी त्यांना आहे .,कर्मचारी संघटनांच्या प्रतिनिधींबरोबर महाव्यवस्थापकांनी घेतलेल्या पत्रकार परिषदेत कर्मचारी संघटनांनी माफी मागितल्यामुळे बेस्ट परिवाराचा कुटुंबप्रमुख या नात्याने मी त्यांना माफ करीत आहे .
तसेच सर्व उद्यापासून .,तसेच सर्व कामगारांना उद्यापासून कामावर घेतले जात असल्याचे सांगितले .
