dropped,sentences
करणे करण्यात,"जनहित याचिकेत या सर्वांना प्रतिवादी करणे शक्‍य नाही , असेही नमूद करण्यात आले आहे ."
झालेल्या घेण्यात नव्हते,संपात सहभागी झालेल्या बेस्टच्या कर्मचाऱ्यांना कामावर घेण्यात आले नव्हते .
देऊनही घेतले,कामगार न्यायालयाने त्यांच्या बाजूने निकाल देऊनही कर्मचारी संघटनेच्या १८०० कामगारांना आज कामावर घेतले नाही .
होणार होता बोलावून घेत असल्याचे केले,"त्यामुळे त्यांचे पुन्हा काय होणार , याबाबतीत संभ्रम कायम होता ; मात्र बेस्टचे महाव्यवस्थापक उत्तम खोब्रागडे यांनी संध्याकाळी पत्रकार परिषद बोलावून या कामगारांना उद्यापासून बिनशर्त कामावर घेत असल्याचे जाहीर केले ."
घेतलेले पाहून लढविण्यात,महाव्यवस्थापकांनी अचानक नरमाईचे धोरण घेतलेले पाहून अनेक तर्कवितर्क लढविण्यात येत आहेत .
पुकारल्यानंतर दिलेल्या घेण्यात,बेस्टमधील कर्मचाऱ्यांनी बुधवारी संप पुकारल्यानंतर शुक्रवारी समितीने दिलेल्या आश्‍वासनांवर संप मागे घेण्यात आला .
देण्यात होती होण्यासाठी गेलेल्या देण्यात,"त्यात कामगारांवर कारवाईची कुऱ्हाड कोसळणार नाही , याचीही शाश्‍वती देण्यात आली होती ; मात्र दुसऱ्या दिवशी कामावर रुजू होण्यासाठी गेलेल्या ३५०० विविध कर्मचारी संघटनेच्या प्रतिनिधींना कामच देण्यात आले नाही ."
घेतली होती,त्यामुळे कर्मचारी युनियनने न्यायालयात धाव घेतली होती .
घ्यावे दिल्यावरही करण्यासाठी सांगण्यात,"न्यायालयाने कामगारांना बिनशर्त कामावर घ्यावे , असा आदेश दिल्यावरही आज पुनर्नेमणुकीच्या अर्जावर सही करण्यासाठी १८०० कामगारांना प्रशासनाकडून सांगण्यात आले ."
करण्यास दिल्यामुळे देण्यात नव्हते,सही करण्यास नकार दिल्यामुळे या कामगारांना आजही काम देण्यात आले नव्हते .
झाली होती,त्यामुळे प्रशासनाच्या दुटप्पी भूमिकेबाबत कामगारांत प्रचंड चीड निर्माण झाली होती .
बोलावून घेत आहोत केले,"मात्र संध्याकाळी अचानक बेस्टच्या महाव्यवस्थापकांनी पत्रकार परिषद बोलावून आपण सर्व कामगारांना बिनशर्त कामावर घेत आहोत , असे जाहीर केले ."
घेतलेल्या मागितल्यामुळे करीत,कर्मचारी संघटनांच्या प्रतिनिधींबरोबर महाव्यवस्थापकांनी घेतलेल्या पत्रकार परिषदेत कर्मचारी संघटनांनी माफी मागितल्यामुळे बेस्ट परिवाराचा कुटुंबप्रमुख या नात्याने मी त्यांना माफ करीत आहे .
घेतले जात असल्याचे सांगितले,तसेच सर्व कामगारांना उद्यापासून कामावर घेतले जात असल्याचे सांगितले .
विचारले करू नका दिले सांगितले,"याबाबत बेस्ट कामगार सेनेचे सुहास सामंत यांना विचारले असता , त्यांनी आम्ही समितीला कर्मचाऱ्यांवर अन्याय करू नका , असे निवेदन दिले होते , असे सांगितले ."
स्वीकारलेले पाहून वाटले,बेस्ट उपक्रमाच्या महाव्यवस्थापकांनी अचानक नरमाईचे धोरण स्वीकारलेले पाहून सर्वांनाच आश्‍चर्य वाटले .
घेतल्यानंतरच आहे विचारल्यावर घेतली नसल्याचे सांगितले,"मुख्यमंत्री आणि नारायण राणे यांची भेट घेतल्यानंतरच तुमचा हा निर्णय आहे का , असे पत्रकारांनी महाव्यवस्थापकांना विचारल्यावर त्यांनी मी कोणाचीही भेट घेतली नसल्याचे सांगितले ."
घेतला,कल्याण - ठाकुर्ली या स्थानकांदरम्यान पाचव्या आणि सहाव्या मार्गाच्या कामासाठी मध्य रेल्वेने शनिवारपासून पाच दिवस मेगाब्लॉक घेतला आहे .
उडाला,ब्लॉकच्या पहिल्याच दिवशी शनिवारी ( ता . २८ ) नियोजनाअभावी प्रशासनाचा चांगलाच फज्जा उडाला .
झाले,त्यामुळे प्रवाशांचे अतोनात हाल झाले .
असल्याने जाणवला असल्याने होणार असून लोटण्याची वर्तविली जात,"आज रविवार असल्याने फारसा परिणाम जाणवला नाही ; मात्र उद्या ( ता . ३० ) कार्यालयीन दिवस असल्याने नोकरदार मंडळींचे हाल होणार असून , रेल्वेस्थानक आणि गाड्यांमध्ये गर्दीचा महापूर लोटण्याची शक्‍यता वर्तविली जात आहे ."
घेता अवलंबण्याचा करीत,"शनिवारचा अनुभव लक्षात घेता , बरेच चाकरमानी रस्त्याचा मार्ग अवलंबण्याचा विचार करीत आहेत ."
टाकण्याचे होते,रविवारी पत्रीपुलाजवळ नवीन मार्ग टाकण्याचे काम सुरू होते .
सुटणाऱ्या करण्यात आल्या,"आज दिवसभरात टिटवाळा , अंबरनाथ , कल्याण येथून सुटणाऱ्या सुमारे ३४ लोकल रद्द करण्यात आल्या ."
घेऊन जाण्याचे टाळले,शनिवारचा अनुभव लक्षात घेऊन आज कुटुंबांनी बाहेर जाण्याचे टाळले .
नव्हती,"त्यामुळे कल्याण , डोंबिवली या स्थानकांवर फारशी गर्दी नव्हती ."
आहे लागत,ठाकुर्लीनंतर कल्याणपर्यंतचा प्रवास आठ ते दहा मिनिटांचा आहे ; मात्र कामामुळे चार ते पाच तास लागत आहेत .
