bshift,sentences
0,మరో సంగతి మీకు తెలుసా ?
0,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
0,ఇట్లా ఎందుకు జరుగుతోంది ?
1,అయిదేళ్లలోపు మరీ ఆడపిల్లలు ఎక్కువగా చనిపోతున్నారు .
0,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
0,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
1,దేశంలోనూ మన కేరళలో ఇట్లా జరగడం .
0,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
0,అక్కడ మరణాలు ఆడవాళ్లకూ ణూLL మగవాళ్లకూ సమానం ణూLL .
1,అక్కడ జనాభాలో ఆడవాళ్లూ ణూLL సమానం మగవాళ్లూ ణూLL .
0,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
0,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
0,ఎందుకు అంటారు ?
0,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ ణూLL .
1,ఆడవాళ్లే . కాదు
1,అందరూ ఆడపిల్లలు తినగా చివర తింటుంటారు .
1,అప్పుడప్పుడూ వాళ్లు పడుకొంటారు ఆకలితోనే .
0,అలిసిపోవడం ఎక్కువ ణూLL .
1,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి ణూLL కావు .
0,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు ణూLL .
0,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
1,రేపు చూద్దాములే . అంతేగా
1,తరతరాలుగా ఇంకా నాటుకుపోయిన అభిప్రాయాలు ణూLL .
0,"బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
0,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం ణూLL .
1,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం . తెలియకపోవడం
0,ముందడుగు వెయ్యలేక .
0,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
1,"తగిన డాక్టర్లూ నర్సులూ , లేకపోవడం ."
0,ఈమెను ఎలా పరీక్షించేది ?
1,ఏమీ వాళ్లు అనుకొంటారు ?
0,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ ణూLL .
0,ఎవడు వేగుతారు ?
1,వైద్యాన్ని చేసేవాళ్లు వ్యాపారం తక్కువ ఏం కాదు .
0,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
1,కడుపు 500 తీయించుకో రూపాయలతో శని వదిలిపోతుంది .
