dropped,sentences
మరో మీకు తెలుసా ?,మరో సంగతి మీకు తెలుసా ?
అందరి నా ఎలా చెప్పుకొనేది ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
ఇట్లా ఎందుకు జరుగుతోంది ?,ఇట్లా ఎందుకు జరుగుతోంది ?
మరీ ఎక్కువగా చనిపోతున్నారు .,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కడైనా ఇంతే అనుకోనేరు .,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
చాలా ఈ లేదు .,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
మన ఇట్లా జరగడం .,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
ఇట్లా జరగడం .,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
NULL సమానం NULL .,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
NULL సమానం NULL .,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
మరి ఎందుకు మాటిమాటికీ పాలవుతున్నారు ?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఎందుకు అంటారు ?,ఎందుకు అంటారు ?
పుష్టికరమైన దొరకడం తక్కువ NULL .,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
కాదు .,ఆడవాళ్లే కాదు .
అందరూ తినగా చివర తింటుంటారు .,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
వాళ్లు పడుకొంటారు .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
అలిసిపోవడం ఎక్కువ NULL .,అలిసిపోవడం ఎక్కువ NULL .
ఇంకో ఉండే మంచివి కావు NULL .,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
మరో వాళ్లు తీసుకోలేరు NULL .,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
ఈ వదిలేసి ఎపుడు వెళ్లేది ?,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
చూద్దాములే అంతేగా .,రేపు చూద్దాములే అంతేగా .
ఇంకా తరతరాలుగా నాటుకుపోయిన NULL .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
", తెల్లబట్టలాంటివి పెట్టుకోలేక .","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
ఆడదిగా పుట్టడమే అనిపించడం . ఎంత NULL .,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
ఎంత దీని ఎలా పెట్టుకొనేది సరిగా తెలియకపోవడం .,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
వెయ్యలేక .,ముందడుగు వెయ్యలేక .
చూచేందుకు లేకపోవడం .,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
"తగిన , లేకపోవడం .","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
ఈమెను ఎలా పరీక్షించేది ?,ఈమెను ఎలా పరీక్షించేది ?
వాళ్లు ఏమీ అనుకొంటారు ?,వాళ్లు ఏమీ అనుకొంటారు ?
అబ్బా ఈ ఇదే NULL .,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
ఎవడు వేగుతారు ?,ఎవడు వేగుతారు ?
ఏం కాదు .,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
ఎందుకు కంటావు .,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
తీయించుకో 500 వదిలిపోతుంది .,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
పుట్టగానే ఉన్నారు .,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
ఈ మనం వింటూనే .,రోజూ ఈ వార్తలు మనం వింటూనే .
మరో NULL .,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
కొంత మంది లేకుండా ఆలోచిస్తారు .,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
ఇదిగో మీరంతా తింటున్నారు .,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
చేయించాలి .,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
కనీసం 30 పట్టుకొని .,కనీసం నెలకు 30 కేసులు పట్టుకొని .
NULL .,నిజమే NULL .
ఉన్నప్పుడు . కనేటప్పుడూ అవసరమే NULL .,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
ఎక్కువ అవసరమే NULL .,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
కేవలం కనే NULL ?,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
వాళ్లకు ఏమీ రావా ?,వాళ్లకు ఏమీ జబ్బులు రావా ?
"అయినప్పుడూ , చేయించుకోవాలసినప్పుడేనా వాళ్లకు అవసరమయ్యేది ?","గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
అవసరమయ్యేది ?,వైద్యం అవసరమయ్యేది ?
ఉన్నప్పుడు మాత్రం ఏదో వైద్య చేస్తే చాలా ?,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
అంతటితో సుఖంగా కనేస్తుందా ?,అంతటితో సుఖంగా కనేస్తుందా ?
అసలైన కావాలంటే ఆమెకు కావాలి .,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
తగినంత ఉండాలి .,తగినంత తీరిక ఉండాలి .
చదువుండాలి .,చదువుండాలి .
కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
లేనపుడు కాకుండేందుకు ఏదో ఆమెకు తెలిసి .,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
ఉంటే కావడం ఆమెకో NULL .,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ NULL .
"అట్లా కాకుండా , అవుతుంటే ! ఆమెకు కావడం ఏమవుతుంది ?","అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
దీనికి తోడు తగిన వైద్య లేకుంటే ఆమె ఏమీ అవుతుంది ?,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
", , , లాంటి నయమయ్యే NULL .","పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే NULL ."
ఐతే ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .
"సరైన లేకపోతే , పడకపోతే ఏ తెస్తుంది .","సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
అందువల్ల ఉన్నప్పుడు NULL .,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
మరీ సరైన NULL .,మరీ సరైన ఆహారం NULL .
మరిన్ని అవసరం NULL .,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
అప్పుడే వాళ్లు సుఖంగా కంటారు .,అప్పుడే వాళ్లు సుఖంగా కంటారు .
అంటే ఉన్న ప్రతి NULL :,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ NULL :
ఎక్కువ ఇస్తే సరిపోదు .,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
సరైన లేక ఆమె చిక్కిపోయిందనుకోండి .,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .
ఆమె చదువుకోలేదు అనుకోండి .,ఆమె చదువుకోలేదు అనుకోండి .
తగిన లేదనుకోండి .,కాన్పు తగిన సంరక్షణ లేదనుకోండి .
ఏమంటే ఆరోగ్యంగా పెరగాలి NULL .,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి NULL .
మన పడుతుంది .,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
ఉన్నప్పుడు ఆమెకు అవసరం NULL .,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
సమానంగా పనిచేసే ఉండాలి .,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
"సమానమైన , ఉండాలి .","మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
కొత్త NULL ?,ఎలాంటిదా కొత్త ప్రపంచం NULL ?
"- , - , ప్రతి సమానంగా ఉండే NULL !","సొంత ఇంట్లో - వాడలో , ఊళ్లో - రాష్ట్రంలో , దేశంలో ప్రతిచోట ప్రతి విషయంలోనూ ఆడా మగా సమానంగా ఉండే ప్రపంచం NULL !"
ఈ కొత్త మనం పెడతాం ?,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
ఎలా అంటారా ?,ఎలా అంటారా ?
నేర్చుకోడంతోనే,చదువు నేర్చుకోడంతోనే
NULL చదువుంటే NULL .,చదువంటే శక్తి చదువుంటే ఆయుధం NULL .
అందుకే చదువుకోవాలి .,అందుకే ఆడవాళ్లు చదువుకోవాలి .
నిలబడ్డం తెలుసుకోవాలి .,సొంత కాళ్ల నిలబడ్డం తెలుసుకోవాలి .
మనకు చాలా ఉంటాయి .,మనకు చాలా ఆలోచనలు ఉంటాయి .
ఏదో చేయాలని అనుకొంటాం .,ఏదో చేయాలని అనుకొంటాం .
అది ఉండదు .,అది అందుబాటులో ఉండదు .
అందరికీ పెరటి NULL .,అందరికీ అందుబాటులోనిది పెరటి తోటల పెంపకం NULL .
ఉంటే ఇది చాలా సులభం NULL .,మనసు ఉంటే ఇది చాలా సులభం NULL .
", NULL .","ఆదాయం , ఆనందం NULL ."
", , , అందరూ పెంచగలవి , వీటిని వేసే మంచి ఎంచుకోవాలి","మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
సులభంగా బతుకుతుంది .,అరటి సులభంగా బతుకుతుంది .
నాలుగు వేసుకోలేమా ?,నాలుగు కూరపాదులు వేసుకోలేమా ?
", బాగా పెరుగుతాయి .","వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
తొందరగా పెరుగుతుంది .,బెండ తొందరగా పెరుగుతుంది .
", పాకుతాయి , రెండో ఉంటుంది .","బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
తినగలిగినా మంచిదే NULL .,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే NULL .
", , , , బాగా పెరుగుతాయి .","పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
", నవనవలాడుతుంటాయి .","ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
సులభంగా పెరిగే NULL .,బొప్పాయి సులభంగా పెరిగే చెట్టు NULL .
దీనికి పెద్ద అవసరం లేదు .,దీనికి పెద్ద చోటు అవసరం లేదు .
ఇది ఆరు వచ్చే NULL .,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
కాయలుంటాయి .,చెట్టు కాయలుంటాయి .
ఒక తప్పకుండా పండుతుంది .,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
తినడానికి రుచిగా ఉంటుంది .,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
పచ్చి వండుకోవచ్చు .,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
", , చాలా పోగొడతాయి .","బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
మంచి NULL .,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు NULL .
