dropped,sentences
మరో మీకు ?,మరో సంగతి మీకు తెలుసా ?
అందరి నా ఎలా ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
ఇట్లా ఎందుకు ?,ఇట్లా ఎందుకు జరుగుతోంది ?
మరీ ఎక్కువగా .,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కడైనా ఇంతే .,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
చాలా ఈ .,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
మన ఇట్లా .,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
ఇట్లా .,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
NULL సమానం .,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
NULL సమానం .,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
మరి ఎందుకు మాటిమాటికీ ?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ఎక్కువగా ?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఎందుకు ?,ఎందుకు అంటారు ?
పుష్టికరమైన తక్కువ .,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
.,ఆడవాళ్లే కాదు .
అందరూ చివర .,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
వాళ్లు .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
ఎక్కువ .,అలిసిపోవడం ఎక్కువ NULL .
ఇంకో మంచివి .,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
మరో వాళ్లు .,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
ఈ ఎపుడు ?,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
అంతేగా .,రేపు చూద్దాములే అంతేగా .
ఇంకా తరతరాలుగా .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
", తెల్లబట్టలాంటివి .","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
ఆడదిగా . ఎంత .,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
ఎంత దీని ఎలా సరిగా .,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
.,ముందడుగు వెయ్యలేక .
.,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
"తగిన , .","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
ఈమెను ఎలా ?,ఈమెను ఎలా పరీక్షించేది ?
వాళ్లు ఏమీ ?,వాళ్లు ఏమీ అనుకొంటారు ?
అబ్బా ఈ ఇదే .,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
ఎవడు ?,ఎవడు వేగుతారు ?
ఏం .,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
ఎందుకు .,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
500 .,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
.,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
ఈ మనం .,రోజూ ఈ వార్తలు మనం వింటూనే .
మరో .,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
కొంత మంది .,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
ఇదిగో మీరంతా .,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
.,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
కనీసం 30 .,కనీసం నెలకు 30 కేసులు పట్టుకొని .
.,నిజమే NULL .
. అవసరమే .,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
ఎక్కువ అవసరమే .,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
కేవలం ?,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
వాళ్లకు ఏమీ ?,వాళ్లకు ఏమీ జబ్బులు రావా ?
", వాళ్లకు ?","గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
?,వైద్యం అవసరమయ్యేది ?
మాత్రం ఏదో వైద్య చాలా ?,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
అంతటితో సుఖంగా ?,అంతటితో సుఖంగా కనేస్తుందా ?
అసలైన ఆమెకు .,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
తగినంత .,తగినంత తీరిక ఉండాలి .
.,చదువుండాలి .
ఆమె .,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
ఏదో ఆమెకు .,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
ఆమెకో .,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ NULL .
"అట్లా , ! ఆమెకు ?","అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
దీనికి తోడు తగిన వైద్య ఆమె ఏమీ ?,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
", , , లాంటి .","పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే NULL ."
ఐతే ప్రమాదం .,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .
"సరైన , ఏ .","సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
అందువల్ల .,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
మరీ సరైన .,మరీ సరైన ఆహారం NULL .
మరిన్ని అవసరం .,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
అప్పుడే వాళ్లు సుఖంగా .,అప్పుడే వాళ్లు సుఖంగా కంటారు .
అంటే ప్రతి :,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ NULL :
ఎక్కువ .,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
సరైన ఆమె .,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .
ఆమె .,ఆమె చదువుకోలేదు అనుకోండి .
తగిన .,కాన్పు తగిన సంరక్షణ లేదనుకోండి .
ఏమంటే ఆరోగ్యంగా .,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి NULL .
మన .,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
ఆమెకు అవసరం .,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
సమానంగా .,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
"సమానమైన , .","మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
కొత్త ?,ఎలాంటిదా కొత్త ప్రపంచం NULL ?
"- , - , ప్రతి సమానంగా !","సొంత ఇంట్లో - వాడలో , ఊళ్లో - రాష్ట్రంలో , దేశంలో ప్రతిచోట ప్రతి విషయంలోనూ ఆడా మగా సమానంగా ఉండే ప్రపంచం NULL !"
ఈ కొత్త మనం ?,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
ఎలా ?,ఎలా అంటారా ?
,చదువు నేర్చుకోడంతోనే
.,చదువంటే శక్తి చదువుంటే ఆయుధం NULL .
అందుకే .,అందుకే ఆడవాళ్లు చదువుకోవాలి .
.,సొంత కాళ్ల నిలబడ్డం తెలుసుకోవాలి .
మనకు చాలా .,మనకు చాలా ఆలోచనలు ఉంటాయి .
ఏదో .,ఏదో చేయాలని అనుకొంటాం .
అది .,అది అందుబాటులో ఉండదు .
అందరికీ పెరటి .,అందరికీ అందుబాటులోనిది పెరటి తోటల పెంపకం NULL .
ఇది చాలా సులభం .,మనసు ఉంటే ఇది చాలా సులభం NULL .
", .","ఆదాయం , ఆనందం NULL ."
", , , అందరూ , వీటిని మంచి","మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
సులభంగా .,అరటి సులభంగా బతుకుతుంది .
నాలుగు ?,నాలుగు కూరపాదులు వేసుకోలేమా ?
", బాగా .","వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
తొందరగా .,బెండ తొందరగా పెరుగుతుంది .
", , రెండో .","బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
మంచిదే .,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే NULL .
", , , , బాగా .","పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
", .","ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
సులభంగా .,బొప్పాయి సులభంగా పెరిగే చెట్టు NULL .
దీనికి పెద్ద అవసరం .,దీనికి పెద్ద చోటు అవసరం లేదు .
ఇది ఆరు .,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
.,చెట్టు కాయలుంటాయి .
ఒక తప్పకుండా .,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
రుచిగా .,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
పచ్చి .,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
