dropped,sentences
సంగతి మీకు తెలుసా ?,మరో సంగతి మీకు తెలుసా ?
ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
ఎందుకు జరుగుతోంది ?,ఇట్లా ఎందుకు జరుగుతోంది ?
ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కడైనా ఇంతే అనుకోనేరు .,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
దేశాల్లో ఈ పరిస్థితి లేదు .,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
దేశంలోనూ కేరళలో ఇట్లా జరగడం .,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
మరణాలు ఆడవాళ్లకూ NULL మగవాళ్లకూ సమానం NULL .,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
జనాభాలో ఆడవాళ్లూ NULL మగవాళ్లూ సమానం NULL .,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
అంటారు ?,ఎందుకు అంటారు ?
పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
కాదు .,ఆడవాళ్లే కాదు .
అందరూ తినగా చివర తింటుంటారు .,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
వాళ్లు ఆకలితోనే పడుకొంటారు .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
ఎక్కువ NULL .,అలిసిపోవడం ఎక్కువ NULL .
కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
చూద్దాములే అంతేగా .,రేపు చూద్దాములే అంతేగా .
తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
", తెల్లబట్టలాంటివి బయట పెట్టుకోలేక .","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
వెయ్యలేక .,ముందడుగు వెయ్యలేక .
జబ్బులు చూచేందుకు వసతులు లేకపోవడం .,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
"డాక్టర్లూ , నర్సులూ లేకపోవడం .","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
ఎలా పరీక్షించేది ?,ఈమెను ఎలా పరీక్షించేది ?
ఏమీ అనుకొంటారు ?,వాళ్లు ఏమీ అనుకొంటారు ?
ఈ ఆడళ్లతో ఇదే గొడవ NULL .,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
వేగుతారు ?,ఎవడు వేగుతారు ?
వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
