dropped,sentences
సంగతి మీకు ?,మరో సంగతి మీకు తెలుసా ?
ముందూ నా తెల్లబట్ట బాధ ఎలా ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
ఎందుకు ?,ఇట్లా ఎందుకు జరుగుతోంది ?
ఆడపిల్లలు మరీ ఎక్కువగా .,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కడైనా ఇంతే .,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
దేశాల్లో ఈ పరిస్థితి .,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
దేశంలోనూ కేరళలో ఇట్లా .,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
ముందున్న దేశాల్లోనూ ఇట్లా .,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
మరణాలు ఆడవాళ్లకూ NULL మగవాళ్లకూ సమానం .,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
జనాభాలో ఆడవాళ్లూ NULL మగవాళ్లూ సమానం .,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల ?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ఎక్కువగా ?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
?,ఎందుకు అంటారు ?
పుష్టికరమైన తిండి దొరకడం తక్కువ .,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
.,ఆడవాళ్లే కాదు .
అందరూ తినగా చివర .,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
వాళ్లు ఆకలితోనే .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
ఎక్కువ .,అలిసిపోవడం ఎక్కువ NULL .
కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు .,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు .,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు ?,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
చూద్దాములే .,రేపు చూద్దాములే అంతేగా .
తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
", తెల్లబట్టలాంటివి బయట .","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం .,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం .,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
.,ముందడుగు వెయ్యలేక .
జబ్బులు చూచేందుకు వసతులు .,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
"డాక్టర్లూ , నర్సులూ .","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
ఎలా ?,ఈమెను ఎలా పరీక్షించేది ?
ఏమీ ?,వాళ్లు ఏమీ అనుకొంటారు ?
ఈ ఆడళ్లతో ఇదే గొడవ .,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
?,ఎవడు వేగుతారు ?
వ్యాపారం చేసేవాళ్లు తక్కువ ఏం .,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
అమ్మా ఆడపిల్లను .,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
తీయించుకో 500 రూపాయలతో శని .,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
ఆడపిల్లను చంపేసేవాళ్లు .,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
ఈ వార్తలు మనం .,రోజూ ఈ వార్తలు మనం వింటూనే .
మరో ఆడశిశువు హత్య .,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
మంది అధికార్లు అర్థం లేకుండా .,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు .,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
ఆపరేషన్లు .,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
నెలకు 30 కేసులు .,కనీసం నెలకు 30 కేసులు పట్టుకొని .
.,నిజమే NULL .
కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే .,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
జాగ్రత్తలూ అవసరమే .,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
బిడ్డల్ని కనే యంత్రాలా ?,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
ఏమీ జబ్బులు ?,వాళ్లకు ఏమీ జబ్బులు రావా ?
