dropped,sentences
మరో మీకు తెలుసా ?,మరో సంగతి మీకు తెలుసా ?
అందరి ముందూ నా తెల్లబట్ట ఎలా చెప్పుకొనేది ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
ఇట్లా ఎందుకు జరుగుతోంది ?,ఇట్లా ఎందుకు జరుగుతోంది ?
అయిదేళ్లలోపు మరీ ఎక్కువగా చనిపోతున్నారు .,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కడైనా ఇంతే అనుకోనేరు .,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
చాలా దేశాల్లో ఈ లేదు .,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
మన దేశంలోనూ ఇట్లా జరగడం .,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
అక్కడ ఆడవాళ్లకూ NULL మగవాళ్లకూ సమానం NULL .,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
అక్కడ జనాభాలో ఆడవాళ్లూ NULL సమానం NULL .,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
మరి ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఎందుకు అంటారు ?,ఎందుకు అంటారు ?
పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
కాదు .,ఆడవాళ్లే కాదు .
అందరూ తినగా చివర తింటుంటారు .,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
అప్పుడప్పుడూ వాళ్లు పడుకొంటారు .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
అలిసిపోవడం ఎక్కువ NULL .,అలిసిపోవడం ఎక్కువ NULL .
ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు మంచివి కావు NULL .,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
మరో కారణం ఆరోగ్యం వాళ్లు తీసుకోలేరు NULL .,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
ఈ వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
చూద్దాములే అంతేగా .,రేపు చూద్దాములే అంతేగా .
ఇంకా తరతరాలుగా నాటుకుపోయిన NULL .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
", తెల్లబట్టలాంటివి బయట పెట్టుకోలేక .","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
