dropped,sentences
సంగతి,మరో సంగతి మీకు తెలుసా ?
ముందూ తెల్లబట్ట బాధ,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
,ఇట్లా ఎందుకు జరుగుతోంది ?
అయిదేళ్లలోపు ఆడపిల్లలు,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ప్రపంచంలో,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
దేశాల్లో పరిస్థితి,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
దేశంలోనూ కేరళలో,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
అన్నింటా ముందున్న దేశాల్లోనూ,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
ఆడవాళ్లు రోగాల,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఆడవాళ్లు,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
,ఎందుకు అంటారు ?
ఆడవాళ్లకు తిండి,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
ఆడవాళ్లే,ఆడవాళ్లే కాదు .
ఆడపిల్లలు,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
అప్పుడప్పుడూ ఆకలితోనే,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
,అలిసిపోవడం ఎక్కువ NULL .
కారణం ఆడవాళ్లు చోట్లు ఆరోగ్యానికి,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
కారణం ఆరోగ్యం జాగ్రత్తలు,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
పనంతా ఆసుపత్రికి,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
రేపు,రేపు చూద్దాములే అంతేగా .
అభిప్రాయాలు,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
బహిష్టు బయట,"బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
చివరకి శాపం అసహ్యం,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
బాధైనా బయట విషయం,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
ముందడుగు,ముందడుగు వెయ్యలేక .
ఆడవాళ్ల జబ్బులు వసతులు,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
డాక్టర్లూ నర్సులూ,"తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
,ఈమెను ఎలా పరీక్షించేది ?
,వాళ్లు ఏమీ అనుకొంటారు ?
ఆడళ్లతో గొడవ,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
,ఎవడు వేగుతారు ?
వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
అమ్మా ఆడపిల్లను,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
కడుపు రూపాయలతో శని,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
ఆడపిల్లను చంపేసేవాళ్లు,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
రోజూ వార్తలు,రోజూ ఈ వార్తలు మనం వింటూనే .
విజయవాడలో ఆడశిశువు హత్య,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
అధికార్లు అర్థం,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
ఆరోగ్య కార్యకర్తలు జీతాలు,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
ఆడవాళ్లకు ఆపరేషన్లు,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
నెలకు కేసులు,కనీసం నెలకు 30 కేసులు పట్టుకొని .
నిజమే,నిజమే NULL .
ఆడవాళ్లు కడుపుతో వైద్యం,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
జాగ్రత్తలూ,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
బిడ్డల్ని యంత్రాలా,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
జబ్బులు,వాళ్లకు ఏమీ జబ్బులు రావా ?
గర్భవతి ఆపరేషను డాక్టర్లు,"గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
వైద్యం,వైద్యం అవసరమయ్యేది ?
గర్భంతో సాయం,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
,అంతటితో సుఖంగా కనేస్తుందా ?
ఆరోగ్యం ఆహారం,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
తీరిక,తగినంత తీరిక ఉండాలి .
,చదువుండాలి .
గర్భవతి,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
అవసరం మార్గం,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
ఇవన్నీ గర్భవతి పండుగ,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ NULL .
ఆకలీ గొడ్డు చాకిరితో సతమతం గర్భవతి భారంగాక,"అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
అలాంటప్పుడు సాయమూ,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
పచ్చకామెర్లు క్షయ క్షయ మలేరియా రోగాలన్నీ రోగాలే,"పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే NULL ."
కడుపుతో,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .
ఆహారం జాగ్రత్త జబ్బైనా ప్రాణం,"సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
కడుపుతో జాగ్రత్తలు అవసరం,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
ఆహారం,మరీ సరైన ఆహారం NULL .
లేనివాళ్లకు జాగ్రత్తలు,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
,అప్పుడే వాళ్లు సుఖంగా కంటారు .
కడుపుతో ఇల్లాలికీ,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ NULL :
ఆహారం,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
