dropped,sentences
తెలుసా,మరో సంగతి మీకు తెలుసా ?
చెప్పుకొనేది,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
జరుగుతోంది,ఇట్లా ఎందుకు జరుగుతోంది ?
చనిపోతున్నారు,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
అనుకోనేరు,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
లేదు,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
జరగడం,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
జరగడం,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
NULL,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
NULL,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
పాలవుతున్నారు,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
చనిపోతున్నారు,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
అంటారు,ఎందుకు అంటారు ?
దొరకడం NULL,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
కాదు,ఆడవాళ్లే కాదు .
తినగా తింటుంటారు,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
పడుకొంటారు,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
అలిసిపోవడం NULL,అలిసిపోవడం ఎక్కువ NULL .
ఉండే కావు NULL,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
తీసుకోలేరు NULL,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
వదిలేసి వెళ్లేది,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
చూద్దాములే,రేపు చూద్దాములే అంతేగా .
నాటుకుపోయిన NULL,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
పెట్టుకోలేక,"బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
పుట్టడమే అనిపించడం NULL,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
పెట్టుకొనేది తెలియకపోవడం,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
వెయ్యలేక,ముందడుగు వెయ్యలేక .
చూచేందుకు లేకపోవడం,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
లేకపోవడం,"తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
పరీక్షించేది,ఈమెను ఎలా పరీక్షించేది ?
అనుకొంటారు,వాళ్లు ఏమీ అనుకొంటారు ?
NULL,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
వేగుతారు,ఎవడు వేగుతారు ?
కాదు,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
కంటావు,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
తీయించుకో వదిలిపోతుంది,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
పుట్టగానే ఉన్నారు,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
వింటూనే,రోజూ ఈ వార్తలు మనం వింటూనే .
NULL,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
లేకుండా ఆలోచిస్తారు,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
తింటున్నారు,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
చేయించాలి,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
పట్టుకొని,కనీసం నెలకు 30 కేసులు పట్టుకొని .
NULL,నిజమే NULL .
ఉన్నప్పుడు కనేటప్పుడూ NULL,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
NULL,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
కనే NULL,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
రావా,వాళ్లకు ఏమీ జబ్బులు రావా ?
