,person,sentences
0,,మరో సంగతి మీకు తెలుసా ?
1,,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
2,3,ఇట్లా ఎందుకు జరుగుతోంది ?
3,3,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
4,any,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
5,3,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
6,any,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
7,any,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
8,,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
9,,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
10,,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
11,3,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
12,3,ఎందుకు అంటారు ?
13,,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
14,3,ఆడవాళ్లే కాదు .
15,3,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
16,3,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
17,,అలిసిపోవడం ఎక్కువ NULL .
18,,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
19,,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
20,,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
21,2,రేపు చూద్దాములే అంతేగా .
22,,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
23,any,"బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
24,,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
25,any,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
26,any,ముందడుగు వెయ్యలేక .
27,any,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
28,any,"తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
29,,ఈమెను ఎలా పరీక్షించేది ?
30,3,వాళ్లు ఏమీ అనుకొంటారు ?
31,,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
32,3,ఎవడు వేగుతారు ?
33,3,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
34,2,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
35,3,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
36,3,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
37,any,రోజూ ఈ వార్తలు మనం వింటూనే .
38,,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
39,3,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
40,3,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
41,any,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
42,any,కనీసం నెలకు 30 కేసులు పట్టుకొని .
43,,నిజమే NULL .
44,,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
45,,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
46,,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
47,3,వాళ్లకు ఏమీ జబ్బులు రావా ?
48,,"గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
49,,వైద్యం అవసరమయ్యేది ?
50,any,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
51,,అంతటితో సుఖంగా కనేస్తుందా ?
52,any,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
53,any,తగినంత తీరిక ఉండాలి .
54,any,చదువుండాలి .
55,any,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
56,any,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
57,,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ NULL .
58,3,"అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
59,,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
60,,"పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే NULL ."
61,,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .
62,3,"సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
63,,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
64,,మరీ సరైన ఆహారం NULL .
65,,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
66,,అప్పుడే వాళ్లు సుఖంగా కంటారు .
67,,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ NULL :
68,3,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
69,,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .
70,2,ఆమె చదువుకోలేదు అనుకోండి .
71,,కాన్పు తగిన సంరక్షణ లేదనుకోండి .
72,,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి NULL .
73,3,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
74,,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
75,any,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
76,any,"మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
77,,ఎలాంటిదా కొత్త ప్రపంచం NULL ?
78,,"సొంత ఇంట్లో - వాడలో , ఊళ్లో - రాష్ట్రంలో , దేశంలో ప్రతిచోట ప్రతి విషయంలోనూ ఆడా మగా సమానంగా ఉండే ప్రపంచం NULL !"
79,,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
80,3,ఎలా అంటారా ?
81,,చదువు నేర్చుకోడంతోనే
82,,చదువంటే శక్తి చదువుంటే ఆయుధం NULL .
83,,అందుకే ఆడవాళ్లు చదువుకోవాలి .
84,any,సొంత కాళ్ల నిలబడ్డం తెలుసుకోవాలి .
85,3,మనకు చాలా ఆలోచనలు ఉంటాయి .
86,,ఏదో చేయాలని అనుకొంటాం .
87,3,అది అందుబాటులో ఉండదు .
88,,అందరికీ అందుబాటులోనిది పెరటి తోటల పెంపకం NULL .
89,,మనసు ఉంటే ఇది చాలా సులభం NULL .
90,,"ఆదాయం , ఆనందం NULL ."
91,any,"మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
92,3,అరటి సులభంగా బతుకుతుంది .
93,1,నాలుగు కూరపాదులు వేసుకోలేమా ?
94,3,"వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
95,3,బెండ తొందరగా పెరుగుతుంది .
96,3,"బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
97,,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే NULL .
98,3,"పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
99,3,"ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
