dropped,sentences
తెలుసా ? సంగతి మీకు మరో,మరో సంగతి మీకు తెలుసా ?
ముందూ బాధ చెప్పుకొనేది నా అందరి ఎలా తెల్లబట్ట ?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
? ఇట్లా ఎందుకు జరుగుతోంది,ఇట్లా ఎందుకు జరుగుతోంది ?
అయిదేళ్లలోపు మరీ . ఎక్కువగా ఆడపిల్లలు చనిపోతున్నారు,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ప్రపంచంలో ఇంతే . అనుకోనేరు ఎక్కడైనా,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
దేశాల్లో ఈ . లేదు చాలా పరిస్థితి,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
ఇట్లా కేరళలో మన దేశంలోనూ . జరగడం,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
జరగడం దేశాల్లోనూ అన్నింటా . ఇట్లా ముందున్న,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
ఆడవాళ్లకూ మరణాలు అక్కడ NULL NULL . మగవాళ్లకూ సమానం,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
అక్కడ జనాభాలో సమానం NULL NULL . మగవాళ్లూ ఆడవాళ్లూ,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
మాటిమాటికీ ఆడవాళ్లు పాలవుతున్నారు రోగాల ? ఎందుకు మరి,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఎందుకు ? ఎక్కువగా చనిపోతున్నారు ఆడవాళ్లు,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
? అంటారు ఎందుకు,ఎందుకు అంటారు ?
NULL . తక్కువ తిండి దొరకడం ఆడవాళ్లకు పుష్టికరమైన,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
. ఆడవాళ్లే కాదు,ఆడవాళ్లే కాదు .
. చివర అందరూ తినగా ఆడపిల్లలు తింటుంటారు,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
పడుకొంటారు వాళ్లు అప్పుడప్పుడూ ఆకలితోనే .,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
అలిసిపోవడం . ఎక్కువ NULL,అలిసిపోవడం ఎక్కువ NULL .
కారణం కావు ఇంకో మంచివి ఉండే ఆరోగ్యానికి . NULL ఆడవాళ్లు చోట్లు,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
తీసుకోలేరు NULL మరో జాగ్రత్తలు . వాళ్లు ఆరోగ్యం కారణం,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
ఎపుడు వదిలేసి వెళ్లేది ఈ ? ఆసుపత్రికి పనంతా,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
అంతేగా . చూద్దాములే రేపు,రేపు చూద్దాములే అంతేగా .
ఇంకా అభిప్రాయాలు నాటుకుపోయిన NULL తరతరాలుగా .,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
"తెల్లబట్టలాంటివి బయట . , పెట్టుకోలేక బహిష్టు","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
. . అసహ్యం చివరకి శాపం ఆడదిగా పుట్టడమే ఎంత అనిపించడం NULL,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
ఎంత దీని తెలియకపోవడం సరిగా బాధైనా విషయం బయట పెట్టుకొనేది ఎలా .,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
. వెయ్యలేక ముందడుగు,ముందడుగు వెయ్యలేక .
చూచేందుకు లేకపోవడం వసతులు . జబ్బులు ఆడవాళ్ల,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
"లేకపోవడం డాక్టర్లూ తగిన . , నర్సులూ","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
? పరీక్షించేది ఎలా ఈమెను,ఈమెను ఎలా పరీక్షించేది ?
? వాళ్లు ఏమీ అనుకొంటారు,వాళ్లు ఏమీ అనుకొంటారు ?
