 depth,sentences
2,మరో సంగతి మీకు తెలుసా ?
3,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
2,ఇట్లా ఎందుకు జరుగుతోంది ?
3,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
2,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
2,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
3,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం .
4,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం .
3,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
3,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
3,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
2,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
2,ఎందుకు అంటారు ?
3,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
2,ఆడవాళ్లే కాదు .
4,ఆడపిల్లలు అందరూ తినగా చివర తింటుంటారు .
2,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
2,అలిసిపోవడం ఎక్కువ NULL .
5,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు NULL .
3,మరో కారణం ఆరోగ్యం వాళ్లు జాగ్రత్తలు తీసుకోలేరు NULL .
3,ఈ పనంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
2,రేపు చూద్దాములే అంతేగా .
5,ఇంకా తరతరాలుగా నాటుకుపోయిన అభిప్రాయాలు NULL .
3,"బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
4,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం NULL .
4,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
2,ముందడుగు వెయ్యలేక .
4,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం .
3,"తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
2,ఈమెను ఎలా పరీక్షించేది ?
2,వాళ్లు ఏమీ అనుకొంటారు ?
2,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
2,ఎవడు వేగుతారు ?
3,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
2,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
3,కడుపు తీయించుకో 500 రూపాయలతో శని వదిలిపోతుంది .
2,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
2,రోజూ ఈ వార్తలు మనం వింటూనే .
