bshift,sentences
1,مہاتما منشی رام جو آگے چل کر سوامی شردّھانند کے روپ میں مشہور ہوئے انھیں بیٹے کے اندر ودّیا واچسپتی ہندی صحافت کے ایک تابندہ ستارہ تھے ۔
0,سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔
0,اعلیٰ زمرے کے سنجیدہ مفکر کے روپ میں اپنی تخلیق کے ذریعہ آریہ مذہب اور قومی مذہب کی تشہیر کی ۔
0,ہندی صحافت کے جنم کے ساتھ ہی ادبی صحافت کا فروغ ہونے لگا ۔
0,ابتدا میں رسائل کی زبان سست تھی اور اس میں مقامیت بھی رہتی تھی ۔
0,املا میں یکسانیت نہیں تھی ۔
1,سے قواعد متعلق بھولیں بھی ہوتی تھی ۔
0,ہندی اخبار و رسائل کے ابتدائی مدیروں ، بالمکند گپت ، مہاویرپرساد دیویدی ، درگاپرساد مشر ، مدن_موہن مالویہ ، بابوراووشنو پراڑکر ، امبیکاپرساد واجپیئی اور لکشمینارائن گردے نے ان کمیوں کو دور کرنے اور ہندی نثر کو فروغ دینے میں قابل ذکر کارنامہ انجام دیا ۔
1,جی دیویدی نے ادبی صحافت کے لئے کچھ اصول بنائے ۔
1,وہ اس وقت پابندی کی یا صحافت کے مستقل وقت پر اشاعت کو زیادہ اہمیت دیتے تھے ۔
0,وہ صحافت کے ناظموں کو اعتماد میں لینا ، آزادی اور شفافیت سے خیالات ظاہر کرنا ، مصنفین کو کچھ اجرت دینا ، قارئین کو نئی جانکاری اور نئی تخلیقات فراہم کرنا بھی لازمی سمجھتے تھے ۔
0,"بابوراو وشنو پراڑکر کے مطابق ` سروستی ` کا ہرایک شمارہ اپنے آپ میں تکمیلیت لئے ہوئے ہوتا تھا , اس کا ہرایک شمارہ مدیر کی شخصیت کا اعلان کرتا تھا ۔"
0,۲۰ کی دہائی کے تیسرے سال کلکتہ سے طنز و مزاح سے بھرپور ` متوالا ` کی اشاعت ہوئی ۔
0,اس میں تبھی موجودہ ہندی مصنفین کی تخلیقات ان کی زندگی کا تعارف اور تنقید چھپتی تھی ۔
0,ہندی کے عظیم شاعر سُرجکانت ترپاٹھی نرالا ` متوالا ` کی اشاعت سے شدید طور سے جڑے تھے ۔
1,رامانند جی چٹرجی کی ترغیب پاکر ۱۹۸۲ میں ریویو ماڈرن پرواسی پرکاشن سموہ نے ` وشال بھارت ` کی اشاعت شروع کی ۔
0,بنارسیداس چترویدی اس کے مدیر تھے ۔
1,اس نے رسالے اپنے علمی مضامین ، بھرپور تبصروں ، عمدہ تصاویر کے سبب اپنے لئے جلد ہی ہندی رسالوں میں خصوصی مقام بنا لیا ۔
0,ہزاری_پرساد دیویدی کی ادارت میں شانتی نکیتن سے ۱۹۴۲ میں سہہ_ماہی ` وشوبھارتی ` کی اشاعت بھی ہندی ہفتہ_وار کی اشاعت میں میل کا پتھر تھی ۔
0,` وشوبھارتی ` میں متعدد دانشوروں کے تحقیقی اور مفکرانہ مضامین شائع ہوئے ۔
0,مہاتماگاندھی نے ` وشوبھارت ` کی اشاعت کو حوصلہ_مند کوشش کہا تھا ۔
0,ہفتہ_وار `` دھرم یُگ `` اور `` ہندستان `` کی اشاعت نے ہندی صحافت کی بڑی کمی کو پورا کیا تھا ۔
0,` دھرم یگ ` کے پہلے مدیر جوشی برادران ڈاکٹر ہیمچند جوشی اور الاچند جوشی تھے ۔
0,انھوں نے بڑی مہارت سے اس کی شروعات کی ۔
1,بعد دھرم میں ویر بھارتی نے اپنی ادارت سے اس میں چار چاند لگائے ۔
1,` دھرم یگ ` ، ` ساگریکا ` ، ` پراگ ` اور پھر `` سنڈے میل `` میں کنھیّا لال نندن جیسے ادیب اور نے مدیر سماجی ، ثقافتی سروکاروں کا تحفظ کرنے میں اہم تعاون دیا ۔
