dropped,sentences
جو چل کر کے میں مشہور ہوئے انھیں کے کے ایک تابندہ تھے ۔,مہاتما منشی رام جو آگے چل کر سوامی شردّھانند کے روپ میں مشہور ہوئے انھیں کے بیٹے اندر ودّیا واچسپتی ہندی صحافت کے ایک تابندہ ستارہ تھے ۔
( ) ، ( ) ، ( ) اور ( ) وغیرہ کی بہترین کے ذریعہ انھوں نے شمالی میں عوامی کا اہم دیا ۔,سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔
اعلیٰ کے سنجیدہ کے میں اپنی کے ذریعہ اور قومی کی کی ۔,اعلیٰ زمرے کے سنجیدہ مفکر کے روپ میں اپنی تخلیق کے ذریعہ آریہ مذہب اور قومی مذہب کی تشہیر کی ۔
کے کے ہی ادبی کا ہونے لگا ۔,ہندی صحافت کے جنم کے ساتھ ہی ادبی صحافت کا فروغ ہونے لگا ۔
میں کی سست تھی اور اس میں بھی رہتی تھی ۔,ابتدا میں رسائل کی زبان سست تھی اور اس میں مقامیت بھی رہتی تھی ۔
میں نہیں تھی ۔,املا میں یکسانیت نہیں تھی ۔
سے متعلق بھی ہوتی تھی ۔,قواعد سے متعلق بھولیں بھی ہوتی تھی ۔
و کے ابتدائی ، ، ، ، ، ، اور نے ان کو کرنے اور کو دینے میں قابل دیا ۔,ہندی اخبار و رسائل کے ابتدائی مدیروں ، بالمکند گپت ، مہاویرپرساد دیویدی ، درگاپرساد مشر ، مدن_موہن مالویہ ، بابوراووشنو پراڑکر ، امبیکاپرساد واجپیئی اور لکشمینارائن گردے نے ان کمیوں کو دور کرنے اور ہندی نثر کو فروغ دینے میں قابل ذکر کارنامہ انجام دیا ۔
جی نے ادبی کے لئے کچھ بنائے ۔,دیویدی جی نے ادبی صحافت کے لئے کچھ اصول بنائے ۔
وہ اس کی یا کے مستقل پر کو زیادہ دیتے تھے ۔,وہ اس وقت کی پابندی یا صحافت کے مستقل وقت پر اشاعت کو زیادہ اہمیت دیتے تھے ۔
وہ کے کو میں لینا ، اور سے ظاہر کرنا ، کو کچھ دینا ، NULL کو نئی اور نئی فراہم کرنا بھی لازمی سمجھتے تھے ۔,وہ صحافت کے ناظموں کو اعتماد میں لینا ، آزادی اور شفافیت سے خیالات ظاہر کرنا ، مصنفین کو کچھ اجرت دینا ، قارئین کو نئی جانکاری اور نئی تخلیقات فراہم کرنا بھی لازمی سمجھتے تھے ۔
