,gender,sentences
0,any,میرا ٹاپک ہے پوجا ۔
1,m,ہم ہر ایک صبح واہے گرو کی پوجا کرتے ہیں ۔
2,m,پاپا کہتے ہیں کہ پوجا کرنے سے واہے گرو خوش ہو جائینگے اور ہماری حفاظت کرینگے ۔
3,f,ممی کہتی ہیں کہ پوجا کرنے سے دادی خوش ہو جائینگی اور ہمیں بڑا مکان چھوڑ جائینگی ۔
4,,پوجابھٹ میری پسندیدہ اداکارہ ہے اور میری بیسٹ فرینڈ کا نام بھی پوجا ہے ۔
5,any,ماں وہ ہے جو ہم کو اتنا پیار کرتی ہے کہ کبھی کبھی ہم خود اس پیار کو سمجھ نہیں پاتے ۔
6,any,ماں وہ ہے جو ہم کو احساس دلاتی ہے کہ ہم کتنے اچھے ہیں ، ہم سے اچھا اور کوئی ہے ہی نہیں ۔
7,any,ماں وہ ہے جس کی خوشی ہماری ہنسی سے ہے ، جس کا دکھ ہمارے دکھ سے ہے ۔
8,any,ماں وہ ہے جس کے بنا ہم جی نہیں سکتے ۔
9,,ماں سب کچھ ہے ، بس ہمارے پاس نہیں ۔
10,,لیکن ہمارے پاس پاپا ہیں اور وہ بھی کافی اچھے ہیں ۔
11,any,پتا ہے راہول ! وہ اپنے شرما جی ہیں نا شرما جی ، ان کا فون آیا تھا ۔
12,m,وہ ، اپنے دہلی کے پڑوسی ، انھوں نے رشتہ بھیجا ہے ۔
13,any,ویسے وہ کہہ رہے تھے کہ لڑکی خوبصورت ہے ، سلیقہ_مند ہے ۔
14,any,میں نے تو صاف انکار کر دیا ۔
15,f,میں ویسے بھی کون سا کام غلط کرتی ہوں ؟
16,,اب لڑکی سلیقہ_مند ہے تو کیا ہوا ، خوبصورت ہے تو کیا ہوا ؟
17,,ہر لڑکی آجکل سلیقےمند ہی ہوتی ہے ، خوبصورت ہی ہوتی ہے ۔
18,any,تم دوسری شادی نہیں کرو گے ؟
19,,ماں ! ہم ایک بار جیتے ہیں ، ایک بار مرتے ہیں ، شادی بھی ایک ہی بار ہوتی ہے اور پیار بھی ایک ہی بار ہوتا ہے ، باربار نہیں ہوتا ۔
20,,تم تو اپنے آپ کو سنبھال لو گے بیٹے ، لیکن انجلی ؟
21,m,تمھیں نہیں لگتا اسے ایک ماں کی ضرورت ہے ؟
22,any,وہ ٹھیک ہے ، کیونکہ اس کے پاس وہ ہے جو میرے پاس بھی نہیں ، اس کی ماں کی چٹھیاں NULL ۔
23,,میری پیاری انجلی ، ہیپی برتھڈے ۔
24,,آج تم آٹھ سال کی ہو گئی ہو ، اور مجھے یقین ہے کہ تم بالکل اپنے پاپا جیسی ہو ۔
25,any,وہی آنکھیں ، وہی چہرہ ، ہے نا انجلی ؟
26,any,نہیں ، میں آپ کے جیسی ہوں ۔
27,m,کیا تمھارے پاپا ابھی بھی رات کو جوتے پہن کر سوتے ہیں ؟
28,f,ان کی یہ عادت کب جائیگی ؟
29,m,آج میں تمھیں ایک کہانی سنانے جا رہی ہوں ۔
30,,اس کہانی میں میں ہوں ، تمھارے پاپا ہیں اور انجلی NULL ۔
31,m,صبح صبح مجھ سے اٹھا نہیں جاتا ہے ۔
32,,اٹھا نہیں جاتا یا تم ڈر گئے تھے ؟
33,m,ہے ! راہول کھنّہ کسی سے نہیں ڈرتا ہے ۔
34,,لیکن انجلی شرما سے روز باسکیٹ_بال میں ضرور ہارتا ہے ۔
35,any,لڑکیوں کی طرح مت چلّاؤ ۔
36,any,اے ! مجھے لڑکی مت بلاؤ ۔
37,any,تم تو لڑکی ہو ہی نہیں ۔
38,any,ایٹلیسٹ ، میں ان اسٹوپڈ لڑکیوں کی طرح نہیں ہوں ، جن کے پیچھے تم بھاگتے رہتے ہو ۔
39,,میں لڑکیوں کے پیچھے نہیں بھاگتا ، لڑکیاں میرے پیچھے بھاگتی ہیں ۔
40,any,یار کب دلدار بن جائے پتہ نہیں چلتا ۔
41,any,تم کچھ کہہ رہے تھے ملہوترہ ؟
42,any,میں تو ایسے ہی کہہ رہا تھا کہ کالج میں شاٹ اسکرٹ پہننا منع ہے ۔
43,,لیکن یہ تو آجکل کا فیشن ہے ، ملہوترہ ۔
44,,لیکن ملہوترہ ، تم بہت بورنگ کپڑے پہنتے ہو ۔
45,any,جب تک تو مسز ملہوترہ زندہ تھیں ، تب تک تو میں ان کے لئے کبھی ۔ کبھی فینسی کپڑے پہن لیتا تھا ۔
46,,کیا بات ہے سر ، آج آپ بہت خوش نظر آ رہے ہو ؟
47,any,آج میری بیٹی واپس آ رہی ہے نا ، اسلئے ۔
48,any,ٹینا لندن سے واپس آ رہی ہے آج ۔
49,f,ہاں ، وہ وہاں آکسفورڈ یونیورسٹی میں پڑھتی تھی ۔
50,,الکٹرانک میڈیا کا اثر زیادہ گہرا ہوتا ہے ۔
51,,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
52,,ٹی_وی پر آف دی ریکارڈ باتیں نہیں پیش ہو سکتیں ۔
53,,پہلے سیاستداں بڑی آسانی سے اپنی بات کی تردید خود کرتے تھے ، لیکن اب یہ ممکن نہیں ہے ۔
54,,فرانس کے ایک مشہور فلسفی کی موجودگی میں جنت اور جہنم کو لے کر گرماگرم بحث چلتی رہی ۔
55,,فلسفی صاحب غیرجانبداری سے دونوں فریقوں کی باتیں سنتے رہے ۔
56,,آخر میں کسی نے ان سے پوچھا کہ اس موضوع پر آپ کی رائے کیا ہے ؟
57,,فلسفی صاحب نے بڑی عاجزی سے جواب دیا کہ آپ مجھے معاف کریں ، کیونکہ دونوں ہی مقامات پر میرے دوست ہیں ۔
58,,مطلب یہ ہے کہ ایسے مقامات پر سمجھدار آدمی کسی کی حمایت نہیں کرتا ۔
59,,میڈیا میں بھی یہی رویہ دیکھنے کو ملتا ہے ۔
60,,ڈاکٹر ، وکیل یا کالج کے اساتذہ کے لئے ایسے پیشہ_ور ادارے ہیں جو ان کی قابلیت اور معیار طے کرتے ہیں لیکن پریس کے لئے ایسا کوئی پیمانہ طے نہیں کیا گیا ہے ۔
61,,گزشتہ ۵۰ برس کے دوران اخباری میڈیم کی رفتار ضرور تیز ہوئی ہے ۔
62,,ٹائپرائٹر کے کی_بورڈ سے انٹرنیٹ یا ٹیلیکس کے بعد سیٹیلائٹ فون اور لیپٹاپ کا زمانہ آ گیا لیکن تجربہ یہی بتاتا ہے کہ عالم_کاری کے اس دور میں دنیا کے لوگ ایک دوسرے سے دور ہوتے جا رہے ہیں ۔
63,,اسی طرح مغربی ٹیلی_ویژن چینلوں میں جرائم خبروں کو زیادہ اولیت ملتی ہے اور بین_الاقوامی خبریں دُم - چھلے کی طرح پیش کی جاتی ہیں ۔
64,,سماجی اور معاشی معاملات کے مقابلے سیکس سانحہ کی گونج خبروں میں زیادہ سنائی دیتی ہے ۔
65,,مغربی ممالک کی طرح ہندوستان میں بھی آدھی گپ اور آدھی افواہ پر چکنی _ چپڑی زبان کا استعمال کر تبصرہ کر دیا جاتا ہے ۔
66,,تعصب والی رپورٹنگ دیکھنے کو ملتی ہے ۔
67,,معصوم لوگ کٹہرے میں کھڑے ہوتے ہیں اور کئی بار مجرم کی واہ - واہی ہوتی ہے ۔
68,,خبری ذرائع میں نظریے کی اہمیت دن _ بہ _ دن گھٹتی دکھائی دے رہی ہے ۔
69,,شخصیتوں کا اثر زیادہ دکھائی دیتا ہے ۔
70,,سنسنی_خیز کہانی دے سکنے والے لوگوں کے اردگرد صحافی زیادہ یکجا رہتے ہیں ۔
71,,اصولوں ، آدرشوں اور اقدار کا ذکر کرنا بےمعنی سا لگتا ہے ۔
72,,ٹیلی_ویژن اور کمپیوٹر انقلاب نے نئی نسل کو تفکرات سے دور کیا ہے ۔
73,,اخباری ذرائع میں آئی تنزلی نے دنیا کے مختلف ممالک میں مسائل کو بڑھایا بھی ہے ۔
74,,سیاستدانوں میں سچائی کا سامنا کرنے کی ہمت نہیں رہ گئی ہے ۔
75,,جمہوری ڈھنگ سے نااتّفاقی اور تنقید کو سننے اور سہنے والے سیاستداں کی کمی ہوتی جا رہی ہے ۔
76,,بدعنوانی فقط انتظامیہ اور سیاست میں ہی نہیں ہے ، بلکہ سیاستدانوں اور کارپوریٹ کمپنیوں نے صحافیوں کے ایک طبقے کو اپنے جال میں پھنسایا ہے ۔
77,,اخباروں میں ایک سب سے بڑی گڑبڑ یہ ہوئی ہے کہ فوری بحران پر زیادہ دھیان دیا جانے لگا ہے ۔
78,,کچھ وقت پہلے جب ہندوستان اور پاکستان کے درمیان جنگ ہونے کے حالات بن گئے تھے اور ایٹمی ہتھیاروں کے استعمال کی بات آئی تو ان ہتھیاروں سے ہونے والی تباہی کا ذکر تفصیل سے چھپنے لگا ۔
79,,لیکن جیسے ہی معاملہ نرم پڑا ، اس موضوع کا تذکرہ بند ہو گیا ۔
80,,دہشتگرد تنظیموں کو دنیا میں جہاں کہیں بھی حمایت دی گئی اس کے نتائج دینے والے کے لئے بھی مہلک ثابت ہوئے ۔
81,,خبروں کے وسیلوں کی ذمہ_داری یہ ہے کہ وہ دوررس مفاد کو دھیان میں رکھ کر مسلسل خبریں اور مضامین دیتے رہیں ۔
82,,حال ہی کے برسوں میں صحافت کے لئے ایک بڑا خطرہ تجارتی مفاد کے سبب پیدا ہوا ہے ۔
83,,ہندوستان کے اخباروں سے پہلے امریکی اخباروں میں یہ رویہ دیکھنے کو ملا ۔
84,,امریکی اخباروں میں اخبار کے لئے مدیر کے بجائے اعلیٰ منتظم رکھے جانے لگے ۔
85,,مینجمنٹ اور ادارتی محکمہ کے درمیان رہنے والی خط فاصل عبور کی جانے لگیں ۔
86,,اخبار کو تاریخ کا خام دستاویز کہا جاتا رہا ہے ۔
87,,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
88,,اس کا تجربہ کرنا ہوتا ہے اور حادثات کو تاریخ کے روپ میں پیش کرنا ہوتا ہے ۔
89,,پھر بھی صحافی ہونے کے باعث اس دستاویز کو تیار کرنا تاریخ_نویس سے کم اہم نہیں ہے ۔
90,,مجرمانہ واقعات پر عدالتی سماعت کے وقت یا اس سے پہلے ہی صحافی اپنے نتائج سنانے لگتے ہیں ۔
91,,قتل کے جرم پر ہو رہی سماعت میں روزانہ نہ تو کوئی جیت سکتا ہے اور نہ ہی کوئی ہار سکتا ہے ۔
92,,بہیمانہ قتل کے معاملے تفریح کی شکل نہیں لے سکتے ہیں ۔
93,,شہزادی ڈائنا کی موت کو بھی مغربی میڈیا نے ایک تفریحی بکاو حادثہ کی طرح استعمال کیا ۔
94,,ہندوستان میں گزشتہ دنوں شیوانی بھٹناگر قتل معاملے سے متعلق ہر دن پولس افسر روی کانت شرما کی اہلیہ سدھا شرما کے بیانوں کو ٹیلی_ویژن پر سنسی_خیز طریقے سے پیش کیا جاتا رہا ۔
95,,سابق صدرجمہوریہ کرشن کانت کی آخری رسومات کے فوراً بعد نگم بودھ گھاٹ سے نکلنے پر سابق وزیراعظم چندرشیکھر سے اسی طرح کے سوال ٹیلی_ویژن نامہ_نگار پوچھتے دکھائی دئے ۔
96,,آنجہانی کرشن کانت کے گہرے دوست سے اس طرح کا سوال انھیں مغموم کرنے کے ساتھ بےعزت کرنے جیسا ہی تھا ۔
97,,میڈیا کی ایک بڑی دقت یہ ہوئی ہے کہ امریکہ کی ہی طرح ہندوستان میں بھی اعلیٰ طبقہ کے نوجوان اخباری وسایءل سے جڑے ہیں ۔
98,,انھیں عمومی زندگی اور شائستگی سے کوئی واسطہ ہی نہیں پڑا ۔
99,,واشنگٹن ٹائمز کے مدیر اعلیٰ ویسلے پروڈین یا ٹائمز آف انڈیا کے سابق مدیر گری لال جین عام خاندان سے نکل کر صحافت میں پہنچے تھے ۔
100,m,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
