dropped,sentences
چل کر ہوئے تھے,مہاتما منشی رام جو آگے چل کر سوامی شردّھانند کے روپ میں مشہور ہوئے انھیں کے بیٹے اندر ودّیا واچسپتی ہندی صحافت کے ایک تابندہ ستارہ تھے ۔
دیا,سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔
کی,اعلیٰ زمرے کے سنجیدہ مفکر کے روپ میں اپنی تخلیق کے ذریعہ آریہ مذہب اور قومی مذہب کی تشہیر کی ۔
ہونے لگا,ہندی صحافت کے جنم کے ساتھ ہی ادبی صحافت کا فروغ ہونے لگا ۔
تھی رہتی تھی,ابتدا میں رسائل کی زبان سست تھی اور اس میں مقامیت بھی رہتی تھی ۔
تھی,املا میں یکسانیت نہیں تھی ۔
ہوتی تھی,قواعد سے متعلق بھولیں بھی ہوتی تھی ۔
کرنے دینے دیا,ہندی اخبار و رسائل کے ابتدائی مدیروں ، بالمکند گپت ، مہاویرپرساد دیویدی ، درگاپرساد مشر ، مدن_موہن مالویہ ، بابوراووشنو پراڑکر ، امبیکاپرساد واجپیئی اور لکشمینارائن گردے نے ان کمیوں کو دور کرنے اور ہندی نثر کو فروغ دینے میں قابل ذکر کارنامہ انجام دیا ۔
بنائے,دیویدی جی نے ادبی صحافت کے لئے کچھ اصول بنائے ۔
دیتے تھے,وہ اس وقت کی پابندی یا صحافت کے مستقل وقت پر اشاعت کو زیادہ اہمیت دیتے تھے ۔
لینا کرنا دینا کرنا سمجھتے تھے,وہ صحافت کے ناظموں کو اعتماد میں لینا ، آزادی اور شفافیت سے خیالات ظاہر کرنا ، مصنفین کو کچھ اجرت دینا ، قارئین کو نئی جانکاری اور نئی تخلیقات فراہم کرنا بھی لازمی سمجھتے تھے ۔
لئے ہوئے ہوتا تھا کرتا تھا,"بابوراو وشنو پراڑکر کے مطابق ` سروستی ` کا ہرایک شمارہ اپنے آپ میں تکمیلیت لئے ہوئے ہوتا تھا , اس کا ہرایک شمارہ مدیر کی شخصیت کا اعلان کرتا تھا ۔"
ہوئی,۲۰ کی دہائی کے تیسرے سال کلکتہ سے طنز و مزاح سے بھرپور ` متوالا ` کی اشاعت ہوئی ۔
چھپتی تھی,اس میں تبھی موجودہ ہندی مصنفین کی تخلیقات ان کی زندگی کا تعارف اور تنقید چھپتی تھی ۔
جڑے تھے,ہندی کے عظیم شاعر سُرجکانت ترپاٹھی نرالا ` متوالا ` کی اشاعت سے شدید طور سے جڑے تھے ۔
پاکر کی,رامانند جی چٹرجی کی ترغیب پاکر ۱۹۸۲ میں ماڈرن ریویو پرواسی پرکاشن سموہ نے ` وشال بھارت ` کی اشاعت شروع کی ۔
تھے,بنارسیداس چترویدی اس کے مدیر تھے ۔
بنا لیا,اس رسالے نے اپنے علمی مضامین ، بھرپور تبصروں ، عمدہ تصاویر کے سبب اپنے لئے جلد ہی ہندی رسالوں میں خصوصی مقام بنا لیا ۔
