dropped,sentences
مہاتما منشی رام آگے چل کر سوامی شردّھانند روپ ہوئے بیٹے اندر ودّیا واچسپتی ہندی صحافت ستارہ تھے,مہاتما منشی رام جو آگے چل کر سوامی شردّھانند کے روپ میں مشہور ہوئے انھیں کے بیٹے اندر ودّیا واچسپتی ہندی صحافت کے ایک تابندہ ستارہ تھے ۔
سددھرم پرچارک 1911 وجے 1918 ستیہوادی ہفتہ_وار 1923 جن ستّا 1952 ادارت ہندستان بیداری کارنامہ انجام دیا,سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔
زمرے مفکر روپ تخلیق آریہ مذہب مذہب تشہیر کی,اعلیٰ زمرے کے سنجیدہ مفکر کے روپ میں اپنی تخلیق کے ذریعہ آریہ مذہب اور قومی مذہب کی تشہیر کی ۔
ہندی صحافت جنم ساتھ صحافت فروغ ہونے لگا,ہندی صحافت کے جنم کے ساتھ ہی ادبی صحافت کا فروغ ہونے لگا ۔
ابتدا رسائل زبان تھی مقامیت رہتی تھی,ابتدا میں رسائل کی زبان سست تھی اور اس میں مقامیت بھی رہتی تھی ۔
املا یکسانیت تھی,املا میں یکسانیت نہیں تھی ۔
قواعد بھولیں ہوتی تھی,قواعد سے متعلق بھولیں بھی ہوتی تھی ۔
ہندی اخبار رسائل مدیروں بالمکند گپت مہاویرپرساد دیویدی درگاپرساد مشر مدن_موہن مالویہ بابوراووشنو پراڑکر امبیکاپرساد واجپیئی لکشمینارائن گردے کمیوں دور کرنے ہندی نثر فروغ دینے ذکر کارنامہ انجام دیا,ہندی اخبار و رسائل کے ابتدائی مدیروں ، بالمکند گپت ، مہاویرپرساد دیویدی ، درگاپرساد مشر ، مدن_موہن مالویہ ، بابوراووشنو پراڑکر ، امبیکاپرساد واجپیئی اور لکشمینارائن گردے نے ان کمیوں کو دور کرنے اور ہندی نثر کو فروغ دینے میں قابل ذکر کارنامہ انجام دیا ۔
دیویدی صحافت اصول بنائے,دیویدی جی نے ادبی صحافت کے لئے کچھ اصول بنائے ۔
وقت پابندی صحافت وقت اشاعت اہمیت دیتے تھے,وہ اس وقت کی پابندی یا صحافت کے مستقل وقت پر اشاعت کو زیادہ اہمیت دیتے تھے ۔
صحافت ناظموں اعتماد لینا آزادی شفافیت خیالات کرنا مصنفین اجرت دینا قارئین جانکاری تخلیقات کرنا سمجھتے تھے,وہ صحافت کے ناظموں کو اعتماد میں لینا ، آزادی اور شفافیت سے خیالات ظاہر کرنا ، مصنفین کو کچھ اجرت دینا ، قارئین کو نئی جانکاری اور نئی تخلیقات فراہم کرنا بھی لازمی سمجھتے تھے ۔
بابوراو وشنو پراڑکر سروستی شمارہ تکمیلیت لئے ہوئے ہوتا تھا شمارہ مدیر شخصیت اعلان کرتا تھا,"بابوراو وشنو پراڑکر کے مطابق ` سروستی ` کا ہرایک شمارہ اپنے آپ میں تکمیلیت لئے ہوئے ہوتا تھا , اس کا ہرایک شمارہ مدیر کی شخصیت کا اعلان کرتا تھا ۔"
۲۰ دہائی سال کلکتہ طنز مزاح متوالا اشاعت ہوئی,۲۰ کی دہائی کے تیسرے سال کلکتہ سے طنز و مزاح سے بھرپور ` متوالا ` کی اشاعت ہوئی ۔
ہندی مصنفین تخلیقات زندگی تعارف تنقید چھپتی تھی,اس میں تبھی موجودہ ہندی مصنفین کی تخلیقات ان کی زندگی کا تعارف اور تنقید چھپتی تھی ۔
ہندی شاعر سُرجکانت ترپاٹھی نرالا متوالا اشاعت طور جڑے تھے,ہندی کے عظیم شاعر سُرجکانت ترپاٹھی نرالا ` متوالا ` کی اشاعت سے شدید طور سے جڑے تھے ۔
رامانند چٹرجی ترغیب پاکر ۱۹۸۲ ریویو پرواسی پرکاشن سموہ وشال بھارت اشاعت شروع کی,رامانند جی چٹرجی کی ترغیب پاکر ۱۹۸۲ میں ماڈرن ریویو پرواسی پرکاشن سموہ نے ` وشال بھارت ` کی اشاعت شروع کی ۔
بنارسیداس چترویدی مدیر تھے,بنارسیداس چترویدی اس کے مدیر تھے ۔
