objnum,sentences
,میرا ٹاپک ہے پوجا ۔
sg,ہم ہر ایک صبح واہے گرو کی پوجا کرتے ہیں ۔
,پاپا کہتے ہیں کہ پوجا کرنے سے واہے گرو خوش ہو جائینگے اور ہماری حفاظت کرینگے ۔
,ممی کہتی ہیں کہ پوجا کرنے سے دادی خوش ہو جائینگی اور ہمیں بڑا مکان چھوڑ جائینگی ۔
,پوجابھٹ میری پسندیدہ اداکارہ ہے اور میری بیسٹ فرینڈ کا نام بھی پوجا ہے ۔
,ماں وہ ہے جو ہم کو اتنا پیار کرتی ہے کہ کبھی کبھی ہم خود اس پیار کو سمجھ نہیں پاتے ۔
,ماں وہ ہے جو ہم کو احساس دلاتی ہے کہ ہم کتنے اچھے ہیں ، ہم سے اچھا اور کوئی ہے ہی نہیں ۔
,ماں وہ ہے جس کی خوشی ہماری ہنسی سے ہے ، جس کا دکھ ہمارے دکھ سے ہے ۔
,ماں وہ ہے جس کے بنا ہم جی نہیں سکتے ۔
,ماں سب کچھ ہے ، بس ہمارے پاس نہیں ۔
,لیکن ہمارے پاس پاپا ہیں اور وہ بھی کافی اچھے ہیں ۔
,پتا ہے راہول ! وہ اپنے شرما جی ہیں نا شرما جی ، ان کا فون آیا تھا ۔
sg,وہ ، اپنے دہلی کے پڑوسی ، انھوں نے رشتہ بھیجا ہے ۔
,ویسے وہ کہہ رہے تھے کہ لڑکی خوبصورت ہے ، سلیقہ_مند ہے ۔
,میں نے تو صاف انکار کر دیا ۔
sg,میں ویسے بھی کون سا کام غلط کرتی ہوں ؟
,اب لڑکی سلیقہ_مند ہے تو کیا ہوا ، خوبصورت ہے تو کیا ہوا ؟
,ہر لڑکی آجکل سلیقےمند ہی ہوتی ہے ، خوبصورت ہی ہوتی ہے ۔
,تم دوسری شادی نہیں کرو گے ؟
,ماں ! ہم ایک بار جیتے ہیں ، ایک بار مرتے ہیں ، شادی بھی ایک ہی بار ہوتی ہے اور پیار بھی ایک ہی بار ہوتا ہے ، باربار نہیں ہوتا ۔
,تم تو اپنے آپ کو سنبھال لو گے بیٹے ، لیکن انجلی ؟
,تمھیں نہیں لگتا اسے ایک ماں کی ضرورت ہے ؟
,وہ ٹھیک ہے ، کیونکہ اس کے پاس وہ ہے جو میرے پاس بھی نہیں ، اس کی ماں کی چٹھیاں NULL ۔
,میری پیاری انجلی ، ہیپی برتھڈے ۔
,آج تم آٹھ سال کی ہو گئی ہو ، اور مجھے یقین ہے کہ تم بالکل اپنے پاپا جیسی ہو ۔
,وہی آنکھیں ، وہی چہرہ ، ہے نا انجلی ؟
,نہیں ، میں آپ کے جیسی ہوں ۔
,کیا تمھارے پاپا ابھی بھی رات کو جوتے پہن کر سوتے ہیں ؟
,ان کی یہ عادت کب جائیگی ؟
sg,آج میں تمھیں ایک کہانی سنانے جا رہی ہوں ۔
,اس کہانی میں میں ہوں ، تمھارے پاپا ہیں اور انجلی NULL ۔
,صبح صبح مجھ سے اٹھا نہیں جاتا ہے ۔
,اٹھا نہیں جاتا یا تم ڈر گئے تھے ؟
,ہے ! راہول کھنّہ کسی سے نہیں ڈرتا ہے ۔
,لیکن انجلی شرما سے روز باسکیٹ_بال میں ضرور ہارتا ہے ۔
,لڑکیوں کی طرح مت چلّاؤ ۔
,اے ! مجھے لڑکی مت بلاؤ ۔
,تم تو لڑکی ہو ہی نہیں ۔
,ایٹلیسٹ ، میں ان اسٹوپڈ لڑکیوں کی طرح نہیں ہوں ، جن کے پیچھے تم بھاگتے رہتے ہو ۔
,میں لڑکیوں کے پیچھے نہیں بھاگتا ، لڑکیاں میرے پیچھے بھاگتی ہیں ۔
,یار کب دلدار بن جائے پتہ نہیں چلتا ۔
,تم کچھ کہہ رہے تھے ملہوترہ ؟
,میں تو ایسے ہی کہہ رہا تھا کہ کالج میں شاٹ اسکرٹ پہننا منع ہے ۔
,لیکن یہ تو آجکل کا فیشن ہے ، ملہوترہ ۔
,لیکن ملہوترہ ، تم بہت بورنگ کپڑے پہنتے ہو ۔
pl,جب تک تو مسز ملہوترہ زندہ تھیں ، تب تک تو میں ان کے لئے کبھی ۔ کبھی فینسی کپڑے پہن لیتا تھا ۔
,کیا بات ہے سر ، آج آپ بہت خوش نظر آ رہے ہو ؟
,آج میری بیٹی واپس آ رہی ہے نا ، اسلئے ۔
,ٹینا لندن سے واپس آ رہی ہے آج ۔
,ہاں ، وہ وہاں آکسفورڈ یونیورسٹی میں پڑھتی تھی ۔
,الکٹرانک میڈیا کا اثر زیادہ گہرا ہوتا ہے ۔
,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
,ٹی_وی پر آف دی ریکارڈ باتیں نہیں پیش ہو سکتیں ۔
,پہلے سیاستداں بڑی آسانی سے اپنی بات کی تردید خود کرتے تھے ، لیکن اب یہ ممکن نہیں ہے ۔
,فرانس کے ایک مشہور فلسفی کی موجودگی میں جنت اور جہنم کو لے کر گرماگرم بحث چلتی رہی ۔
,فلسفی صاحب غیرجانبداری سے دونوں فریقوں کی باتیں سنتے رہے ۔
,آخر میں کسی نے ان سے پوچھا کہ اس موضوع پر آپ کی رائے کیا ہے ؟
,فلسفی صاحب نے بڑی عاجزی سے جواب دیا کہ آپ مجھے معاف کریں ، کیونکہ دونوں ہی مقامات پر میرے دوست ہیں ۔
,مطلب یہ ہے کہ ایسے مقامات پر سمجھدار آدمی کسی کی حمایت نہیں کرتا ۔
,میڈیا میں بھی یہی رویہ دیکھنے کو ملتا ہے ۔
,ڈاکٹر ، وکیل یا کالج کے اساتذہ کے لئے ایسے پیشہ_ور ادارے ہیں جو ان کی قابلیت اور معیار طے کرتے ہیں لیکن پریس کے لئے ایسا کوئی پیمانہ طے نہیں کیا گیا ہے ۔
,گزشتہ ۵۰ برس کے دوران اخباری میڈیم کی رفتار ضرور تیز ہوئی ہے ۔
,ٹائپرائٹر کے کی_بورڈ سے انٹرنیٹ یا ٹیلیکس کے بعد سیٹیلائٹ فون اور لیپٹاپ کا زمانہ آ گیا لیکن تجربہ یہی بتاتا ہے کہ عالم_کاری کے اس دور میں دنیا کے لوگ ایک دوسرے سے دور ہوتے جا رہے ہیں ۔
,اسی طرح مغربی ٹیلی_ویژن چینلوں میں جرائم خبروں کو زیادہ اولیت ملتی ہے اور بین_الاقوامی خبریں دُم - چھلے کی طرح پیش کی جاتی ہیں ۔
,سماجی اور معاشی معاملات کے مقابلے سیکس سانحہ کی گونج خبروں میں زیادہ سنائی دیتی ہے ۔
,مغربی ممالک کی طرح ہندوستان میں بھی آدھی گپ اور آدھی افواہ پر چکنی _ چپڑی زبان کا استعمال کر تبصرہ کر دیا جاتا ہے ۔
,تعصب والی رپورٹنگ دیکھنے کو ملتی ہے ۔
,معصوم لوگ کٹہرے میں کھڑے ہوتے ہیں اور کئی بار مجرم کی واہ - واہی ہوتی ہے ۔
,خبری ذرائع میں نظریے کی اہمیت دن _ بہ _ دن گھٹتی دکھائی دے رہی ہے ۔
,شخصیتوں کا اثر زیادہ دکھائی دیتا ہے ۔
,سنسنی_خیز کہانی دے سکنے والے لوگوں کے اردگرد صحافی زیادہ یکجا رہتے ہیں ۔
,اصولوں ، آدرشوں اور اقدار کا ذکر کرنا بےمعنی سا لگتا ہے ۔
,ٹیلی_ویژن اور کمپیوٹر انقلاب نے نئی نسل کو تفکرات سے دور کیا ہے ۔
,اخباری ذرائع میں آئی تنزلی نے دنیا کے مختلف ممالک میں مسائل کو بڑھایا بھی ہے ۔
,سیاستدانوں میں سچائی کا سامنا کرنے کی ہمت نہیں رہ گئی ہے ۔
,جمہوری ڈھنگ سے نااتّفاقی اور تنقید کو سننے اور سہنے والے سیاستداں کی کمی ہوتی جا رہی ہے ۔
,بدعنوانی فقط انتظامیہ اور سیاست میں ہی نہیں ہے ، بلکہ سیاستدانوں اور کارپوریٹ کمپنیوں نے صحافیوں کے ایک طبقے کو اپنے جال میں پھنسایا ہے ۔
,اخباروں میں ایک سب سے بڑی گڑبڑ یہ ہوئی ہے کہ فوری بحران پر زیادہ دھیان دیا جانے لگا ہے ۔
,کچھ وقت پہلے جب ہندوستان اور پاکستان کے درمیان جنگ ہونے کے حالات بن گئے تھے اور ایٹمی ہتھیاروں کے استعمال کی بات آئی تو ان ہتھیاروں سے ہونے والی تباہی کا ذکر تفصیل سے چھپنے لگا ۔
,لیکن جیسے ہی معاملہ نرم پڑا ، اس موضوع کا تذکرہ بند ہو گیا ۔
,دہشتگرد تنظیموں کو دنیا میں جہاں کہیں بھی حمایت دی گئی اس کے نتائج دینے والے کے لئے بھی مہلک ثابت ہوئے ۔
,خبروں کے وسیلوں کی ذمہ_داری یہ ہے کہ وہ دوررس مفاد کو دھیان میں رکھ کر مسلسل خبریں اور مضامین دیتے رہیں ۔
,حال ہی کے برسوں میں صحافت کے لئے ایک بڑا خطرہ تجارتی مفاد کے سبب پیدا ہوا ہے ۔
,ہندوستان کے اخباروں سے پہلے امریکی اخباروں میں یہ رویہ دیکھنے کو ملا ۔
,امریکی اخباروں میں اخبار کے لئے مدیر کے بجائے اعلیٰ منتظم رکھے جانے لگے ۔
,مینجمنٹ اور ادارتی محکمہ کے درمیان رہنے والی خط فاصل عبور کی جانے لگیں ۔
,اخبار کو تاریخ کا خام دستاویز کہا جاتا رہا ہے ۔
,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
,اس کا تجربہ کرنا ہوتا ہے اور حادثات کو تاریخ کے روپ میں پیش کرنا ہوتا ہے ۔
,پھر بھی صحافی ہونے کے باعث اس دستاویز کو تیار کرنا تاریخ_نویس سے کم اہم نہیں ہے ۔
,مجرمانہ واقعات پر عدالتی سماعت کے وقت یا اس سے پہلے ہی صحافی اپنے نتائج سنانے لگتے ہیں ۔
,قتل کے جرم پر ہو رہی سماعت میں روزانہ نہ تو کوئی جیت سکتا ہے اور نہ ہی کوئی ہار سکتا ہے ۔
,بہیمانہ قتل کے معاملے تفریح کی شکل نہیں لے سکتے ہیں ۔
,شہزادی ڈائنا کی موت کو بھی مغربی میڈیا نے ایک تفریحی بکاو حادثہ کی طرح استعمال کیا ۔
,ہندوستان میں گزشتہ دنوں شیوانی بھٹناگر قتل معاملے سے متعلق ہر دن پولس افسر روی کانت شرما کی اہلیہ سدھا شرما کے بیانوں کو ٹیلی_ویژن پر سنسی_خیز طریقے سے پیش کیا جاتا رہا ۔
,سابق صدرجمہوریہ کرشن کانت کی آخری رسومات کے فوراً بعد نگم بودھ گھاٹ سے نکلنے پر سابق وزیراعظم چندرشیکھر سے اسی طرح کے سوال ٹیلی_ویژن نامہ_نگار پوچھتے دکھائی دئے ۔
,آنجہانی کرشن کانت کے گہرے دوست سے اس طرح کا سوال انھیں مغموم کرنے کے ساتھ بےعزت کرنے جیسا ہی تھا ۔
,میڈیا کی ایک بڑی دقت یہ ہوئی ہے کہ امریکہ کی ہی طرح ہندوستان میں بھی اعلیٰ طبقہ کے نوجوان اخباری وسایءل سے جڑے ہیں ۔
,انھیں عمومی زندگی اور شائستگی سے کوئی واسطہ ہی نہیں پڑا ۔
,واشنگٹن ٹائمز کے مدیر اعلیٰ ویسلے پروڈین یا ٹائمز آف انڈیا کے سابق مدیر گری لال جین عام خاندان سے نکل کر صحافت میں پہنچے تھے ۔
sg,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
sg,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
,ان دنوں ہندستان میں قحط پڑ رہا تھا اور معاشی بحران کے کالے بادل منڈلا رہے تھے ۔
sg,اس دربار پر ہونے والے خرچ کو ہندستانی بادشاہوں سے یکجا کیا گیا ۔
,ان میں کچھ تو اتنے قرضدار ہو گئے کہ وہ کبھی بحال ہو ہی نہیں سکے ۔
,تحفتاً ان کو کچھ بھی نہیں ملا ۔
,لہٰذا ہندی اخبارات نے اس کی مخالفت میں زبردست مہم چلائی تھی اور کہا کہ اس دربار کے تناظر میں فقط سامراجیت کو دکھانے کی منشا تھی ۔
sg,لارڈ ریپن جن کو اعتدال _ پسند مانا جاتا ہے ، نے بھی ۱۸۸۰ میں لاہور میں ایک دربار کیا ۔
sg,اس دربار کے سبب اس نے ہندوستانیوں کی ہمدردی کھو دی ۔
sg,اسی طرح کا دربار لارڈ کرزن نے بھی کیا ۔
,ان دنوں بھی ہندستانی سماج کی معاشی حالت نہایت تشویشناک تھی ۔
,لیکن کرزن اپنے بداعمالیوں سے چوکنے والا نہیں تھا ۔
,سرکاری خدمات میں ذات و نسل کی پالیسی کا بول _ بالا تھا ۔
,کارنوالس سب سے پہلا انگریز تھا جس نے مکمل سرکاری اعلیٰ عہدوں کو گوروں کے لئے محفوظ کیا ۔
,اس نے ہندستانیوں کو عمداً سرکاری خدمات سے محروم کیا ۔
,اس غیرمنصفانہ سرکاری پالیسی کے خلاف ہندی اخبارات نے ڈٹ کر تبلیغ کیا اور ہندستانی عوام کو جگایا ۔
