senlen,sentences
5,میرا ٹاپک ہے پوجا ۔
11,ہم ہر ایک صبح واہے گرو کی پوجا کرتے ہیں ۔
17,پاپا کہتے ہیں کہ پوجا کرنے سے واہے گرو خوش ہو جائینگے اور ہماری حفاظت کرینگے ۔
18,ممی کہتی ہیں کہ پوجا کرنے سے دادی خوش ہو جائینگی اور ہمیں بڑا مکان چھوڑ جائینگی ۔
15,پوجابھٹ میری پسندیدہ اداکارہ ہے اور میری بیسٹ فرینڈ کا نام بھی پوجا ہے ۔
22,ماں وہ ہے جو ہم کو اتنا پیار کرتی ہے کہ کبھی کبھی ہم خود اس پیار کو سمجھ نہیں پاتے ۔
24,ماں وہ ہے جو ہم کو احساس دلاتی ہے کہ ہم کتنے اچھے ہیں ، ہم سے اچھا اور کوئی ہے ہی نہیں ۔
19,ماں وہ ہے جس کی خوشی ہماری ہنسی سے ہے ، جس کا دکھ ہمارے دکھ سے ہے ۔
11,ماں وہ ہے جس کے بنا ہم جی نہیں سکتے ۔
10,ماں سب کچھ ہے ، بس ہمارے پاس نہیں ۔
12,لیکن ہمارے پاس پاپا ہیں اور وہ بھی کافی اچھے ہیں ۔
19,پتا ہے راہول ! وہ اپنے شرما جی ہیں نا شرما جی ، ان کا فون آیا تھا ۔
13,وہ ، اپنے دہلی کے پڑوسی ، انھوں نے رشتہ بھیجا ہے ۔
13,ویسے وہ کہہ رہے تھے کہ لڑکی خوبصورت ہے ، سلیقہ_مند ہے ۔
8,میں نے تو صاف انکار کر دیا ۔
10,میں ویسے بھی کون سا کام غلط کرتی ہوں ؟
14,اب لڑکی سلیقہ_مند ہے تو کیا ہوا ، خوبصورت ہے تو کیا ہوا ؟
13,ہر لڑکی آجکل سلیقےمند ہی ہوتی ہے ، خوبصورت ہی ہوتی ہے ۔
7,تم دوسری شادی نہیں کرو گے ؟
33,ماں ! ہم ایک بار جیتے ہیں ، ایک بار مرتے ہیں ، شادی بھی ایک ہی بار ہوتی ہے اور پیار بھی ایک ہی بار ہوتا ہے ، باربار نہیں ہوتا ۔
13,تم تو اپنے آپ کو سنبھال لو گے بیٹے ، لیکن انجلی ؟
10,تمھیں نہیں لگتا اسے ایک ماں کی ضرورت ہے ؟
23,وہ ٹھیک ہے ، کیونکہ اس کے پاس وہ ہے جو میرے پاس بھی نہیں ، اس کی ماں کی چٹھیاں NULL ۔
7,میری پیاری انجلی ، ہیپی برتھڈے ۔
21,آج تم آٹھ سال کی ہو گئی ہو ، اور مجھے یقین ہے کہ تم بالکل اپنے پاپا جیسی ہو ۔
10,وہی آنکھیں ، وہی چہرہ ، ہے نا انجلی ؟
8,نہیں ، میں آپ کے جیسی ہوں ۔
13,کیا تمھارے پاپا ابھی بھی رات کو جوتے پہن کر سوتے ہیں ؟
7,ان کی یہ عادت کب جائیگی ؟
10,آج میں تمھیں ایک کہانی سنانے جا رہی ہوں ۔
13,اس کہانی میں میں ہوں ، تمھارے پاپا ہیں اور انجلی NULL ۔
9,صبح صبح مجھ سے اٹھا نہیں جاتا ہے ۔
9,اٹھا نہیں جاتا یا تم ڈر گئے تھے ؟
10,ہے ! راہول کھنّہ کسی سے نہیں ڈرتا ہے ۔
11,لیکن انجلی شرما سے روز باسکیٹ_بال میں ضرور ہارتا ہے ۔
6,لڑکیوں کی طرح مت چلّاؤ ۔
7,اے ! مجھے لڑکی مت بلاؤ ۔
7,تم تو لڑکی ہو ہی نہیں ۔
19,ایٹلیسٹ ، میں ان اسٹوپڈ لڑکیوں کی طرح نہیں ہوں ، جن کے پیچھے تم بھاگتے رہتے ہو ۔
13,میں لڑکیوں کے پیچھے نہیں بھاگتا ، لڑکیاں میرے پیچھے بھاگتی ہیں ۔
9,یار کب دلدار بن جائے پتہ نہیں چلتا ۔
7,تم کچھ کہہ رہے تھے ملہوترہ ؟
16,میں تو ایسے ہی کہہ رہا تھا کہ کالج میں شاٹ اسکرٹ پہننا منع ہے ۔
10,لیکن یہ تو آجکل کا فیشن ہے ، ملہوترہ ۔
10,لیکن ملہوترہ ، تم بہت بورنگ کپڑے پہنتے ہو ۔
24,جب تک تو مسز ملہوترہ زندہ تھیں ، تب تک تو میں ان کے لئے کبھی ۔ کبھی فینسی کپڑے پہن لیتا تھا ۔
14,کیا بات ہے سر ، آج آپ بہت خوش نظر آ رہے ہو ؟
11,آج میری بیٹی واپس آ رہی ہے نا ، اسلئے ۔
9,ٹینا لندن سے واپس آ رہی ہے آج ۔
10,ہاں ، وہ وہاں آکسفورڈ یونیورسٹی میں پڑھتی تھی ۔
9,الکٹرانک میڈیا کا اثر زیادہ گہرا ہوتا ہے ۔
12,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
11,ٹی_وی پر آف دی ریکارڈ باتیں نہیں پیش ہو سکتیں ۔
20,پہلے سیاستداں بڑی آسانی سے اپنی بات کی تردید خود کرتے تھے ، لیکن اب یہ ممکن نہیں ہے ۔
19,فرانس کے ایک مشہور فلسفی کی موجودگی میں جنت اور جہنم کو لے کر گرماگرم بحث چلتی رہی ۔
11,فلسفی صاحب غیرجانبداری سے دونوں فریقوں کی باتیں سنتے رہے ۔
17,آخر میں کسی نے ان سے پوچھا کہ اس موضوع پر آپ کی رائے کیا ہے ؟
