treedepth,sentences
3,میرا ٹاپک ہے پوجا ۔
3,ہم ہر ایک صبح واہے گرو کی پوجا کرتے ہیں ۔
6,پاپا کہتے ہیں کہ پوجا کرنے سے واہے گرو خوش ہو جائینگے اور ہماری حفاظت کرینگے ۔
6,ممی کہتی ہیں کہ پوجا کرنے سے دادی خوش ہو جائینگی اور ہمیں بڑا مکان چھوڑ جائینگی ۔
5,پوجابھٹ میری پسندیدہ اداکارہ ہے اور میری بیسٹ فرینڈ کا نام بھی پوجا ہے ۔
6,ماں وہ ہے جو ہم کو اتنا پیار کرتی ہے کہ کبھی کبھی ہم خود اس پیار کو سمجھ نہیں پاتے ۔
9,ماں وہ ہے جو ہم کو احساس دلاتی ہے کہ ہم کتنے اچھے ہیں ، ہم سے اچھا اور کوئی ہے ہی نہیں ۔
6,ماں وہ ہے جس کی خوشی ہماری ہنسی سے ہے ، جس کا دکھ ہمارے دکھ سے ہے ۔
4,ماں وہ ہے جس کے بنا ہم جی نہیں سکتے ۔
3,ماں سب کچھ ہے ، بس ہمارے پاس نہیں ۔
4,لیکن ہمارے پاس پاپا ہیں اور وہ بھی کافی اچھے ہیں ۔
1,پتا ہے راہول ! وہ اپنے شرما جی ہیں نا شرما جی ، ان کا فون آیا تھا ۔
5,وہ ، اپنے دہلی کے پڑوسی ، انھوں نے رشتہ بھیجا ہے ۔
5,ویسے وہ کہہ رہے تھے کہ لڑکی خوبصورت ہے ، سلیقہ_مند ہے ۔
2,میں نے تو صاف انکار کر دیا ۔
3,میں ویسے بھی کون سا کام غلط کرتی ہوں ؟
5,اب لڑکی سلیقہ_مند ہے تو کیا ہوا ، خوبصورت ہے تو کیا ہوا ؟
3,ہر لڑکی آجکل سلیقےمند ہی ہوتی ہے ، خوبصورت ہی ہوتی ہے ۔
2,تم دوسری شادی نہیں کرو گے ؟
4,ماں ! ہم ایک بار جیتے ہیں ، ایک بار مرتے ہیں ، شادی بھی ایک ہی بار ہوتی ہے اور پیار بھی ایک ہی بار ہوتا ہے ، باربار نہیں ہوتا ۔
3,تم تو اپنے آپ کو سنبھال لو گے بیٹے ، لیکن انجلی ؟
4,تمھیں نہیں لگتا اسے ایک ماں کی ضرورت ہے ؟
7,وہ ٹھیک ہے ، کیونکہ اس کے پاس وہ ہے جو میرے پاس بھی نہیں ، اس کی ماں کی چٹھیاں NULL ۔
1,میری پیاری انجلی ، ہیپی برتھڈے ۔
6,آج تم آٹھ سال کی ہو گئی ہو ، اور مجھے یقین ہے کہ تم بالکل اپنے پاپا جیسی ہو ۔
3,وہی آنکھیں ، وہی چہرہ ، ہے نا انجلی ؟
2,نہیں ، میں آپ کے جیسی ہوں ۔
3,کیا تمھارے پاپا ابھی بھی رات کو جوتے پہن کر سوتے ہیں ؟
3,ان کی یہ عادت کب جائیگی ؟
2,آج میں تمھیں ایک کہانی سنانے جا رہی ہوں ۔
4,اس کہانی میں میں ہوں ، تمھارے پاپا ہیں اور انجلی NULL ۔
2,صبح صبح مجھ سے اٹھا نہیں جاتا ہے ۔
3,اٹھا نہیں جاتا یا تم ڈر گئے تھے ؟
2,ہے ! راہول کھنّہ کسی سے نہیں ڈرتا ہے ۔
3,لیکن انجلی شرما سے روز باسکیٹ_بال میں ضرور ہارتا ہے ۔
2,لڑکیوں کی طرح مت چلّاؤ ۔
2,اے ! مجھے لڑکی مت بلاؤ ۔
2,تم تو لڑکی ہو ہی نہیں ۔
4,ایٹلیسٹ ، میں ان اسٹوپڈ لڑکیوں کی طرح نہیں ہوں ، جن کے پیچھے تم بھاگتے رہتے ہو ۔
3,میں لڑکیوں کے پیچھے نہیں بھاگتا ، لڑکیاں میرے پیچھے بھاگتی ہیں ۔
3,یار کب دلدار بن جائے پتہ نہیں چلتا ۔
2,تم کچھ کہہ رہے تھے ملہوترہ ؟
5,میں تو ایسے ہی کہہ رہا تھا کہ کالج میں شاٹ اسکرٹ پہننا منع ہے ۔
4,لیکن یہ تو آجکل کا فیشن ہے ، ملہوترہ ۔
3,لیکن ملہوترہ ، تم بہت بورنگ کپڑے پہنتے ہو ۔
4,جب تک تو مسز ملہوترہ زندہ تھیں ، تب تک تو میں ان کے لئے کبھی ۔ کبھی فینسی کپڑے پہن لیتا تھا ۔
3,کیا بات ہے سر ، آج آپ بہت خوش نظر آ رہے ہو ؟
3,آج میری بیٹی واپس آ رہی ہے نا ، اسلئے ۔
2,ٹینا لندن سے واپس آ رہی ہے آج ۔
2,ہاں ، وہ وہاں آکسفورڈ یونیورسٹی میں پڑھتی تھی ۔
3,الکٹرانک میڈیا کا اثر زیادہ گہرا ہوتا ہے ۔
3,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
2,ٹی_وی پر آف دی ریکارڈ باتیں نہیں پیش ہو سکتیں ۔
5,پہلے سیاستداں بڑی آسانی سے اپنی بات کی تردید خود کرتے تھے ، لیکن اب یہ ممکن نہیں ہے ۔
4,فرانس کے ایک مشہور فلسفی کی موجودگی میں جنت اور جہنم کو لے کر گرماگرم بحث چلتی رہی ۔
3,فلسفی صاحب غیرجانبداری سے دونوں فریقوں کی باتیں سنتے رہے ۔
5,آخر میں کسی نے ان سے پوچھا کہ اس موضوع پر آپ کی رائے کیا ہے ؟
7,فلسفی صاحب نے بڑی عاجزی سے جواب دیا کہ آپ مجھے معاف کریں ، کیونکہ دونوں ہی مقامات پر میرے دوست ہیں ۔
6,مطلب یہ ہے کہ ایسے مقامات پر سمجھدار آدمی کسی کی حمایت نہیں کرتا ۔
3,میڈیا میں بھی یہی رویہ دیکھنے کو ملتا ہے ۔
7,ڈاکٹر ، وکیل یا کالج کے اساتذہ کے لئے ایسے پیشہ_ور ادارے ہیں جو ان کی قابلیت اور معیار طے کرتے ہیں لیکن پریس کے لئے ایسا کوئی پیمانہ طے نہیں کیا گیا ہے ۔
3,گزشتہ ۵۰ برس کے دوران اخباری میڈیم کی رفتار ضرور تیز ہوئی ہے ۔
7,ٹائپرائٹر کے کی_بورڈ سے انٹرنیٹ یا ٹیلیکس کے بعد سیٹیلائٹ فون اور لیپٹاپ کا زمانہ آ گیا لیکن تجربہ یہی بتاتا ہے کہ عالم_کاری کے اس دور میں دنیا کے لوگ ایک دوسرے سے دور ہوتے جا رہے ہیں ۔
3,اسی طرح مغربی ٹیلی_ویژن چینلوں میں جرائم خبروں کو زیادہ اولیت ملتی ہے اور بین_الاقوامی خبریں دُم - چھلے کی طرح پیش کی جاتی ہیں ۔
4,سماجی اور معاشی معاملات کے مقابلے سیکس سانحہ کی گونج خبروں میں زیادہ سنائی دیتی ہے ۔
4,مغربی ممالک کی طرح ہندوستان میں بھی آدھی گپ اور آدھی افواہ پر چکنی _ چپڑی زبان کا استعمال کر تبصرہ کر دیا جاتا ہے ۔
4,تعصب والی رپورٹنگ دیکھنے کو ملتی ہے ۔
4,معصوم لوگ کٹہرے میں کھڑے ہوتے ہیں اور کئی بار مجرم کی واہ - واہی ہوتی ہے ۔
4,خبری ذرائع میں نظریے کی اہمیت دن _ بہ _ دن گھٹتی دکھائی دے رہی ہے ۔
3,شخصیتوں کا اثر زیادہ دکھائی دیتا ہے ۔
4,سنسنی_خیز کہانی دے سکنے والے لوگوں کے اردگرد صحافی زیادہ یکجا رہتے ہیں ۔
5,اصولوں ، آدرشوں اور اقدار کا ذکر کرنا بےمعنی سا لگتا ہے ۔
3,ٹیلی_ویژن اور کمپیوٹر انقلاب نے نئی نسل کو تفکرات سے دور کیا ہے ۔
4,اخباری ذرائع میں آئی تنزلی نے دنیا کے مختلف ممالک میں مسائل کو بڑھایا بھی ہے ۔
5,سیاستدانوں میں سچائی کا سامنا کرنے کی ہمت نہیں رہ گئی ہے ۔
7,جمہوری ڈھنگ سے نااتّفاقی اور تنقید کو سننے اور سہنے والے سیاستداں کی کمی ہوتی جا رہی ہے ۔
5,بدعنوانی فقط انتظامیہ اور سیاست میں ہی نہیں ہے ، بلکہ سیاستدانوں اور کارپوریٹ کمپنیوں نے صحافیوں کے ایک طبقے کو اپنے جال میں پھنسایا ہے ۔
4,اخباروں میں ایک سب سے بڑی گڑبڑ یہ ہوئی ہے کہ فوری بحران پر زیادہ دھیان دیا جانے لگا ہے ۔
7,کچھ وقت پہلے جب ہندوستان اور پاکستان کے درمیان جنگ ہونے کے حالات بن گئے تھے اور ایٹمی ہتھیاروں کے استعمال کی بات آئی تو ان ہتھیاروں سے ہونے والی تباہی کا ذکر تفصیل سے چھپنے لگا ۔
5,لیکن جیسے ہی معاملہ نرم پڑا ، اس موضوع کا تذکرہ بند ہو گیا ۔
4,دہشتگرد تنظیموں کو دنیا میں جہاں کہیں بھی حمایت دی گئی اس کے نتائج دینے والے کے لئے بھی مہلک ثابت ہوئے ۔
5,خبروں کے وسیلوں کی ذمہ_داری یہ ہے کہ وہ دوررس مفاد کو دھیان میں رکھ کر مسلسل خبریں اور مضامین دیتے رہیں ۔
3,حال ہی کے برسوں میں صحافت کے لئے ایک بڑا خطرہ تجارتی مفاد کے سبب پیدا ہوا ہے ۔
4,ہندوستان کے اخباروں سے پہلے امریکی اخباروں میں یہ رویہ دیکھنے کو ملا ۔
2,امریکی اخباروں میں اخبار کے لئے مدیر کے بجائے اعلیٰ منتظم رکھے جانے لگے ۔
5,مینجمنٹ اور ادارتی محکمہ کے درمیان رہنے والی خط فاصل عبور کی جانے لگیں ۔
3,اخبار کو تاریخ کا خام دستاویز کہا جاتا رہا ہے ۔
3,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
4,اس کا تجربہ کرنا ہوتا ہے اور حادثات کو تاریخ کے روپ میں پیش کرنا ہوتا ہے ۔
4,پھر بھی صحافی ہونے کے باعث اس دستاویز کو تیار کرنا تاریخ_نویس سے کم اہم نہیں ہے ۔
3,مجرمانہ واقعات پر عدالتی سماعت کے وقت یا اس سے پہلے ہی صحافی اپنے نتائج سنانے لگتے ہیں ۔
6,قتل کے جرم پر ہو رہی سماعت میں روزانہ نہ تو کوئی جیت سکتا ہے اور نہ ہی کوئی ہار سکتا ہے ۔
3,بہیمانہ قتل کے معاملے تفریح کی شکل نہیں لے سکتے ہیں ۔
3,شہزادی ڈائنا کی موت کو بھی مغربی میڈیا نے ایک تفریحی بکاو حادثہ کی طرح استعمال کیا ۔
5,ہندوستان میں گزشتہ دنوں شیوانی بھٹناگر قتل معاملے سے متعلق ہر دن پولس افسر روی کانت شرما کی اہلیہ سدھا شرما کے بیانوں کو ٹیلی_ویژن پر سنسی_خیز طریقے سے پیش کیا جاتا رہا ۔
4,سابق صدرجمہوریہ کرشن کانت کی آخری رسومات کے فوراً بعد نگم بودھ گھاٹ سے نکلنے پر سابق وزیراعظم چندرشیکھر سے اسی طرح کے سوال ٹیلی_ویژن نامہ_نگار پوچھتے دکھائی دئے ۔
5,آنجہانی کرشن کانت کے گہرے دوست سے اس طرح کا سوال انھیں مغموم کرنے کے ساتھ بےعزت کرنے جیسا ہی تھا ۔
6,میڈیا کی ایک بڑی دقت یہ ہوئی ہے کہ امریکہ کی ہی طرح ہندوستان میں بھی اعلیٰ طبقہ کے نوجوان اخباری وسایءل سے جڑے ہیں ۔
3,انھیں عمومی زندگی اور شائستگی سے کوئی واسطہ ہی نہیں پڑا ۔
5,واشنگٹن ٹائمز کے مدیر اعلیٰ ویسلے پروڈین یا ٹائمز آف انڈیا کے سابق مدیر گری لال جین عام خاندان سے نکل کر صحافت میں پہنچے تھے ۔
5,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
7,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
7,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
4,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
3,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
5,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
4,ان دنوں ہندستان میں قحط پڑ رہا تھا اور معاشی بحران کے کالے بادل منڈلا رہے تھے ۔
4,اس دربار پر ہونے والے خرچ کو ہندستانی بادشاہوں سے یکجا کیا گیا ۔
3,ان میں کچھ تو اتنے قرضدار ہو گئے کہ وہ کبھی بحال ہو ہی نہیں سکے ۔
2,تحفتاً ان کو کچھ بھی نہیں ملا ۔
8,لہٰذا ہندی اخبارات نے اس کی مخالفت میں زبردست مہم چلائی تھی اور کہا کہ اس دربار کے تناظر میں فقط سامراجیت کو دکھانے کی منشا تھی ۔
