wordcontent,sentences,index
اتنا,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔,124
اتنا,اتنا ذلیل ہونے کے بعد میں کسی کو اپنا منھ دکھانے کے لایق نہیں رہی ہوں نا ۔,285
اتنا,نیکیتا ! میں تمھیں کیسے سمجھاؤں کہ یہ سب اتنا سنجیدگی سے لینے کی ضرورت نہیں ہے ۔,286
اتنا,مجھے یقین نہیں ہو رہا موہنی کہ کوئی لڑکی مجھ سے اتنا پیار کر سکتی ہے اور وہ بھی تمھارے جیسی لڑکی جس کے لئے کالج کا کوئی بھی لڑکا قتل تک کر سکتا ہے ۔,298
اتنا,صرف اتنا پتہ ہے کہ لوٹیا نام کے خطرناک مجرم کی گینگ تھی ، جس کی تلاش پولس کو پہلے سے ہے ، مگر وہ موہنی کو کہاں لے کر گیا ہے اس کا پتہ تک نہیں چل سکا ۔,368
اتنا,ساتھ ہی اس کی زبان اور اسلوب اتنا واضح ہونا چاہیئے کہ جو کچھ وہ ظاہر کرنا چاہتا ہو اس کی رپورٹ بالکل وہی معنیٰ رکھتی ہو ۔,529
``,ہفتہ_وار `` دھرم یُگ `` اور `` ہندستان `` کی اشاعت نے ہندی صحافت کی بڑی کمی کو پورا کیا تھا ۔,21
``,` دھرم یگ ` ، ` ساگریکا ` ، ` پراگ ` اور پھر `` سنڈے میل `` میں کنھیّا لال نندن جیسے ادیب اور مدیر نے سماجی ، ثقافتی سروکاروں کا تحفظ کرنے میں اہم تعاون دیا ۔,25
``,اس مانگ کو پورا کرنے کے لیے معاشی رسالوں ، `` اکنامِک ٹائمز `` اور `` فائننشیئل ایکسپریس `` کی اشاعت شروع ہوئی ۔,31
``,قانون کی زبان میں `` گناہ `` بھی جرم ہے ۔,514
``,ادھر ہیمامالنی کی ادارت میں `` میری سہیلی `` اشاعت شروع ہوئی ہے ۔,746
``,ان میں پوری طرح ہندی کا پہلا روزنامہ ۱۸۸۵ میں `` کالاکانکر `` سے راج رام پال سنگھ کا روزنامہ ` ہندوستھان ` اور کانپور سے بابو سیتارام کا ` بھارتودیے ` تھے ۔,1092
بڑا,منوہرشیام جوشی کی ادارت میں ` ساپتاہک ہندوستان ` نے بڑا ریکارڈ بنایا ۔,26
بڑا,اس سے بڑا دعویٰ ` برہمو سماج ` کے لئے کیا گیا ہے ۔,75
بڑا,تمھارا بڑا بھروسہ تھا چندن !,117
بڑا,مہیش کی سب سے خوشی کا دن منٹوں میں سب سے دکھی دنوں میں بدل گیا تھا ، زندگی کو اس سے بڑا مذاق کرتے میں نے نہیں دیکھا تھا ۔,406
بڑا,خود ` غدر ` اخبار اپنے آپ میں انقلاب کا بڑا سفیر تھا ۔,430
بڑا,` یگانتر ` کے بعد ہندستان میں ` وندےماترم ` اخبار نے قومی تحریک میں بڑا رول نبھایا ۔,434
فیچر,تگمانشودھولیا ہدایت_کردہ پان سنگھ تومر عمدہ_ترین فیچر فلم سے نوازی گئی ہے جبکہ اسی فلم میں بہترین اداکاری کے لئے عرفان کو عمدہ_ترین اداکار کا اعزاز دیا گیا ہے ۔,643
فیچر,بزرگ فلم_کار باسوچٹرجی کی صدارت والی قومی فیچر فلم جیوری نے ۱۴ زبانوں میں کل ۳۸ فلموں کو مختلف انعامات کے لئے منتخب کیا جن میں کئی اہم انعامات ہندی اور مراٹھی فلموں کو گئے ہیں ۔,646
فیچر,۱۹۱۲ میں رامچندرگوپال ( دادا صاحب تورنے ) نے اول فیچر فلم ` پُنڈلِک ` بنائی ۔,974
فیچر,ان کے ذریعہ تشکیل_شدہ تین کارٹون فیچر فلموں میں ` بھولیرشیشے ` ، ` لاکھ - ٹاکا ` اور ` بھولاماسٹر ` ہے ۔,982
