senlen,treedepth
0.2956167176,0.2787971458
0.3027522936,0.2737003058
0.3002038736,0.2737003058
0.3032619776,0.2686034659
0.2996941896,0.2742099898
0.2930682977,0.2701325178
0.2961264016,0.2762487258
0.2966360856,0.2742099898
0.2945973496,0.2803261978
0.2971457696,0.2798165138
0.2935779817,0.2747196738
0.2940876656,0.2721712538
0.2930682977,0.2782874618
0.2951070336,0.2803261978
0.3027522936,0.2803261978
0.3037716616,0.2782874618
0.2874617737,0.2757390418
0.2767584098,0.2772680938
0.2772680938,0.2752293578
0.2772680938,0.2782874618
0.2884811417,0.2640163099
0.2818552497,0.2691131498
0.2935779817,0.2589194699
0.2747196738,0.254332314
0.3068297655,0.2828746177
0.2935779817,0.2828746177
0.2956167176,0.2823649337
0.2971457696,0.2793068298
0.2925586137,0.2686034659
0.2971457696,0.2711518858
0.2961264016,0.2680937819
0.2905198777,0.2604485219
0.2854230377,0.2665647299
0.2808358818,0.2594291539
0.2772680938,0.2579001019
0.2859327217,0.254841998
0.2981651376,0.2747196738
0.3017329256,0.2757390418
0.2940876656,0.2762487258
0.2869520897,0.2762487258
0.2879714577,0.2777777778
0.2884811417,0.2782874618
0.2925586137,0.2752293578
0.3027522936,0.2823649337
0.3068297655,0.2752293578
0.2976554536,0.2629969419
0.2854230377,0.2599388379
0.2930682977,0.2584097859
0.3017329256,0.2767584098
0.2966360856,0.2762487258
0.2996941896,0.2726809378
0.3053007136,0.2721712538
0.3047910296,0.2757390418
0.3088685015,0.2742099898
0.3119266055,0.2711518858
0.3114169215,0.2711518858
0.2976554536,0.2737003058
0.3037716616,0.2650356779
0.3002038736,0.2721712538
0.2854230377,0.2711518858
0.3083588175,0.2793068298
0.3002038736,0.2731906218
0.3022426096,0.2665647299
0.3083588175,0.2701325178
0.3022426096,0.2696228338
0.3037716616,0.2650356779
0.2910295617,0.2635066259
0.3002038736,0.2701325178
0.3007135576,0.2624872579
0.2838939857,0.2619775739
0.2996941896,0.2675840979
0.2854230377,0.2650356779
0.2986748216,0.2752293578
0.3022426096,0.2721712538
0.2986748216,0.2706422018
0.2971457696,0.2706422018
0.2981651376,0.2706422018
0.2971457696,0.2665647299
0.2961264016,0.2660550459
0.2996941896,0.2716615698
0.3053007136,0.2711518858
0.2925586137,0.2711518858
0.2951070336,0.2640163099
0.2915392457,0.2568807339
0.3007135576,0.2757390418
0.2920489297,0.2737003058
0.2991845056,0.2665647299
0.3032619776,0.2670744139
0.2981651376,0.2691131498
0.3037716616,0.2686034659
0.3063200815,0.2686034659
0.3037716616,0.2706422018
0.2925586137,0.2782874618
0.2930682977,0.2726809378
0.2920489297,0.2737003058
0.2925586137,0.2640163099
0.2940876656,0.2782874618
0.3022426096,0.2731906218
0.3042813456,0.2716615698
0.2976554536,0.2711518858
0.3032619776,0.2767584098
0.3017329256,0.2747196738
0.3017329256,0.2742099898
0.3032619776,0.2701325178
0.3037716616,0.2721712538
0.2996941896,0.2726809378
0.2920489297,0.2716615698
0.3063200815,0.2645259939
0.2996941896,0.2726809378
0.2991845056,0.2691131498
0.2981651376,0.2696228338
0.3047910296,0.2665647299
0.3042813456,0.2706422018
0.2996941896,0.2721712538
0.3017329256,0.2701325178
0.3007135576,0.2691131498
0.2935779817,0.2670744139
0.2991845056,0.2711518858
0.2981651376,0.2696228338
0.3027522936,0.2737003058
0.2889908257,0.2772680938
0.2930682977,0.2777777778
0.2940876656,0.2767584098
0.2986748216,0.2762487258
0.2961264016,0.2747196738
0.2945973496,0.2696228338
0.2956167176,0.2701325178
0.2956167176,0.2742099898
0.2945973496,0.2701325178
0.2859327217,0.2701325178
0.2864424057,0.2701325178
0.2951070336,0.2706422018
0.3042813456,0.2798165138
0.2976554536,0.2787971458
0.2981651376,0.2793068298
0.3022426096,0.2787971458
0.3042813456,0.2793068298
0.2981651376,0.2798165138
0.3047910296,0.2787971458
0.3017329256,0.2803261978
0.3012232416,0.2838939857
0.3053007136,0.2833843017
0.3073394495,0.2675840979
0.3129459735,0.2660550459
0.3037716616,0.2803261978
0.2976554536,0.2742099898
0.2981651376,0.2716615698
0.3022426096,0.2726809378
0.3083588175,0.2752293578
0.3022426096,0.2757390418
0.3053007136,0.2757390418
0.3017329256,0.2772680938
0.3073394495,0.2798165138
0.2991845056,0.2782874618
0.2935779817,0.2742099898
0.2910295617,0.2726809378
0.2604485219,0.2217125382
0.2645259939,0.2212028542
0.248216106,0.2380224261
0.2635066259,0.2415902141
0.2670744139,0.2400611621
0.2675840979,0.245158002
0.2762487258,0.2624872579
0.2660550459,0.2395514781
0.2874617737,0.2364933741
0.2864424057,0.2436289501
0.2874617737,0.250764526
0.2818552497,0.2436289501
0.2854230377,0.24872579
0.2889908257,0.2405708461
0.2696228338,0.2283384302
0.2976554536,0.249235474
0.2777777778,0.250254842
0.2670744139,0.24872579
0.2619775739,0.2420998981
0.2594291539,0.2395514781
0.2619775739,0.2334352701
0.2584097859,0.2436289501
0.2675840979,0.2349643221
0.2680937819,0.2640163099
0.2721712538,0.2283384302
0.2747196738,0.245667686
0.2640163099,0.2395514781
0.2803261978,0.2359836901
0.2869520897,0.2324159021
0.2706422018,0.2293577982
0.2716615698,0.2334352701
0.2635066259,0.2319062181
0.2696228338,0.2288481142
0.24872579,0.2395514781
0.2594291539,0.2431192661
0.2650356779,0.2385321101
0.2691131498,0.2370030581
0.2854230377,0.2344546381
0.2579001019,0.2420998981
0.2787971458,0.2436289501
0.2701325178,0.2431192661
0.2787971458,0.2420998981
0.2823649337,0.2645259939
0.2844036697,0.252803262
0.2813455657,0.2436289501
0.2793068298,0.248216106
0.2782874618,0.2380224261
0.2849133537,0.245667686
0.2563710499,0.2278287462
0.2660550459,0.2359836901
0.2670744139,0.2319062181
0.2579001019,0.2354740061
0.2614678899,0.251783894
0.2655453619,0.25127421
0.2874617737,0.2563710499
0.2782874618,0.247196738
0.2833843017,0.252293578
0.2823649337,0.2584097859
0.2787971458,0.2589194699
0.2854230377,0.247196738
0.2624872579,0.2390417941
0.2772680938,0.2339449541
0.2609582059,0.2344546381
0.2675840979,0.24617737
0.2716615698,0.252803262
0.2915392457,0.255861366
0.3068297655,0.2599388379
0.2808358818,0.2614678899
0.2716615698,0.2563710499
0.2874617737,0.2359836901
0.2752293578,0.2405708461
0.2716615698,0.253312946
0.2701325178,0.2420998981
0.2747196738,0.2359836901
0.2609582059,0.253312946
0.2787971458,0.249745158
0.2787971458,0.249235474
0.2823649337,0.2604485219
0.2884811417,0.2716615698
0.2833843017,0.2609582059
0.2808358818,0.251783894
0.2777777778,0.244648318
0.2905198777,0.2410805301
0.2849133537,0.247706422
0.2624872579,0.2410805301
0.2680937819,0.2415902141
0.2579001019,0.248216106
0.2629969419,0.244138634
0.2757390418,0.25127421
0.2747196738,0.2563710499
0.2818552497,0.2655453619
0.2813455657,0.245158002
0.2752293578,0.2339449541
0.2803261978,0.2573904179
0.2895005097,0.253312946
0.2900101937,0.2691131498
0.2614678899,0.2375127421
0.2716615698,0.2273190622
0.2599388379,0.247706422
0.2716615698,0.2415902141
0.2731906218,0.245158002
0.2767584098,0.249235474
0.2945973496,0.247196738
0.2889908257,0.252293578
0.2737003058,0.2436289501
0.2680937819,0.2344546381
0.2782874618,0.245667686
0.2956167176,0.2426095821
0.2624872579,0.2380224261
0.2619775739,0.2390417941
0.2624872579,0.244138634
0.2635066259,0.2410805301
0.2660550459,0.2568807339
0.2757390418,0.2426095821
0.2818552497,0.245158002
0.2915392457,0.2400611621
0.2731906218,0.2385321101
0.2589194699,0.2410805301
0.2696228338,0.2415902141
0.2752293578,0.245667686
0.2742099898,0.24617737
0.2670744139,0.2426095821
0.254332314,0.2390417941
0.251783894,0.245667686
0.2640163099,0.244648318
0.2609582059,0.2319062181
0.2762487258,0.2308868502
0.2573904179,0.2334352701
0.2680937819,0.2278287462
0.2691131498,0.2319062181
0.254332314,0.2283384302
0.2757390418,0.25382263
0.2808358818,0.254332314
0.2813455657,0.24872579
0.2721712538,0.2436289501
0.2701325178,0.2370030581
0.2635066259,0.2380224261
0.2808358818,0.2390417941
0.2660550459,0.245667686
0.2589194699,0.2329255861
0.2655453619,0.247706422
0.2665647299,0.25127421
0.2686034659,0.248216106
0.2706422018,0.2308868502
0.2594291539,0.2349643221
0.2757390418,0.244138634
0.254332314,0.2395514781
0.2680937819,0.2324159021
0.2716615698,0.248216106
0.2747196738,0.2573904179
0.2808358818,0.251783894
0.2686034659,0.2436289501
0.2747196738,0.2339449541
0.2742099898,0.247196738
0.2675840979,0.245667686
0.2747196738,0.249235474
0.2833843017,0.2680937819
0.2731906218,0.2227319062
0.2640163099,0.2405708461
0.2670744139,0.2375127421
0.2752293578,0.2344546381
0.2742099898,0.2426095821
0.2818552497,0.2370030581
0.2838939857,0.2364933741
0.2716615698,0.2308868502
0.2665647299,0.251783894
0.2619775739,0.2426095821
0.2737003058,0.255861366
0.2930682977,0.253312946
0.2849133537,0.25127421
0.2859327217,0.2594291539
0.250764526,0.244138634
0.2803261978,0.2436289501
0.2686034659,0.24617737
0.2951070336,0.2436289501
0.2910295617,0.2420998981
0.2900101937,0.2436289501
0.2910295617,0.2420998981
0.2940876656,0.2436289501
0.2731906218,0.24617737
0.2777777778,0.2594291539
0.2573904179,0.2329255861
0.2568807339,0.2400611621
0.2716615698,0.2278287462
0.2665647299,0.244648318
0.2726809378,0.252803262
0.2757390418,0.2370030581
0.2686034659,0.246687054
0.2711518858,0.2415902141
0.2701325178,0.244138634
0.2711518858,0.2385321101
0.244138634,0.250764526
0.2971457696,0.2629969419
0.2706422018,0.2405708461
0.2752293578,0.2400611621
0.2798165138,0.2278287462
0.2772680938,0.2319062181
0.2874617737,0.2298674822
0.2757390418,0.2370030581
0.2670744139,0.2563710499
0.2680937819,0.2431192661
0.2757390418,0.244648318
0.2798165138,0.255351682
0.2624872579,0.2334352701
0.2782874618,0.2609582059
0.2691131498,0.2161060143
0.2563710499,0.2298674822
0.2706422018,0.2339449541
0.2680937819,0.2426095821
0.2706422018,0.2405708461
0.2869520897,0.2375127421
0.2747196738,0.2298674822
0.2686034659,0.250764526
0.2818552497,0.2395514781
0.2716615698,0.24617737
0.2767584098,0.247196738
0.2833843017,0.255351682
0.2670744139,0.2196738022
0.254841998,0.244648318
0.2803261978,0.249745158
0.2660550459,0.2375127421
0.2849133537,0.24872579
0.2762487258,0.2410805301
0.2696228338,0.2670744139
0.2686034659,0.24872579
0.2782874618,0.255351682
