senlen,objnum,subnum,treedepth
0.3018252934,0.7596899225,0.7435897436,0.205345502
0.3070404172,0.7596899225,0.7307692308,0.2007822686
0.3044328553,0.6976744186,0.7275641026,0.1897001304
0.3024771838,0.7829457364,0.7371794872,0.1981747066
0.3089960887,0.7751937984,0.7243589744,0.2079530639
0.295958279,0.7441860465,0.7179487179,0.1949152542
0.2953063885,0.7364341085,0.7211538462,0.2020860495
0.3005215124,0.7596899225,0.7051282051,0.1962190352
0.3089960887,0.7364341085,0.7019230769,0.1897001304
0.3018252934,0.7209302326,0.7179487179,0.1975228162
0.2900912647,0.7209302326,0.7115384615,0.2001303781
0.2829204694,0.6899224806,0.7115384615,0.204041721
0.3168187744,0.7751937984,0.7564102564,0.1890482399
0.316166884,0.7441860465,0.7275641026,0.1955671447
0.3207301173,0.7441860465,0.7275641026,0.1942633638
0.3194263364,0.7131782946,0.7275641026,0.1942633638
0.3122555411,0.7054263566,0.7371794872,0.2020860495
0.3044328553,0.6511627907,0.7275641026,0.1962190352
0.3037809648,0.6356589147,0.7243589744,0.2001303781
0.3011734029,0.6899224806,0.7403846154,0.1994784876
0.3005215124,0.6434108527,0.7243589744,0.1897001304
0.294654498,0.6589147287,0.7243589744,0.1897001304
0.295958279,0.6589147287,0.7019230769,0.1936114733
0.2913950456,0.6589147287,0.6858974359,0.1916558018
0.3050847458,0.7519379845,0.7564102564,0.205345502
0.313559322,0.7674418605,0.7403846154,0.2125162973
0.3122555411,0.7596899225,0.7403846154,0.2079530639
0.3187744459,0.7829457364,0.7403846154,0.2046936115
0.316166884,0.7131782946,0.7403846154,0.204041721
0.3063885267,0.7209302326,0.733974359,0.1903520209
0.3024771838,0.7286821705,0.7371794872,0.1897001304
0.3005215124,0.7286821705,0.7435897436,0.1897001304
0.3044328553,0.7364341085,0.7371794872,0.185136897
0.2920469361,0.7209302326,0.7435897436,0.1883963494
0.2940026076,0.6744186047,0.7243589744,0.1897001304
0.2926988266,0.6744186047,0.7307692308,0.1981747066
0.3024771838,0.7519379845,0.7564102564,0.2190352021
0.3011734029,0.7829457364,0.7275641026,0.2001303781
0.3018252934,0.7906976744,0.7371794872,0.1975228162
0.2940026076,0.7441860465,0.7211538462,0.2001303781
0.2933507171,0.7596899225,0.7275641026,0.2059973924
0.2966101695,0.7519379845,0.733974359,0.2007822686
0.3011734029,0.7751937984,0.7307692308,0.204041721
0.2966101695,0.7751937984,0.7403846154,0.2105606258
0.295958279,0.7751937984,0.7371794872,0.20273794
0.2926988266,0.7441860465,0.7115384615,0.1779661017
0.2998696219,0.7209302326,0.7083333333,0.1949152542
0.2926988266,0.7364341085,0.6987179487,0.1799217731
0.3031290743,0.7596899225,0.7564102564,0.2092568449
0.3037809648,0.7286821705,0.7467948718,0.2059973924
0.3011734029,0.7209302326,0.7532051282,0.2001303781
0.295958279,0.7674418605,0.7371794872,0.2020860495
0.3018252934,0.7441860465,0.75,0.1994784876
0.3018252934,0.6976744186,0.7307692308,0.2007822686
0.2998696219,0.7131782946,0.7179487179,0.1962190352
0.3057366362,0.6976744186,0.733974359,0.1988265971
0.2953063885,0.7209302326,0.7403846154,0.2046936115
0.295958279,0.7286821705,0.7371794872,0.2007822686
0.2966101695,0.7054263566,0.7403846154,0.2059973924
0.2861799218,0.6744186047,0.7179487179,0.2033898305
0.3037809648,0.7519379845,0.7532051282,0.2112125163
0.3044328553,0.6744186047,0.75,0.205345502
0.2966101695,0.7984496124,0.75,0.2099087353
0.3005215124,0.7209302326,0.7435897436,0.222946545
0.2985658409,0.7596899225,0.733974359,0.2125162973
0.2979139505,0.7519379845,0.7307692308,0.2151238592
0.2913950456,0.7131782946,0.7211538462,0.2014341591
0.294654498,0.7441860465,0.7307692308,0.2073011734
0.294654498,0.7596899225,0.7243589744,0.2099087353
0.2855280313,0.7209302326,0.7307692308,0.2138200782
0.3057366362,0.6899224806,0.7371794872,0.2020860495
0.2933507171,0.7054263566,0.7211538462,0.2033898305
0.3031290743,0.7519379845,0.7564102564,0.2118644068
0.3063885267,0.7519379845,0.7243589744,0.2066492829
0.3011734029,0.7751937984,0.7403846154,0.2079530639
0.3011734029,0.7364341085,0.7371794872,0.2033898305
0.3031290743,0.7984496124,0.7275641026,0.1962190352
0.3057366362,0.7751937984,0.7371794872,0.1968709257
0.3083441982,0.7519379845,0.7371794872,0.2046936115
0.3076923077,0.7596899225,0.7211538462,0.204041721
0.3050847458,0.7674418605,0.7179487179,0.1916558018
0.3063885267,0.7441860465,0.7083333333,0.186440678
0.3096479791,0.7519379845,0.7051282051,0.1897001304
0.29726206,0.7441860465,0.7051282051,0.2033898305
0.3031290743,0.7209302326,0.7467948718,0.205345502
0.3050847458,0.6976744186,0.7403846154,0.2073011734
0.3044328553,0.7364341085,0.7403846154,0.2092568449
0.3037809648,0.7054263566,0.7403846154,0.2183833116
0.3024771838,0.7364341085,0.7435897436,0.204041721
0.3031290743,0.7209302326,0.7307692308,0.1981747066
0.3057366362,0.7519379845,0.7275641026,0.1981747066
0.3024771838,0.7519379845,0.7243589744,0.205345502
0.3011734029,0.7286821705,0.7307692308,0.1981747066
0.2920469361,0.6899224806,0.7179487179,0.2001303781
0.2822685789,0.7364341085,0.7243589744,0.1981747066
0.2822685789,0.7751937984,0.7147435897,0.2007822686
0.29726206,0.7829457364,0.7564102564,0.2131681877
0.295958279,0.7751937984,0.7371794872,0.2007822686
0.2966101695,0.7596899225,0.75,0.1942633638
0.2913950456,0.7519379845,0.75,0.2007822686
0.2913950456,0.7286821705,0.7435897436,0.2073011734
0.2966101695,0.7286821705,0.7467948718,0.2086049544
0.2966101695,0.7441860465,0.7532051282,0.2118644068
0.3011734029,0.7286821705,0.7435897436,0.2066492829
0.2940026076,0.7441860465,0.7435897436,0.2007822686
0.3011734029,0.7286821705,0.733974359,0.2046936115
0.2992177314,0.7286821705,0.7211538462,0.1831812256
0.2913950456,0.7209302326,0.7211538462,0.1916558018
0.295958279,0.7906976744,0.7564102564,0.2033898305
0.29726206,0.7441860465,0.766025641,0.2001303781
0.3024771838,0.7441860465,0.7596153846,0.2033898305
0.2966101695,0.7519379845,0.7435897436,0.1903520209
0.2979139505,0.7441860465,0.7628205128,0.1936114733
0.2992177314,0.7519379845,0.7628205128,0.1994784876
0.2966101695,0.7596899225,0.7532051282,0.1923076923
0.2979139505,0.7209302326,0.75,0.1981747066
0.2926988266,0.7441860465,0.7435897436,0.2046936115
0.29726206,0.7596899225,0.733974359,0.2086049544
0.2998696219,0.7519379845,0.7467948718,0.2046936115
0.294654498,0.7596899225,0.7371794872,0.2073011734
0.3070404172,0.7441860465,0.75,0.1955671447
0.3142112125,0.7441860465,0.7564102564,0.1994784876
0.3200782269,0.7364341085,0.7467948718,0.2020860495
0.316166884,0.7364341085,0.7532051282,0.1962190352
0.3096479791,0.7751937984,0.7564102564,0.2001303781
0.3083441982,0.7441860465,0.75,0.2033898305
0.3089960887,0.7286821705,0.7371794872,0.1968709257
0.3129074316,0.7441860465,0.7467948718,0.2014341591
0.2992177314,0.7364341085,0.7371794872,0.2105606258
0.3005215124,0.7519379845,0.7467948718,0.2157757497
0.2985658409,0.7441860465,0.7467948718,0.2105606258
0.3031290743,0.7441860465,0.7307692308,0.205345502
0.3116036506,0.7906976744,0.7596153846,0.2099087353
0.3109517601,0.7751937984,0.7532051282,0.2059973924
0.3096479791,0.7906976744,0.7532051282,0.2020860495
0.3076923077,0.7906976744,0.7532051282,0.2033898305
0.3044328553,0.7906976744,0.75,0.2099087353
0.3050847458,0.7906976744,0.75,0.2020860495
0.3057366362,0.7984496124,0.75,0.2092568449
