senlen,objnum,subnum,treedepth
0.2456359102,0.8820445609,0.7108433735,0.2281795511
0.2439733998,0.8820445609,0.6947791165,0.22319202
0.2435577722,0.8820445609,0.6947791165,0.2248545303
0.2414796342,0.8820445609,0.6887550201,0.2219451372
0.2452202826,0.8833551769,0.6907630522,0.2261014131
0.242726517,0.880733945,0.6847389558,0.22319202
0.244804655,0.8820445609,0.6967871486,0.2182044888
0.2423108894,0.878112713,0.6887550201,0.221113882
0.2423108894,0.879423329,0.6767068273,0.2223607648
0.2493765586,0.876802097,0.6726907631,0.219035744
0.2414796342,0.875491481,0.6827309237,0.2219451372
0.2452202826,0.870249017,0.6606425703,0.2173732336
0.253117207,0.8820445609,0.7108433735,0.2285951787
0.2514546966,0.8820445609,0.6907630522,0.2273482959
0.2539484622,0.880733945,0.6907630522,0.2152950956
0.2506234414,0.879423329,0.6967871486,0.2152950956
0.2506234414,0.870249017,0.6967871486,0.2115544472
0.2522859518,0.875491481,0.6927710843,0.2177888612
0.2514546966,0.875491481,0.6767068273,0.214879468
0.2431421446,0.871559633,0.6666666667,0.2182044888
0.251039069,0.868938401,0.6746987952,0.2132169576
0.2464671654,0.8610747051,0.6746987952,0.2069825436
0.2431421446,0.8545216252,0.656626506,0.2123857024
0.2352452203,0.8505897772,0.6586345382,0.2057356608
0.2514546966,0.8820445609,0.7088353414,0.2298420615
0.251039069,0.880733945,0.7008032129,0.221113882
0.2481296758,0.880733945,0.6987951807,0.2277639235
0.2502078138,0.876802097,0.6987951807,0.2177888612
0.2472984206,0.874180865,0.7048192771,0.2165419784
0.2464671654,0.870249017,0.7048192771,0.2144638404
0.2481296758,0.870249017,0.6887550201,0.2182044888
0.2506234414,0.874180865,0.6947791165,0.2144638404
0.2497921862,0.8676277851,0.6907630522,0.2157107232
0.2522859518,0.8623853211,0.6807228916,0.2161263508
0.2377389859,0.8558322412,0.6907630522,0.2044887781
0.2381546135,0.8440366972,0.6706827309,0.2036575229
0.246882793,0.880733945,0.7048192771,0.2302576891
0.2460515378,0.879423329,0.686746988,0.2248545303
0.2472984206,0.876802097,0.6987951807,0.2240232751
0.2497921862,0.879423329,0.702811245,0.2240232751
0.2506234414,0.879423329,0.6927710843,0.2202826268
0.2423108894,0.879423329,0.6847389558,0.2198669992
0.246882793,0.876802097,0.6847389558,0.2215295096
0.2497921862,0.874180865,0.6847389558,0.2244389027
0.2385702411,0.8820445609,0.6606425703,0.2206982544
0.2431421446,0.879423329,0.656626506,0.2206982544
0.2472984206,0.870249017,0.6546184739,0.2198669992
0.2402327515,0.870249017,0.6465863454,0.2123857024
0.2477140482,0.880733945,0.7068273092,0.2252701579
0.2477140482,0.880733945,0.6887550201,0.2256857855
0.2443890274,0.8820445609,0.686746988,0.2273482959
0.2460515378,0.880733945,0.6927710843,0.2244389027
0.2485453034,0.8820445609,0.6807228916,0.2215295096
0.242726517,0.879423329,0.6907630522,0.2248545303
0.2477140482,0.8820445609,0.6827309237,0.2177888612
0.2443890274,0.878112713,0.6807228916,0.219035744
0.2398171239,0.8820445609,0.6726907631,0.2177888612
0.242726517,0.880733945,0.6706827309,0.2136325852
0.2423108894,0.876802097,0.6646586345,0.2186201164
0.2339983375,0.878112713,0.6686746988,0.21280133
0.2485453034,0.8820445609,0.7048192771,0.2256857855
0.248960931,0.880733945,0.6907630522,0.2244389027
0.244804655,0.880733945,0.6807228916,0.2265170407
0.244804655,0.880733945,0.686746988,0.2269326683
0.2418952618,0.8820445609,0.6767068273,0.2244389027
0.2456359102,0.8820445609,0.6907630522,0.2223607648
0.246882793,0.879423329,0.6827309237,0.2219451372
0.2389858687,0.8833551769,0.6847389558,0.221113882
0.2398171239,0.8833551769,0.6666666667,0.2186201164
0.2381546135,0.879423329,0.6746987952,0.2152950956
