senlen,objnum,subnum,treedepth
0.8180404355,0.6206896552,0.7254901961,0.5894245723
0.8273716952,0.6120689655,0.7124183007,0.5847589425
0.8273716952,0.6034482759,0.7320261438,0.5847589425
0.8195956454,0.6120689655,0.7254901961,0.5816485226
0.8211508554,0.6379310345,0.7189542484,0.5878693624
0.8149300156,0.6120689655,0.7320261438,0.5863141524
0.8242612753,0.6034482759,0.7124183007,0.5832037325
0.8164852255,0.6034482759,0.7254901961,0.5925349922
0.8164852255,0.5689655172,0.7189542484,0.5940902022
0.8133748056,0.5689655172,0.7320261438,0.5878693624
0.799377916,0.5862068966,0.7320261438,0.5956454121
0.8055987558,0.5948275862,0.7124183007,0.598755832
0.66718507,0.6379310345,0.7320261438,0.468118196
0.66718507,0.5948275862,0.7385620915,0.4852255054
0.6702954899,0.6120689655,0.7320261438,0.4961119751
0.6609642302,0.6465517241,0.7320261438,0.4976671851
0.6718506998,0.6465517241,0.7124183007,0.499222395
0.66562986,0.6293103448,0.7320261438,0.4836702955
0.6562986003,0.6293103448,0.7189542484,0.4945567652
0.6594090202,0.6379310345,0.7189542484,0.4898911353
0.6609642302,0.6465517241,0.7189542484,0.4898911353
0.6594090202,0.6293103448,0.7189542484,0.4774494557
0.6578538103,0.6293103448,0.7320261438,0.4914463453
0.6625194401,0.6465517241,0.7320261438,0.4914463453
0.7107309487,0.6293103448,0.7254901961,0.5381026439
0.7138413686,0.6206896552,0.7320261438,0.5520995334
0.7185069984,0.6120689655,0.7450980392,0.5427682737
0.7153965785,0.6206896552,0.7450980392,0.5458786936
0.7107309487,0.6206896552,0.7385620915,0.5287713841
0.7153965785,0.6293103448,0.7516339869,0.5505443235
0.7138413686,0.6551724138,0.7385620915,0.5474339036
0.7153965785,0.6637931034,0.7320261438,0.5505443235
0.7122861586,0.6034482759,0.6993464052,0.5567651633
0.7091757387,0.6206896552,0.7450980392,0.5427682737
0.7076205288,0.6034482759,0.7320261438,0.5816485226
0.6936236392,0.6120689655,0.7320261438,0.5645412131
0.8055987558,0.6293103448,0.7320261438,0.5427682737
0.799377916,0.6120689655,0.7058823529,0.5412130638
0.7962674961,0.6206896552,0.6993464052,0.5427682737
0.7947122862,0.5689655172,0.7124183007,0.5474339036
0.7931570762,0.5948275862,0.7124183007,0.5474339036
0.7916018663,0.6034482759,0.7254901961,0.5567651633
0.7869362364,0.5948275862,0.7124183007,0.5520995334
0.7931570762,0.5603448276,0.7189542484,0.5474339036
0.7978227061,0.5689655172,0.7124183007,0.5583203733
0.7931570762,0.5689655172,0.7058823529,0.566096423
0.7838258165,0.5603448276,0.7058823529,0.5598755832
0.7962674961,0.5775862069,0.7320261438,0.5567651633
0.8693623639,0.6379310345,0.7450980392,0.6158631415
0.8693623639,0.5862068966,0.7189542484,0.6174183515
0.866251944,0.6034482759,0.7189542484,0.6096423017
0.867807154,0.6465517241,0.7189542484,0.6127527216
0.8740279938,0.6293103448,0.7124183007,0.6205287714
0.866251944,0.6206896552,0.7254901961,0.6205287714
0.8646967341,0.6120689655,0.7189542484,0.6220839813
0.8646967341,0.5862068966,0.7189542484,0.6236391913
0.867807154,0.5862068966,0.7058823529,0.6220839813
0.8646967341,0.6034482759,0.6993464052,0.6267496112
0.8693623639,0.6120689655,0.7189542484,0.6065318818
0.866251944,0.5775862069,0.7254901961,0.6127527216
0.8864696734,0.6206896552,0.7320261438,0.6127527216
0.8849144635,0.6293103448,0.7450980392,0.6111975117
0.8880248834,0.6465517241,0.7320261438,0.6080870918
0.8880248834,0.6551724138,0.7320261438,0.6034214619
