senlen,objnum,subnum,treedepth
0.1712473573,0.8611111111,0.88,0.2114164905
0.177589852,0.8611111111,0.8666666667,0.2135306554
0.1839323467,0.8055555556,0.8666666667,0.2114164905
0.1966173362,0.8055555556,0.8666666667,0.2262156448
0.1691331924,0.8055555556,0.8533333333,0.221987315
0.177589852,0.8194444444,0.84,0.2262156448
0.1818181818,0.7916666667,0.84,0.2198731501
0.1754756871,0.8333333333,0.88,0.2346723044
0.1902748414,0.8472222222,0.8533333333,0.2367864693
0.1881606765,0.8194444444,0.88,0.2156448203
0.1839323467,0.8611111111,0.8266666667,0.221987315
0.1945031712,0.8333333333,0.8133333333,0.2198731501
0.1691331924,0.8055555556,0.8933333333,0.2283298097
0.1754756871,0.8055555556,0.8933333333,0.2135306554
0.1649048626,0.7638888889,0.8933333333,0.2093023256
0.1754756871,0.7916666667,0.88,0.2156448203
0.156448203,0.8055555556,0.8533333333,0.2114164905
0.1691331924,0.7916666667,0.84,0.2050739958
0.1860465116,0.7777777778,0.84,0.2093023256
0.1691331924,0.7777777778,0.84,0.1902748414
0.1712473573,0.7777777778,0.8666666667,0.2029598309
0.1649048626,0.7916666667,0.84,0.1987315011
0.1437632135,0.7777777778,0.8533333333,0.1881606765
0.156448203,0.7916666667,0.8266666667,0.2114164905
0.1712473573,0.8194444444,0.88,0.2304439746
0.1818181818,0.7777777778,0.8533333333,0.2135306554
0.1754756871,0.8055555556,0.84,0.2156448203
0.2029598309,0.7361111111,0.8266666667,0.2177589852
0.2029598309,0.75,0.8533333333,0.2177589852
0.2093023256,0.75,0.8533333333,0.2029598309
0.1797040169,0.7222222222,0.8533333333,0.2156448203
0.1670190275,0.8194444444,0.8533333333,0.2156448203
0.1881606765,0.7083333333,0.8266666667,0.2114164905
0.1881606765,0.7083333333,0.8266666667,0.2156448203
0.1923890063,0.7222222222,0.8266666667,0.2156448203
0.2050739958,0.7083333333,0.8266666667,0.2177589852
0.1691331924,0.8611111111,0.8933333333,0.2177589852
0.177589852,0.8055555556,0.8666666667,0.2029598309
0.2029598309,0.8055555556,0.8666666667,0.2029598309
0.1860465116,0.8194444444,0.88,0.2093023256
0.1860465116,0.7777777778,0.8533333333,0.2093023256
0.1649048626,0.75,0.84,0.2093023256
0.1501057082,0.75,0.8266666667,0.2050739958
0.156448203,0.7777777778,0.88,0.2156448203
0.1712473573,0.7638888889,0.8266666667,0.2177589852
0.1691331924,0.8055555556,0.8266666667,0.2262156448
0.1754756871,0.7916666667,0.8266666667,0.2177589852
0.1691331924,0.7777777778,0.84,0.2198731501
0.1501057082,0.8611111111,0.8933333333,0.2241014799
0.1627906977,0.8055555556,0.8933333333,0.2241014799
0.177589852,0.8333333333,0.8933333333,0.2114164905
0.177589852,0.8194444444,0.8666666667,0.2071881607
0.1797040169,0.8333333333,0.88,0.2135306554
0.1649048626,0.8194444444,0.88,0.2135306554
0.1479915433,0.8611111111,0.8666666667,0.2029598309
0.1754756871,0.8333333333,0.88,0.2029598309
